Cluster,Score,Type,Gene,Symbol,Network
1,1.5,Seed,12769,Ccr9,Geneid_SUB1
1,1.5,Clustered,20304,Ccl5,Geneid_SUB1
1,1.5,Clustered,13609,S1pr1,Geneid_SUB1
1,1.5,Clustered,80901,Cxcr6,Geneid_SUB1
2,1.5,Clustered,19055,Ppp3ca,Geneid_SUB1
2,1.5,Clustered,22630,Ywhaq,Geneid_SUB1
2,1.5,Seed,279029,Stkld1,Geneid_SUB1
2,1.5,Clustered,228775,Trib3,Geneid_SUB1
3,1.0,Clustered,29856,Smtn,Geneid_SUB1
3,1.0,Clustered,22793,Zyx,Geneid_SUB1
3,1.0,Seed,13497,Drp2,Geneid_SUB1
3,1.0,Clustered,27413,Abcb11,Geneid_SUB1
4,1.0,Clustered,20527,Slc2a3,Geneid_SUB1
4,1.0,Clustered,320832,Sirpb1a,Geneid_SUB1
4,1.0,Seed,26365,Ceacam1,Geneid_SUB1
5,1.0,Clustered,105651,Ppp1r3e,Geneid_SUB1
5,1.0,Seed,67071,Rps6ka6,Geneid_SUB1
5,1.0,Clustered,244416,Ppp1r3b,Geneid_SUB1
