_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.7,TRR01084,M1,1,0,TRRUST,34,Regulated by: Pbx1,,-3.7,26,8.5,20580,14,172,3,1.7,1,12550|12579|18514,Cdh1|Cdkn2b|Pbx1,-1.2,0
1,-3.2,TRR01494,M1,1,0,TRRUST,34,Regulated by: Trp53,,-3.2,4.8,4.7,20580,173,172,7,4.1,1.5,11910|12227|14083|15902|16598|17127|21416,Atf3|Btg2|Ptk2|Id2|Klf2|Smad3|Tcf7l2,-0.89,0
1,-3.2,TRR01463,M1,1,0,TRRUST,34,Regulated by: Tcf4,,-3.2,17,6.8,20580,21,172,3,1.7,1,12550|14268|15902,Cdh1|Fn1|Id2,-0.89,0
1,-3,TRR00638,M1,1,0,TRRUST,34,Regulated by: Irf8,,-3,16,6.4,20580,23,172,3,1.7,1,12579|20304|239081,Cdkn2b|Ccl5|Tlr11,-0.85,0
1,-2.3,TRR01316,M1,1,0,TRRUST,34,Regulated by: Smad4,,-2.3,8.5,4.5,20580,42,172,3,1.7,1,12550|12579|15902,Cdh1|Cdkn2b|Id2,-0.22,0
1,-2.1,TRR00951,M1,1,0,TRRUST,34,Regulated by: Nfkb1,,-2.1,3.4,3.2,20580,210,172,6,3.5,1.4,12516|12550|14268|16842|20304|319765,Cd7|Cdh1|Fn1|Lef1|Ccl5|Igf2bp2,-0.18,0
1,-2.1,TRR01462,M1,1,0,TRRUST,34,Regulated by: Tcf3,,-2.1,7,4,20580,51,172,3,1.7,1,12516|12550|16842,Cd7|Cdh1|Lef1,-0.18,0
1,-2,TRR00149,M1,1,0,TRRUST,34,Regulated by: Cebpb,,-2,6.9,3.9,20580,52,172,3,1.7,1,11910|12227|15902,Atf3|Btg2|Id2,-0.18,0
1,-2,TRR00838,M1,1,0,TRRUST,34,Regulated by: Myc,,-2,6.9,3.9,20580,52,172,3,1.7,1,12550|12579|22695,Cdh1|Cdkn2b|Zfp36,-0.18,0
1,-2,TRR01315,M1,1,0,TRRUST,34,Regulated by: Smad3,,-2,6.9,3.9,20580,52,172,3,1.7,1,12550|12579|14268,Cdh1|Cdkn2b|Fn1,-0.18,0
1,-2,TRR00399,M1,1,0,TRRUST,34,Regulated by: Foxo1,,-2,6.8,3.9,20580,53,172,3,1.7,1,16598|18708|228775,Klf2|Pik3r1|Trib3,-0.18,0
