Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
329278,3.0,1,1,1
26365,3.0,1,1,1
12550,3.0,1,1,1
18752,3.0,1,1,1
17444,3.0,1,1,1
12769,3.0,1,1,1
50874,3.0,1,1,1
12227,3.0,1,1,1
14083,3.0,1,1,1
76905,3.0,1,1,1
223435,3.0,1,1,1
320207,3.0,1,1,1
373864,3.0,1,1,1
213402,3.0,1,1,1
67071,3.0,1,1,1
19376,3.0,1,1,1
22695,3.0,1,1,1
11975,3.0,1,1,1
12826,3.0,1,1,1
18679,3.0,1,1,1
545156,3.0,1,1,1
14268,3.0,1,1,1
20351,3.0,1,1,1
19055,3.0,1,1,1
228775,3.0,1,1,1
242341,3.0,1,1,1
16643,3.0,1,1,1
244416,3.0,1,1,1
21416,3.0,1,1,1
80901,3.0,1,1,1
105651,3.0,1,1,1
13631,3.0,1,1,1
22793,3.0,1,1,1
15902,3.0,1,1,1
65106,3.0,1,1,1
11910,3.0,1,1,1
17127,3.0,1,1,1
11482,3.0,1,1,1
12579,3.0,1,1,1
224109,3.0,1,1,1
12322,3.0,1,1,1
18479,3.0,1,1,1
216033,3.0,1,1,1
13609,3.0,1,1,1
11555,3.0,1,1,1
21885,3.0,1,1,1
212517,3.0,1,1,1
329152,3.0,1,1,1
20304,3.0,1,1,1
545030,3.0,1,1,1
17999,3.0,1,1,1
16842,3.0,1,1,1
18708,3.0,1,1,1
69219,2.0,1,1,0
52858,2.0,1,0,1
17057,2.0,1,0,1
74646,2.0,1,0,1
27360,2.0,1,1,0
75578,2.0,1,0,1
13048,2.0,1,1,0
237253,2.0,1,1,0
101320,2.0,1,0,1
27413,2.0,1,0,1
12290,2.0,1,1,0
16182,2.0,1,1,0
252973,2.0,1,1,0
17888,2.0,1,0,1
13497,2.0,1,0,1
72106,2.0,1,1,0
16598,2.0,1,1,0
19157,2.0,1,0,1
239081,2.0,1,0,1
329003,2.0,1,1,0
52392,2.0,1,1,0
278507,2.0,1,1,0
22351,2.0,1,1,0
21346,2.0,1,0,1
381738,2.0,1,1,0
18028,2.0,1,1,0
105827,2.0,1,1,0
29856,2.0,1,0,1
20527,2.0,1,0,1
14608,2.0,1,0,1
30054,2.0,1,0,1
50525,2.0,1,1,0
71648,2.0,1,0,1
240753,2.0,1,1,0
72634,2.0,1,0,1
70686,2.0,1,0,1
20167,2.0,1,0,1
50794,2.0,1,1,0
67332,2.0,1,0,1
75292,2.0,1,0,1
54610,2.0,1,0,1
18587,2.0,1,1,0
105844,2.0,1,0,1
20532,2.0,1,1,0
666348,2.0,1,0,1
320832,2.0,1,0,1
68010,2.0,1,1,0
52857,2.0,1,0,1
107022,2.0,1,0,1
18514,2.0,1,0,1
50490,2.0,1,1,0
279029,2.0,1,0,1
13998,2.0,1,0,1
22630,2.0,1,0,1
214804,2.0,1,0,1
12516,2.0,1,0,1
15483,2.0,1,1,0
382045,1.0,1,0,0
75973,1.0,1,0,0
207592,1.0,1,0,0
320148,1.0,1,0,0
269855,1.0,1,0,0
18812,1.0,1,0,0
320913,1.0,1,0,0
381072,1.0,1,0,0
16512,1.0,1,0,0
435653,1.0,1,0,0
270084,1.0,1,0,0
16164,1.0,1,0,0
24082,1.0,1,0,0
216188,1.0,1,0,0
433966,1.0,1,0,0
434113,1.0,1,0,0
72898,1.0,1,0,0
97998,1.0,1,0,0
232078,1.0,1,0,0
320311,1.0,1,0,0
100503197,1.0,1,0,0
59010,1.0,1,0,0
69900,1.0,1,0,0
100503190,1.0,1,0,0
104871,1.0,1,0,0
66961,1.0,1,0,0
16631,1.0,1,0,0
75746,1.0,1,0,0
14247,1.0,1,0,0
107766,1.0,1,0,0
109246,1.0,1,0,0
21673,1.0,1,0,0
80281,1.0,1,0,0
100038713,1.0,1,0,0
15203,1.0,1,0,0
67609,1.0,1,0,0
244233,1.0,1,0,0
94217,1.0,1,0,0
13409,1.0,1,0,0
30943,1.0,1,0,0
213582,1.0,1,0,0
171244,1.0,1,0,0
29815,1.0,1,0,0
22022,1.0,1,0,0
381218,1.0,1,0,0
217316,1.0,1,0,0
17086,1.0,1,0,0
101602,1.0,1,0,0
667373,1.0,1,0,0
56050,1.0,1,0,0
18830,1.0,1,0,0
108167930,1.0,1,0,0
76642,1.0,1,0,0
14261,1.0,1,0,0
319765,1.0,1,0,0
100303751,1.0,1,0,0
74121,1.0,1,0,0
108670,1.0,1,0,0
217887,1.0,1,0,0
210145,1.0,1,0,0
244418,1.0,1,0,0
93843,1.0,1,0,0
17067,1.0,1,0,0
74134,1.0,1,0,0
102635880,1.0,1,0,0
74559,1.0,1,0,0
100126459,1.0,1,0,0
224224,1.0,1,0,0
235534,1.0,1,0,0
18602,1.0,1,0,0
24057,1.0,1,0,0
621968,1.0,1,0,0
73667,1.0,1,0,0
20345,1.0,1,0,0
