,gene,Geneid,genename,change,log2FC,padj,Change Metric
1,1,ENSMUSG00000093861,Igkv1-110,Up,32.4405915732709,8.58457091895092e-16,488.75908165968
2,2,ENSMUSG00000086184,ENSMUSG00000086184,Up,37.2665619315729,3.90160186466892e-12,425.165151160754
3,3,ENSMUSG00000027524,Edn3,Up,29.5986833011565,1.6383207917175e-13,378.436956505061
4,4,ENSMUSG00000112670,Gm18042,Up,32.3499696149565,2.5440941717772e-08,245.680770770192
5,5,ENSMUSG00000097874,ENSMUSG00000097874,Up,31.8878020815823,4.12720677346854e-08,235.470492716048
6,6,ENSMUSG00000085903,ENSMUSG00000085903,Up,21.9130906084847,3.96562758518176e-11,227.933133227248
7,7,ENSMUSG00000107647,ENSMUSG00000107647,Up,31.4958311170317,6.53468720563947e-08,226.290466182626
8,8,ENSMUSG00000023078,Cxcl13,Up,30.7484115146341,1.48938040621812e-07,209.919232108839
9,9,ENSMUSG00000104138,ENSMUSG00000104138,Up,30.366072126123,2.37509018956494e-07,201.154575694188
10,10,ENSMUSG00000111739,ENSMUSG00000111739,Up,29.9889703554147,3.49793876581956e-07,193.614424466978
11,11,ENSMUSG00000051736,Fam229b,Up,23.3428327332642,7.83121433233178e-09,189.220991184912
12,12,ENSMUSG00000045555,Mettl24,Up,28.9016394879146,1.10315916186528e-06,172.177523730375
13,13,ENSMUSG00000107448,ENSMUSG00000107448,Up,27.8103898434959,3.36957706879793e-06,152.190261682473
14,14,ENSMUSG00000113769,5033406O09Rik,Up,27.5330603942491,4.46389271094158e-06,147.309754507084
15,15,ENSMUSG00000107696,ENSMUSG00000107696,Up,27.3889548182646,5.12379047604092e-06,144.898763153514
16,16,ENSMUSG00000084081,Gm12057,Up,22.4789624108091,4.74750305127539e-05,97.188575070087
17,17,ENSMUSG00000028698,Pik3r3,Up,16.5337022127479,6.95664843771204e-06,85.2742216010023
18,18,ENSMUSG00000098161,ENSMUSG00000098161,Up,22.2422059557593,0.000540900178130148,72.6626817510001
19,19,ENSMUSG00000113141,ENSMUSG00000113141,Up,20.5079350760612,0.000476725090829914,68.1218639876041
20,20,ENSMUSG00000113735,ENSMUSG00000113735,Up,20.0309630019325,0.00131360366073963,57.7199339925923
21,21,ENSMUSG00000084910,ENSMUSG00000084910,Up,19.5848560974281,0.00438694689276316,46.177910547932
22,22,ENSMUSG00000029608,Rph3a,Up,9.86509707401628,0.000262998488996994,35.3175086852333
23,23,ENSMUSG00000041907,Gpr45,Up,8.77179726396275,0.000377364888251848,30.0279542049288
24,24,ENSMUSG00000028364,Tnc,Up,9.59911414306058,0.00180790295198065,26.3286891562166
25,25,ENSMUSG00000045591,Olig3,Up,16.4349924524851,0.0344326402909836,24.0448816559746
26,26,ENSMUSG00000015314,Slamf6,Up,2.24892890924618,2.72088677341748e-10,21.511656150476
27,27,ENSMUSG00000076615,Ighg3,Up,8.48174383023196,0.00390580864720461,20.4264906845315
28,28,ENSMUSG00000005917,Otx1,Up,9.17121253163144,0.00863811884215603,18.9255383248275
29,29,ENSMUSG00000020150,Gamt,Up,15.3832190164242,0.0626921548944197,18.5027328061492
30,30,ENSMUSG00000074868,ENSMUSG00000074868,Up,8.17972913626272,0.00733556194352278,17.4601767033496
31,31,ENSMUSG00000026573,Xcl1,Up,3.40978415358541,9.13363497814703e-06,17.1831174223306
32,32,ENSMUSG00000104121,ENSMUSG00000104121,Up,8.28939129292718,0.00979405968337704,16.6536959187424
33,33,ENSMUSG00000032323,Cyp11a1,Up,14.1908095161802,0.0776375049547659,15.7507829271494
34,34,ENSMUSG00000021013,Ttc8,Up,8.5378041295667,0.0172391535620448,15.0562815046968
35,35,ENSMUSG00000043079,Synpo,Up,5.32622154372128,0.00186514142837144,14.5367937765267
36,36,ENSMUSG00000039197,Adk,Up,2.59338142687233,4.97357155343716e-06,13.7535617487474
37,37,ENSMUSG00000025321,Itgb8,Up,6.74989672563532,0.0093502665838053,13.6967284844246
38,38,ENSMUSG00000111481,ENSMUSG00000111481,Up,6.86543344108619,0.0111852646910068,13.3968891820855
