_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-5.8,GO:0050900,leukocyte migration,M1,1,0
1,-2.3,mmu04720,Long-term potentiation,M1,1,0
1,-2.2,GO:0046635,positive regulation of alpha-beta T cell activation,M1,1,0
1,-2.6,GO:1903708,positive regulation of hemopoiesis,M1,1,0
1,-2.8,GO:1901652,response to peptide,M1,1,0
1,-3.2,GO:0014743,regulation of muscle hypertrophy,M1,1,0
1,-8.9,GO:0030155,regulation of cell adhesion,M1,1,0
1,-3.4,GO:0001568,blood vessel development,M1,1,0
1,-2.8,R-MMU-194138,Signaling by VEGF,M1,1,0
1,-2.8,GO:0043433,negative regulation of DNA-binding transcription factor activity,M1,1,0
1,-3.4,GO:0032103,positive regulation of response to external stimulus,M1,1,0
1,-2.4,GO:0032872,regulation of stress-activated MAPK cascade,M1,1,0
1,-2.3,GO:0008285,negative regulation of cell population proliferation,M1,1,0
1,-3.9,R-MMU-1280215,Cytokine Signaling in Immune system,M1,1,0
1,-2.1,R-MMU-937061,TRIF(TICAM1)-mediated TLR4 signaling,M1,1,0
1,-2.8,GO:0002690,positive regulation of leukocyte chemotaxis,M1,1,0
1,-3.3,GO:0050778,positive regulation of immune response,M1,1,0
1,-2.5,mmu04060,Cytokine-cytokine receptor interaction,M1,1,0
1,-2.6,R-MMU-186797,Signaling by PDGF,M1,1,0
1,-2.8,mmu04514,Cell adhesion molecules,M1,1,0
1,-2,mmu04530,Tight junction,M1,1,0
1,-2.8,R-MMU-449147,Signaling by Interleukins,M1,1,0
1,-3,GO:0050808,synapse organization,M1,1,0
1,-3,GO:0048812,neuron projection morphogenesis,M1,1,0
1,-2.9,GO:0046326,positive regulation of glucose import,M1,1,0
1,-2.7,GO:1903131,mononuclear cell differentiation,M1,1,0
1,-3.9,GO:0048589,developmental growth,M1,1,0
1,-2.3,mmu04550,Signaling pathways regulating pluripotency of stem cells,M1,1,0
1,-5.3,GO:0043547,positive regulation of GTPase activity,M1,1,0
1,-3,GO:0010976,positive regulation of neuron projection development,M1,1,0
1,-4.1,GO:0010631,epithelial cell migration,M1,1,0
1,-3.6,GO:0040017,positive regulation of locomotion,M1,1,0
1,-3.1,R-MMU-8853659,RET signaling,M1,1,0
1,-2,GO:0045859,regulation of protein kinase activity,M1,1,0
