_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-8.855237748668891,GO:0022610,biological adhesion,M1,1,GO:0030155 regulation of cell adhesion
1,-7.277384655459691,GO:0050789,regulation of biological process,M1,1,GO:0050865 regulation of cell activation
1,-7.230582380337895,GO:0023052,signaling,M1,1,GO:0046578 regulation of Ras protein signal transduction
1,-7.214203179613646,GO:0002376,immune system process,M1,1,GO:0051249 regulation of lymphocyte activation
1,-5.94073893510942,GO:0065007,biological regulation,M1,1,GO:0043087 regulation of GTPase activity
1,-5.8220671767870416,GO:0050896,response to stimulus,M1,1,GO:0071363 cellular response to growth factor stimulus
1,-5.775557842405404,GO:0040011,locomotion,M1,1,GO:0050900 leukocyte migration
1,-5.139409509848523,GO:0009987,cellular process,M1,1,GO:0001775 cell activation
1,-4.3008273662429595,GO:0048518,positive regulation of biological process,M1,1,GO:0010613 positive regulation of cardiac muscle hypertrophy
1,-4.092267051223668,GO:0032501,multicellular organismal process,M1,1,GO:0090132 epithelium migration
1,-3.8851835942017847,GO:0048519,negative regulation of biological process,M1,1,GO:0050866 negative regulation of cell activation
1,-3.8739215560419464,GO:0040007,growth,M1,1,GO:0048589 developmental growth
1,-3.7070925977270677,GO:0051179,localization,M1,1,GO:0034762 regulation of transmembrane transport
1,-3.67781135907739,GO:0032502,developmental process,M1,1,GO:0061564 axon development
1,-3.4415313254460607,GO:0008152,metabolic process,M1,1,GO:0050730 regulation of peptidyl-tyrosine phosphorylation
1,-3.055970588747089,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0042832 defense response to protozoan
