Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
320404,3.0,1,1,1
12477,3.0,1,1,1
16412,3.0,1,1,1
18750,3.0,1,1,1
211673,3.0,1,1,1
15903,3.0,1,1,1
106522,3.0,1,1,1
17863,3.0,1,1,1
14360,3.0,1,1,1
12180,3.0,1,1,1
18186,3.0,1,1,1
231130,3.0,1,1,1
320910,3.0,1,1,1
234515,3.0,1,1,1
59009,3.0,1,1,1
16400,3.0,1,1,1
110196,3.0,1,1,1
107746,3.0,1,1,1
12145,3.0,1,1,1
55985,3.0,1,1,1
77446,3.0,1,1,1
109905,3.0,1,1,1
15945,3.0,1,1,1
16001,3.0,1,1,1
54167,3.0,1,1,1
58205,3.0,1,1,1
27027,3.0,1,1,1
21923,3.0,1,1,1
108154,3.0,1,1,1
218397,3.0,1,1,1
13616,3.0,1,1,1
108058,3.0,1,1,1
19247,3.0,1,1,1
18710,3.0,1,1,1
16963,3.0,1,1,1
59079,3.0,1,1,1
53314,3.0,1,1,1
12289,3.0,1,1,1
11534,3.0,1,1,1
21858,2.0,1,1,0
18423,2.0,1,1,0
16656,2.0,1,1,0
13655,2.0,1,1,0
76626,2.0,1,0,1
17076,2.0,1,0,1
228012,2.0,1,0,1
216238,2.0,1,1,0
29809,2.0,1,0,1
60440,2.0,1,1,0
69890,2.0,1,1,0
212285,2.0,1,0,1
54698,2.0,1,1,0
18087,2.0,1,0,1
30925,2.0,1,1,0
104027,2.0,1,1,0
319520,2.0,1,1,0
19894,2.0,1,1,0
18227,2.0,1,1,0
21949,2.0,1,1,0
217944,2.0,1,0,1
22634,2.0,1,1,0
70122,2.0,1,0,1
74256,2.0,1,1,0
66313,2.0,1,0,1
19696,2.0,1,0,1
21814,2.0,1,1,0
74203,1.0,1,0,0
77675,1.0,1,0,0
77733,1.0,1,0,0
20168,1.0,1,0,0
226757,1.0,1,0,0
18415,1.0,1,0,0
56726,1.0,1,0,0
12035,1.0,1,0,0
67468,1.0,1,0,0
76260,1.0,1,0,0
14431,1.0,1,0,0
19155,1.0,1,0,0
78445,1.0,1,0,0
240754,1.0,1,0,0
327747,1.0,1,0,0
211134,1.0,1,0,0
73870,1.0,1,0,0
94222,1.0,1,0,0
121022,1.0,1,0,0
67742,1.0,1,0,0
93724,1.0,1,0,0
21632,1.0,1,0,0
20475,1.0,1,0,0
93707,1.0,1,0,0
17951,1.0,1,0,0
269582,1.0,1,0,0
20250,1.0,1,0,0
380795,1.0,1,0,0
66337,1.0,1,0,0
66231,1.0,1,0,0
100416327,1.0,1,0,0
54446,1.0,1,0,0
22163,1.0,1,0,0
13070,1.0,1,0,0
93690,1.0,1,0,0
93679,1.0,1,0,0
100416087,1.0,1,0,0
70790,1.0,1,0,0
381777,1.0,1,0,0
22779,1.0,1,0,0
100042846,1.0,1,0,0
225010,1.0,1,0,0
195297,1.0,1,0,0
