,gene,Geneid,genename,change,log2FC,padj,Change Metric
1,1,ENSMUSG00000108219,ENSMUSG00000108219,Down,-50.5553081625051,8.26829166600618e-70,-3492.49133349637
2,2,ENSMUSG00000116624,ENSMUSG00000116624,Down,-49.8945633510568,2.57125457653978e-64,-3172.7880449053
3,3,ENSMUSG00000100985,Gm10640,Down,-44.8839397022896,3.47516287144626e-40,-1771.07649146785
4,4,ENSMUSG00000114390,ENSMUSG00000114390,Down,-24.6730969851095,2.13106772277382e-56,-1373.585919316
5,5,ENSMUSG00000097150,ENSMUSG00000097150,Down,-48.3340953261637,4.51685469612491e-27,-1273.36966236639
6,6,ENSMUSG00000101587,Gm29036,Down,-48.971380919778,4.91593388493027e-23,-1092.47285864843
7,7,ENSMUSG00000045231,BC106179,Down,-24.3183890726478,2.26242664424405e-37,-891.157714877216
8,8,ENSMUSG00000101189,1700029M03Rik,Down,-39.7906533032489,1.69247445965901e-22,-866.301328076337
9,9,ENSMUSG00000004267,Eno2,Down,-39.9858026632413,5.63650981868146e-19,-729.700502232467
10,10,ENSMUSG00000107728,ENSMUSG00000107728,Down,-38.6946797401267,1.40053877614313e-19,-729.538071570878
11,11,ENSMUSG00000106184,ENSMUSG00000106184,Down,-36.7677476782192,2.82335381467177e-20,-718.78132852735
12,12,ENSMUSG00000092077,Olfr101,Down,-37.1544802898567,2.22715847940547e-18,-655.860133027261
13,13,ENSMUSG00000049521,Cdc42ep1,Down,-42.0136400674823,7.18292065724228e-15,-594.22827610021
14,14,ENSMUSG00000114235,ENSMUSG00000114235,Down,-22.9064902453664,1.81223738273413e-24,-543.840964568436
15,15,ENSMUSG00000030598,Fbxo17,Down,-23.5858099348676,2.08054305965347e-23,-534.969173128773
16,16,ENSMUSG00000036151,Tm6sf2,Down,-41.0067958941047,3.75928383225487e-13,-509.505128476336
17,17,ENSMUSG00000018398,Septin8,Down,-24.3865632832548,3.26920064737803e-20,-475.185803610406
18,18,ENSMUSG00000086150,Bach2os,Down,-23.0821303132612,9.38698734702471e-21,-462.276759347572
19,19,ENSMUSG00000100302,ENSMUSG00000100302,Down,-36.3464008949729,8.24252459874062e-13,-439.207718474689
20,20,ENSMUSG00000086013,Gm15706,Down,-23.9893304530817,1.93206542450152e-18,-424.946475992127
21,21,ENSMUSG00000039781,Cep131,Down,-23.261760862501,4.42740543675027e-18,-403.681125165763
22,22,ENSMUSG00000108659,Gm34121,Down,-25.0430416341659,1.55074266558742e-16,-395.916971610125
23,23,ENSMUSG00000084775,ENSMUSG00000084775,Down,-22.3417304081414,7.31991778726784e-18,-382.836582814862
24,24,ENSMUSG00000102662,ENSMUSG00000102662,Down,-37.1904333092468,5.48595265764125e-11,-381.60166213533
25,25,ENSMUSG00000094023,Trav7d-4,Down,-23.7441926003974,1.64747603641611e-15,-351.01469438835
26,26,ENSMUSG00000104078,ENSMUSG00000104078,Down,-22.1214813768375,8.75324084220306e-16,-333.10153073901
27,27,ENSMUSG00000101462,ENSMUSG00000101462,Down,-24.8468092046208,9.26517835713846e-14,-323.832097364399
28,28,ENSMUSG00000050910,Cdr2l,Down,-24.0258030914761,3.54249182145132e-14,-323.163656863633
29,29,ENSMUSG00000045140,Pigw,Down,-22.3325399491407,3.39239959146038e-15,-323.140530416377
30,30,ENSMUSG00000098062,ENSMUSG00000098062,Down,-35.229781779758,7.01936086115184e-10,-322.482939092567
31,31,ENSMUSG00000106859,ENSMUSG00000106859,Down,-24.2722399923998,1.61847626849628e-13,-310.463640735149
32,32,ENSMUSG00000087436,ENSMUSG00000087436,Down,-34.819941489452,1.70766500231747e-09,-305.287225759347
33,33,ENSMUSG00000000753,Serpinf1,Down,-33.1639211622839,6.9061082520185e-10,-303.806941920174
34,34,ENSMUSG00000087522,Gm371,Down,-24.2860154091175,4.84104234496748e-12,-274.797748679858
35,35,ENSMUSG00000085526,ENSMUSG00000085526,Down,-22.7466893902106,1.31761600948008e-12,-270.235472623037
36,36,ENSMUSG00000029072,Tas1r3,Down,-23.3316490587823,1.44969692124587e-11,-252.885276228005
37,37,ENSMUSG00000107583,ENSMUSG00000107583,Down,-32.3704172424037,2.33501580004051e-08,-247.041642683337
38,38,ENSMUSG00000102202,ENSMUSG00000102202,Down,-23.6613050689638,4.66500369609018e-11,-244.448444725767
39,39,ENSMUSG00000040189,Odad1,Down,-23.7434195308584,1.62394665068263e-10,-232.434501720559
