Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0050728,negative regulation of inflammatory response,19_GO:0048519 negative regulation of biological process,-2.9,6.4,4.8,20580,144,112,5,4.5,2,12802|16183|20085|20317|23959,Cnr2|Il2|Rps19|Serpinf1|Nt5e,0,Geneid
GO Biological Processes,19,GO:0046031,ADP metabolic process,19_GO:0008152 metabolic process,-2.5,10,5,20580,54,112,3,2.7,1.5,11717|13807|23959,Ampd3|Eno2|Nt5e,0,Geneid
GO Biological Processes,19,GO:0030217,T cell differentiation,19_GO:0002376 immune system process,-2.5,5,4,20580,183,112,5,4.5,2,12193|20677|107568|110168|321019,Zfp36l2|Sox4|Wwp1|Gpr18|Gpr183,0,Geneid
GO Biological Processes,19,GO:0009179,purine ribonucleoside diphosphate metabolic process,19_GO:0008152 metabolic process,-2.4,9.5,4.8,20580,58,112,3,2.7,1.5,11717|13807|23959,Ampd3|Eno2|Nt5e,0,Geneid
GO Biological Processes,19,GO:0009135,purine nucleoside diphosphate metabolic process,19_GO:0008152 metabolic process,-2.4,9.5,4.8,20580,58,112,3,2.7,1.5,11717|13807|23959,Ampd3|Eno2|Nt5e,0,Geneid
GO Biological Processes,19,GO:0001775,cell activation,19_GO:0009987 cellular process,-2.4,2.7,3.3,20580,686,112,10,8.9,2.7,12193|12273|12518|14026|16183|20677|107568|110168|321019|328833,Zfp36l2|C5ar1|Cd79a|Evl|Il2|Sox4|Wwp1|Gpr18|Gpr183|Treml2,0,Geneid
GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-2.3,2.8,3.2,20580,598,112,9,8,2.6,12193|12273|12518|16183|20677|107568|110168|321019|328833,Zfp36l2|C5ar1|Cd79a|Il2|Sox4|Wwp1|Gpr18|Gpr183|Treml2,0,Geneid
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-2.2,3.7,3.4,20580,302,112,6,5.4,2.1,12193|20677|107568|110168|321019|328833,Zfp36l2|Sox4|Wwp1|Gpr18|Gpr183|Treml2,0,Geneid
GO Biological Processes,19,GO:0009185,ribonucleoside diphosphate metabolic process,19_GO:0008152 metabolic process,-2.2,8,4.3,20580,69,112,3,2.7,1.5,11717|13807|23959,Ampd3|Eno2|Nt5e,0,Geneid
GO Biological Processes,19,GO:0032102,negative regulation of response to external stimulus,19_GO:0048519 negative regulation of biological process,-2.2,3.2,3.3,20580,402,112,7,6.2,2.3,12802|16183|20085|20317|23959|58992|110168,Cnr2|Il2|Rps19|Serpinf1|Nt5e|F12|Gpr18,0,Geneid
GO Biological Processes,19,GO:0030595,leukocyte chemotaxis,19_GO:0040011 locomotion,-2.2,5.4,3.8,20580,137,112,4,3.6,1.8,12273|12802|20085|321019,C5ar1|Cnr2|Rps19|Gpr183,0,Geneid
GO Biological Processes,19,GO:0030098,lymphocyte differentiation,19_GO:0002376 immune system process,-2.1,3.5,3.3,20580,311,112,6,5.4,2.1,12193|12518|20677|107568|110168|321019,Zfp36l2|Cd79a|Sox4|Wwp1|Gpr18|Gpr183,0,Geneid
GO Biological Processes,19,GO:0050900,leukocyte migration,19_GO:0040011 locomotion,-2.1,4.1,3.5,20580,223,112,5,4.5,2,12273|12802|20085|71223|321019,C5ar1|Cnr2|Rps19|Gpr15|Gpr183,0,Geneid
GO Biological Processes,19,GO:0003208,cardiac ventricle morphogenesis,19_GO:0032502 developmental process,-2,6.8,3.9,20580,81,112,3,2.7,1.5,17069|17131|20677,Ly6e|Smad7|Sox4,0,Geneid
