_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.9,GO:0050728,negative regulation of inflammatory response,M1,1,0
1,-2.4,GO:0001775,cell activation,M1,1,0
1,-2.1,GO:0030098,lymphocyte differentiation,M1,1,0
1,-2,GO:0003208,cardiac ventricle morphogenesis,M1,1,0
1,-2.2,GO:0032102,negative regulation of response to external stimulus,M1,1,0
1,-2.2,GO:0009185,ribonucleoside diphosphate metabolic process,M1,1,0
1,-2.2,GO:0030595,leukocyte chemotaxis,M1,1,0
1,-2.4,GO:0009135,purine nucleoside diphosphate metabolic process,M1,1,0
1,-2.2,GO:0042110,T cell activation,M1,1,0
1,-2.5,GO:0030217,T cell differentiation,M1,1,0
1,-2.1,GO:0050900,leukocyte migration,M1,1,0
1,-2.4,GO:0009179,purine ribonucleoside diphosphate metabolic process,M1,1,0
1,-2.3,GO:0045321,leukocyte activation,M1,1,0
1,-2.5,GO:0046031,ADP metabolic process,M1,1,0
