Gene,_SCORE_GRP3_,_SCORE_GRP1_,_SCORE_GRP4_,_SCORE_GRP5_,_SCORE_GRP2_,GRP1|19_GO:0032102|-2.190|negative regulation of response to external stimulus,GRP1|19_GO:0050728|-2.939|negative regulation of inflammatory response,GRP2|19_GO:0009135|-2.409|purine nucleoside diphosphate metabolic process,GRP2|19_GO:0046031|-2.497|ADP metabolic process,GRP2|19_GO:0009179|-2.409|purine ribonucleoside diphosphate metabolic process,GRP2|19_GO:0009185|-2.198|ribonucleoside diphosphate metabolic process,GRP3|19_GO:0001775|-2.372|cell activation,GRP3|19_GO:0045321|-2.268|leukocyte activation,GRP3|19_GO:0030098|-2.147|lymphocyte differentiation,GRP3|19_GO:0042110|-2.207|T cell activation,GRP3|19_GO:0030217|-2.484|T cell differentiation,GRP4|19_GO:0050900|-2.125|leukocyte migration,GRP4|19_GO:0030595|-2.174|leukocyte chemotaxis,GRP5|19_GO:0003208|-2.007|cardiac ventricle morphogenesis,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_
12518,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,19,0,0,7,0,0
12802,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,8,2,0,0,2,0
11717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,0,0,0
328833,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,18,0,0,6,0,0
321019,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,12,0,0,2,1,0
20317,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0,0,0,0
17069,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6,0,0,0,0,2
17131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5,0,0,0,0,1
16183,0.4,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,9,3,0,9,0,0
20677,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,4,0,0,1,0,3
13807,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0
12273,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,13,0,0,8,3,0
110168,1.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,15,7,0,3,0,0
20085,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,7,4,0,0,4,0
23959,0.0,1.0,0.0,0.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,3,0,0,0
58992,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,0,0,0,0
71223,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,14,0,0,0,5,0
107568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,17,0,0,4,0,0
14026,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,10,0,0
12193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,16,0,0,5,0,0
