_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-2.9386494242950674,GO:0050728,M1,1,0,GO Biological Processes,19,negative regulation of inflammatory response,19_GO:0048519 negative regulation of biological process,-2.9386494242950674,6.380208333333333,4.79254095243819,20580,144,112,5,4.464285714285714,1.951415979693143,12802|16183|20085|20317|23959,Cnr2|Il2|Rps19|Serpinf1|Nt5e,0.0,0,1,1,1,-2.9386494242950674,6.380208333333333,
1,-2.1899300856392205,GO:0032102,M1,1,0,GO Biological Processes,19,negative regulation of response to external stimulus,19_GO:0048519 negative regulation of biological process,-2.1899300856392205,3.199626865671642,3.294628294533423,20580,402,112,7,6.25,2.287265795973125,12802|16183|20085|20317|23959|58992|110168,Cnr2|Il2|Rps19|Serpinf1|Nt5e|F12|Gpr18,0.0,0,1,0,0,-2.9386494242950674,6.380208333333333,
1,-2.4974762684319844,GO:0046031,M1,1,0,GO Biological Processes,19,ADP metabolic process,19_GO:0008152 metabolic process,-2.4974762684319844,10.208333333333334,5.011978396680734,20580,54,112,3,2.6785714285714284,1.5256216471818476,11717|13807|23959,Ampd3|Eno2|Nt5e,0.0,0,2,1,1,-2.4974762684319844,10.208333333333334,
1,-2.409488432707936,GO:0009135,M1,1,0,GO Biological Processes,19,purine nucleoside diphosphate metabolic process,19_GO:0008152 metabolic process,-2.409488432707936,9.504310344827585,4.797629389720359,20580,58,112,3,2.6785714285714284,1.5256216471818476,11717|13807|23959,Ampd3|Eno2|Nt5e,0.0,0,2,0,0,-2.4974762684319844,10.208333333333334,
1,-2.409488432707936,GO:0009179,M1,1,0,GO Biological Processes,19,purine ribonucleoside diphosphate metabolic process,19_GO:0008152 metabolic process,-2.409488432707936,9.504310344827585,4.797629389720359,20580,58,112,3,2.6785714285714284,1.5256216471818476,11717|13807|23959,Ampd3|Eno2|Nt5e,0.0,0,2,0,0,-2.4974762684319844,10.208333333333334,
1,-2.1982944313859876,GO:0009185,M1,1,0,GO Biological Processes,19,ribonucleoside diphosphate metabolic process,19_GO:0008152 metabolic process,-2.1982944313859876,7.989130434782608,4.3016761778777814,20580,69,112,3,2.6785714285714284,1.5256216471818476,11717|13807|23959,Ampd3|Eno2|Nt5e,0.0,0,2,0,0,-2.4974762684319844,10.208333333333334,
1,-2.484128030024051,GO:0030217,M1,1,0,GO Biological Processes,19,T cell differentiation,19_GO:0002376 immune system process,-2.484128030024051,5.020491803278689,4.041150444605825,20580,183,112,5,4.464285714285714,1.951415979693143,12193|20677|107568|110168|321019,Zfp36l2|Sox4|Wwp1|Gpr18|Gpr183,0.0,0,3,1,1,-2.484128030024051,5.020491803278689,
1,-2.3720886640678556,GO:0001775,M1,1,0,GO Biological Processes,19,cell activation,19_GO:0009987 cellular process,-2.3720886640678556,2.6785714285714284,3.307685949208778,20580,686,112,10,8.928571428571429,2.6944681344741848,12193|12273|12518|14026|16183|20677|107568|110168|321019|328833,Zfp36l2|C5ar1|Cd79a|Evl|Il2|Sox4|Wwp1|Gpr18|Gpr183|Treml2,0.0,0,3,0,0,-2.484128030024051,5.020491803278689,
1,-2.2681145655082,GO:0045321,M1,1,0,GO Biological Processes,19,leukocyte activation,19_GO:0002376 immune system process,-2.2681145655082,2.7654682274247495,3.240965899638713,20580,598,112,9,8.035714285714286,2.5686967312686644,12193|12273|12518|16183|20677|107568|110168|321019|328833,Zfp36l2|C5ar1|Cd79a|Il2|Sox4|Wwp1|Gpr18|Gpr183|Treml2,0.0,0,3,0,0,-2.484128030024051,5.020491803278689,
1,-2.2071104079724546,GO:0042110,M1,1,0,GO Biological Processes,19,T cell activation,19_GO:0002376 immune system process,-2.2071104079724546,3.6506622516556293,3.432643851158125,20580,302,112,6,5.357142857142857,2.1276565456138106,12193|20677|107568|110168|321019|328833,Zfp36l2|Sox4|Wwp1|Gpr18|Gpr183|Treml2,0.0,0,3,0,0,-2.484128030024051,5.020491803278689,
