Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
23959,3.0,1,1,1
13807,3.0,1,1,1
17069,3.0,1,1,1
11717,3.0,1,1,1
17131,3.0,1,1,1
53614,2.0,1,0,1
16183,2.0,1,0,1
70568,2.0,1,0,1
16475,2.0,1,0,1
12802,2.0,1,0,1
19935,2.0,1,0,1
71994,2.0,1,0,1
19982,2.0,1,0,1
20341,2.0,1,0,1
321019,2.0,1,0,1
216197,2.0,1,0,1
110168,2.0,1,0,1
24056,2.0,1,0,1
380918,2.0,1,0,1
12193,2.0,1,0,1
14026,2.0,1,0,1
83771,2.0,1,0,1
218506,2.0,1,0,1
12273,2.0,1,0,1
20677,2.0,1,1,0
69740,2.0,1,0,1
12518,2.0,1,0,1
12009,2.0,1,0,1
67865,2.0,1,0,1
20085,2.0,1,0,1
30877,2.0,1,0,1
107568,2.0,1,0,1
69181,2.0,1,0,1
50760,2.0,1,0,1
20317,2.0,1,0,1
208449,2.0,1,0,1
70617,1.0,1,0,0
227717,1.0,1,0,0
100504717,1.0,1,0,0
242523,1.0,1,0,0
102641859,1.0,1,0,0
627324,1.0,1,0,0
270035,1.0,1,0,0
547150,1.0,1,0,0
100124294,1.0,1,0,0
104445,1.0,1,0,0
69923,1.0,1,0,0
11828,1.0,1,0,0
382180,1.0,1,0,0
245020,1.0,1,0,0
68776,1.0,1,0,0
72180,1.0,1,0,0
320949,1.0,1,0,0
214854,1.0,1,0,0
85030,1.0,1,0,0
14049,1.0,1,0,0
66970,1.0,1,0,0
100042198,1.0,1,0,0
22321,1.0,1,0,0
77595,1.0,1,0,0
66353,1.0,1,0,0
414068,1.0,1,0,0
20362,1.0,1,0,0
225579,1.0,1,0,0
627782,1.0,1,0,0
54710,1.0,1,0,0
240063,1.0,1,0,0
140703,1.0,1,0,0
17133,1.0,1,0,0
69476,1.0,1,0,0
22678,1.0,1,0,0
242646,1.0,1,0,0
58992,1.0,1,0,0
320007,1.0,1,0,0
211535,1.0,1,0,0
68161,1.0,1,0,0
100417939,1.0,1,0,0
328483,1.0,1,0,0
70325,1.0,1,0,0
224132,1.0,1,0,0
224807,1.0,1,0,0
71223,1.0,1,0,0
66233,1.0,1,0,0
622404,1.0,1,0,0
112418,1.0,1,0,0
67917,1.0,1,0,0
20499,1.0,1,0,0
100503460,1.0,1,0,0
664975,1.0,1,0,0
329877,1.0,1,0,0
66573,1.0,1,0,0
213053,1.0,1,0,0
328833,1.0,1,0,0
68992,1.0,1,0,0
68758,1.0,1,0,0
20449,1.0,1,0,0
258831,1.0,1,0,0
320099,1.0,1,0,0
69149,1.0,1,0,0
105193,1.0,1,0,0
667765,1.0,1,0,0
236914,1.0,1,0,0
72148,1.0,1,0,0
102638847,1.0,1,0,0
59028,1.0,1,0,0
100039495,1.0,1,0,0
19142,1.0,1,0,0
99003,1.0,1,0,0
630061,1.0,1,0,0
100416240,1.0,1,0,0
74684,1.0,1,0,0
77097,1.0,1,0,0
107770,1.0,1,0,0
246728,1.0,1,0,0
71390,1.0,1,0,0
115487119,1.0,1,0,0
213956,1.0,1,0,0
11931,1.0,1,0,0
102637256,1.0,1,0,0
69895,1.0,1,0,0
73183,1.0,1,0,0
67246,1.0,1,0,0
93737,1.0,1,0,0
78339,1.0,1,0,0
72185,1.0,1,0,0
667604,1.0,1,0,0
54132,1.0,1,0,0
79202,1.0,1,0,0
100039796,1.0,1,0,0
21667,1.0,1,0,0
115490185,1.0,1,0,0
20907,1.0,1,0,0
21822,1.0,1,0,0
100126469,1.0,1,0,0
100038516,1.0,1,0,0
268445,1.0,1,0,0
100040331,1.0,1,0,0
237988,1.0,1,0,0
74011,1.0,1,0,0
66302,1.0,1,0,0
230393,1.0,1,0,0
115487691,1.0,1,0,0
18551,1.0,1,0,0
268297,1.0,1,0,0
