Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0051301,cell division,19_GO:0009987 cellular process,-4.3,4.7,5.5,20580,496,88,10,11,3.4,13605|14211|21973|52206|58220|66197|76464|80986|101202|109212,Ect2|Smc2|Top2a|Anapc4|Pard6b|Cks2|Knl1|Ckap2|Hepacam2|Pimreg,-0.027,Geneid
GO Biological Processes,19,GO:0072593,reactive oxygen species metabolic process,19_GO:0008152 metabolic process,-3,9,5.4,20580,104,88,4,4.5,2.2,11983|17970|18591|277360,Atpif1|Ncf2|Pdgfb|Prex1,0,Geneid
GO Biological Processes,19,GO:0001906,cell killing,19_GO:0009987 cellular process,-2.7,7.7,4.8,20580,122,88,4,4.5,2.2,14939|15331|20290|100042405,Gzmb|Hmgn2|Ccl1|Hmgn2-ps,0,Geneid
WikiPathways,27,WP3625,Tyrobp causal network in microglia,,-2.7,12,5.5,20580,58,88,3,3.4,1.9,17970|66824|218454,Ncf2|Pycard|Lhfpl2,0,Geneid
GO Biological Processes,19,GO:0002218,activation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.7,12,5.5,20580,58,88,3,3.4,1.9,66824|243655|320407,Pycard|Klre1|Klri2,0,Geneid
GO Biological Processes,19,GO:0060326,cell chemotaxis,19_GO:0040011 locomotion,-2.7,5.6,4.4,20580,209,88,5,5.7,2.5,18591|20290|70045|97165|277360,Pdgfb|Ccl1|2610528A11Rik|Hmgb2|Prex1,0,Geneid
GO Biological Processes,19,GO:0030595,leukocyte chemotaxis,19_GO:0040011 locomotion,-2.5,6.8,4.5,20580,137,88,4,4.5,2.2,18591|20290|70045|277360,Pdgfb|Ccl1|2610528A11Rik|Prex1,0,Geneid
GO Biological Processes,19,GO:0031640,killing of cells of other organism,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.5,11,5.1,20580,66,88,3,3.4,1.9,15331|20290|100042405,Hmgn2|Ccl1|Hmgn2-ps,0,Geneid
Reactome Gene Sets,6,R-MMU-416482,G alpha (12/13) signalling events,,-2.5,10,5,20580,69,88,3,3.4,1.9,13605|14696|277360,Ect2|Gnb4|Prex1,0,Geneid
GO Biological Processes,19,GO:0045089,positive regulation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.5,6.5,4.4,20580,143,88,4,4.5,2.2,66824|97165|243655|320407,Pycard|Hmgb2|Klre1|Klri2,0,Geneid
GO Biological Processes,19,GO:0006457,protein folding,19_GO:0009987 cellular process,-2.3,5.9,4.1,20580,159,88,4,4.5,2.2,57755|64136|69187|242891,Dnajb7|Sdf2l1|Erp27|Cct8l1,0,Geneid
GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-2.2,3.2,3.3,20580,511,88,7,8,2.9,12933|13639|18591|20290|70045|97165|277360,Crmp1|Efna4|Pdgfb|Ccl1|2610528A11Rik|Hmgb2|Prex1,0,Geneid
GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-2.2,3.2,3.3,20580,516,88,7,8,2.9,12933|13639|18591|20290|70045|97165|277360,Crmp1|Efna4|Pdgfb|Ccl1|2610528A11Rik|Hmgb2|Prex1,0,Geneid
GO Biological Processes,19,GO:0010638,positive regulation of organelle organization,19_GO:0048518 positive regulation of biological process,-2.1,3.1,3.2,20580,523,88,7,8,2.9,11983|14211|18591|20971|52206|66824|623781,Atpif1|Smc2|Pdgfb|Sdc4|Anapc4|Pycard|Gm14137,0,Geneid
GO Biological Processes,19,GO:0071674,mononuclear cell migration,19_GO:0040011 locomotion,-2.1,7.6,4.2,20580,92,88,3,3.4,1.9,18591|20290|70045,Pdgfb|Ccl1|2610528A11Rik,0,Geneid
GO Biological Processes,19,GO:0051260,protein homooligomerization,19_GO:0009987 cellular process,-2.1,5.2,3.7,20580,179,88,4,4.5,2.2,13605|66824|216858|331623,Ect2|Pycard|Kctd11|Bend3,0,Geneid
GO Biological Processes,19,GO:0051983,regulation of chromosome segregation,19_GO:0050789 regulation of biological process,-2.1,7.5,4.1,20580,94,88,3,3.4,1.9,14211|17345|52206,Smc2|Mki67|Anapc4,0,Geneid
GO Biological Processes,19,GO:0002833,positive regulation of response to biotic stimulus,19_GO:0048518 positive regulation of biological process,-2.1,5,3.6,20580,188,88,4,4.5,2.2,66824|97165|243655|320407,Pycard|Hmgb2|Klre1|Klri2,0,Geneid
GO Biological Processes,19,GO:0031349,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-2,3.9,3.3,20580,297,88,5,5.7,2.5,20290|66824|97165|243655|320407,Ccl1|Pycard|Hmgb2|Klre1|Klri2,0,Geneid
GO Biological Processes,19,GO:0031343,positive regulation of cell killing,19_GO:0048518 positive regulation of biological process,-2,6.9,3.9,20580,102,88,3,3.4,1.9,232415|243655|320407,Klrh1|Klre1|Klri2,0,Geneid
