Gene,_SCORE_GRP1_,_SCORE_GRP7_,_SCORE_GRP8_,_SCORE_GRP9_,_SCORE_GRP4_,_SCORE_GRP5_,_SCORE_GRP2_,_SCORE_GRP6_,_SCORE_GRP3_,GRP1|19_GO:0051301|-4.295|cell division,GRP2|19_GO:0042330|-2.179|taxis,GRP2|19_GO:0006935|-2.202|chemotaxis,GRP2|19_GO:0060326|-2.691|cell chemotaxis,GRP2|19_GO:0030595|-2.546|leukocyte chemotaxis,GRP2|19_GO:0071674|-2.142|mononuclear cell migration,GRP2|19_GO:0072593|-2.985|reactive oxygen species metabolic process,GRP3|19_GO:0001906|-2.729|cell killing,GRP3|19_GO:0031640|-2.546|killing of cells of other organism,GRP4|19_GO:0031349|-2.048|positive regulation of defense response,GRP4|19_GO:0002833|-2.062|positive regulation of response to biotic stimulus,GRP4|19_GO:0045089|-2.479|positive regulation of innate immune response,GRP4|19_GO:0002218|-2.706|activation of innate immune response,GRP4|19_GO:0031343|-2.019|positive regulation of cell killing,GRP5|27_WP3625|-2.706|Tyrobp causal network in microglia,GRP6|6_R-MMU-416482|-2.491|G alpha (12/13) signalling events,GRP7|19_GO:0006457|-2.315|protein folding,GRP8|19_GO:0010638|-2.148|positive regulation of organelle organization,GRP8|19_GO:0051983|-2.116|regulation of chromosome segregation,GRP9|19_GO:0051260|-2.136|protein homooligomerization,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_
232415,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,37,0,0,0,6,0,0,0,0,0
14211,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,6,2,0,0,0,0,0,0,2,0
100042405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,2,0,0,0,0,0,0
11983,0.0,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,31,0,9,0,0,0,0,0,5,0
109212,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0,0,0,0,0,0,0,0
76464,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,0,0,0,0,0,0,0,0
17970,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,20,0,8,0,0,2,0,0,0,0
20290,0.0,0.0,0.0,0.0,0.2,0.0,0.8333333333333334,0.0,1.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,3,1,5,0,0,0,0,0
52206,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,5,4,0,0,0,0,0,0,1,0
216858,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,19,0,0,0,0,0,0,0,0,2
331623,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,18,0,0,0,0,0,0,0,0,1
