_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-4.294905101152059,GO:0051301,M1,1,0,GO Biological Processes,19,cell division,19_GO:0009987 cellular process,-4.294905101152059,4.714992668621701,5.488263937751108,20580,496,88,10,11.363636363636363,3.383165887151408,13605|14211|21973|52206|58220|66197|76464|80986|101202|109212,Ect2|Smc2|Top2a|Anapc4|Pard6b|Cks2|Knl1|Ckap2|Hepacam2|Pimreg,-0.02747522033805408,0,1,1,1,-4.294905101152059,4.714992668621701,
1,-2.9845199451782873,GO:0072593,M1,1,0,GO Biological Processes,19,reactive oxygen species metabolic process,19_GO:0008152 metabolic process,-2.9845199451782873,8.994755244755245,5.356246775951357,20580,104,88,4,4.545454545454546,2.2204736839054418,11983|17970|18591|277360,Atpif1|Ncf2|Pdgfb|Prex1,0.0,0,2,1,1,-2.9845199451782873,8.994755244755245,
1,-2.6906955455230572,GO:0060326,M1,1,0,GO Biological Processes,19,cell chemotaxis,19_GO:0040011 locomotion,-2.6906955455230572,5.59482383645063,4.375192139440224,20580,209,88,5,5.681818181818182,2.4677436333866227,18591|20290|70045|97165|277360,Pdgfb|Ccl1|2610528A11Rik|Hmgb2|Prex1,0.0,0,2,0,0,-2.9845199451782873,8.994755244755245,
1,-2.545934831458655,GO:0030595,M1,1,0,GO Biological Processes,19,leukocyte chemotaxis,19_GO:0040011 locomotion,-2.545934831458655,6.828135368281354,4.4851698671301365,20580,137,88,4,4.545454545454546,2.2204736839054418,18591|20290|70045|277360,Pdgfb|Ccl1|2610528A11Rik|Prex1,0.0,0,2,0,0,-2.9845199451782873,8.994755244755245,
1,-2.2016585558419233,GO:0006935,M1,1,0,GO Biological Processes,19,chemotaxis,19_GO:0040011 locomotion,-2.2016585558419233,3.2036114570361143,3.305551298652874,20580,511,88,7,7.954545454545454,2.8844799280453954,12933|13639|18591|20290|70045|97165|277360,Crmp1|Efna4|Pdgfb|Ccl1|2610528A11Rik|Hmgb2|Prex1,0.0,0,2,0,0,-2.9845199451782873,8.994755244755245,
1,-2.1792856361796247,GO:0042330,M1,1,0,GO Biological Processes,19,taxis,19_GO:0040011 locomotion,-2.1792856361796247,3.172568710359408,3.2752986618447095,20580,516,88,7,7.954545454545454,2.8844799280453954,12933|13639|18591|20290|70045|97165|277360,Crmp1|Efna4|Pdgfb|Ccl1|2610528A11Rik|Hmgb2|Prex1,0.0,0,2,0,0,-2.9845199451782873,8.994755244755245,
1,-2.141869464012119,GO:0071674,M1,1,0,GO Biological Processes,19,mononuclear cell migration,19_GO:0040011 locomotion,-2.141869464012119,7.625988142292489,4.174034951612198,20580,92,88,3,3.409090909090909,1.9343991023836782,18591|20290|70045,Pdgfb|Ccl1|2610528A11Rik,0.0,0,2,0,0,-2.9845199451782873,8.994755244755245,
1,-2.7287257947962194,GO:0001906,M1,1,0,GO Biological Processes,19,cell killing,19_GO:0009987 cellular process,-2.7287257947962194,7.667660208643816,4.840420413827977,20580,122,88,4,4.545454545454546,2.2204736839054418,14939|15331|20290|100042405,Gzmb|Hmgn2|Ccl1|Hmgn2-ps,0.0,0,3,1,1,-2.7287257947962194,10.630165289256198,
1,-2.5457308128836904,GO:0031640,M1,1,0,GO Biological Processes,19,killing of cells of other organism,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.5457308128836904,10.630165289256198,5.1350163356726055,20580,66,88,3,3.409090909090909,1.9343991023836782,15331|20290|100042405,Hmgn2|Ccl1|Hmgn2-ps,0.0,0,3,0,0,-2.7287257947962194,10.630165289256198,
1,-2.706206151794662,GO:0002218,M1,1,0,GO Biological Processes,19,activation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.706206151794662,12.096394984326018,5.54558490092698,20580,58,88,3,3.409090909090909,1.9343991023836782,66824|243655|320407,Pycard|Klre1|Klri2,0.0,0,4,1,1,-2.706206151794662,12.096394984326018,
1,-2.479064744899718,GO:0045089,M1,1,0,GO Biological Processes,19,positive regulation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.479064744899718,6.5416401780038145,4.357717430720813,20580,143,88,4,4.545454545454546,2.2204736839054418,66824|97165|243655|320407,Pycard|Hmgb2|Klre1|Klri2,0.0,0,4,0,0,-2.706206151794662,12.096394984326018,
1,-2.0621895629209503,GO:0002833,M1,1,0,GO Biological Processes,19,positive regulation of response to biotic stimulus,19_GO:0048518 positive regulation of biological process,-2.0621895629209503,4.975822050290136,3.588700766793951,20580,188,88,4,4.545454545454546,2.2204736839054418,66824|97165|243655|320407,Pycard|Hmgb2|Klre1|Klri2,0.0,0,4,0,0,-2.706206151794662,12.096394984326018,
1,-2.048008003773823,GO:0031349,M1,1,0,GO Biological Processes,19,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-2.048008003773823,3.9370982552800733,3.341118666026067,20580,297,88,5,5.681818181818182,2.4677436333866227,20290|66824|97165|243655|320407,Ccl1|Pycard|Hmgb2|Klre1|Klri2,0.0,0,4,0,0,-2.706206151794662,12.096394984326018,
1,-2.019272443209061,GO:0031343,M1,1,0,GO Biological Processes,19,positive regulation of cell killing,19_GO:0048518 positive regulation of biological process,-2.019272443209061,6.878342245989304,3.900070703843534,20580,102,88,3,3.409090909090909,1.9343991023836782,232415|243655|320407,Klrh1|Klre1|Klri2,0.0,0,4,0,0,-2.706206151794662,12.096394984326018,
1,-2.706206151794662,WP3625,M1,1,0,WikiPathways,27,Tyrobp causal network in microglia,,-2.706206151794662,12.096394984326018,5.54558490092698,20580,58,88,3,3.409090909090909,1.9343991023836782,17970|66824|218454,Ncf2|Pycard|Lhfpl2,0.0,0,5,1,1,-2.706206151794662,12.096394984326018,
1,-2.4909329240835967,R-MMU-416482,M1,1,0,Reactome Gene Sets,6,G alpha (12/13) signalling events,,-2.4909329240835967,10.167984189723319,4.998805969686975,20580,69,88,3,3.409090909090909,1.9343991023836782,13605|14696|277360,Ect2|Gnb4|Prex1,0.0,0,6,1,1,-2.4909329240835967,10.167984189723319,
1,-2.315338354144352,GO:0006457,M1,1,0,GO Biological Processes,19,protein folding,19_GO:0009987 cellular process,-2.315338354144352,5.88336192109777,4.05079502515266,20580,159,88,4,4.545454545454546,2.2204736839054418,57755|64136|69187|242891,Dnajb7|Sdf2l1|Erp27|Cct8l1,0.0,0,7,1,1,-2.315338354144352,5.88336192109777,
1,-2.1484451177278308,GO:0010638,M1,1,0,GO Biological Processes,19,positive regulation of organelle organization,19_GO:0048518 positive regulation of biological process,-2.1484451177278308,3.1301060316356684,3.233555916133848,20580,523,88,7,7.954545454545454,2.8844799280453954,11983|14211|18591|20971|52206|66824|623781,Atpif1|Smc2|Pdgfb|Sdc4|Anapc4|Pycard|Gm14137,0.0,0,8,1,1,-2.1484451177278308,7.4637330754352025,
1,-2.116195121563743,GO:0051983,M1,1,0,GO Biological Processes,19,regulation of chromosome segregation,19_GO:0050789 regulation of biological process,-2.116195121563743,7.4637330754352025,4.11604441348051,20580,94,88,3,3.409090909090909,1.9343991023836782,14211|17345|52206,Smc2|Mki67|Anapc4,0.0,0,8,0,0,-2.1484451177278308,7.4637330754352025,
1,-2.135574222998716,GO:0051260,M1,1,0,GO Biological Processes,19,protein homooligomerization,19_GO:0009987 cellular process,-2.135574222998716,5.226003047232098,3.7212760640809104,20580,179,88,4,4.545454545454546,2.2204736839054418,13605|66824|216858|331623,Ect2|Pycard|Kctd11|Bend3,0.0,0,9,1,1,-2.135574222998716,5.226003047232098,
