,gene,Geneid,genename.x,dfin_change.x,dfin_log2FC.x,dfin_padj.x,dfin_Change Metric.x,genename.y,dfin_change.y,dfin_log2FC.y,dfin_padj.y,dfin_Change Metric.y
1,1,ENSMUSG00000021565,Slc6a19,Down,-25.3555335672281,2.31191782948813e-67,-1689.59203474391,Slc6a19,Down,-8.77128087845606,4.15024007656037e-08,-64.7489532131305
2,2,ENSMUSG00000076760,ENSMUSG00000076760,Down,-24.70242160213,7.19972705185123e-31,-744.597287591183,ENSMUSG00000076760,Down,-9.78794528658114,6.64343086204497e-05,-40.8901944250148
3,3,ENSMUSG00000096393,Fam240a,Down,-23.3284777058148,7.5729147319762e-27,-609.357029204022,Fam240a,Down,-23.5405892996332,2.59883522421055e-27,-625.83177501576
4,4,ENSMUSG00000049285,Mblac1,Down,-38.1833192018703,1.32550846829632e-11,-415.343540903981,Mblac1,Down,-38.2801332922257,1.11885802602528e-11,-419.214353417878
5,5,ENSMUSG00000000617,Grm6,Down,-22.4619395791204,4.6906826766258e-18,-389.237648734985,Grm6,Down,-22.6322232460309,2.41652775137466e-18,-398.707536360575
6,6,ENSMUSG00000102139,ENSMUSG00000102139,Down,-24.7557317899002,7.78083996354846e-16,-374.033696011748,ENSMUSG00000102139,Down,-24.9283038966552,4.47995753243185e-16,-382.617708718581
7,7,ENSMUSG00000096746,Trav7d-3,Down,-23.2749298490742,1.39340884505788e-13,-299.220669591041,Trav7d-3,Down,-23.408369623078,9.30451116592863e-14,-305.041637786382
8,8,ENSMUSG00000042745,Id1,Down,-24.1501679231374,5.54603383673211e-10,-223.534376564413,Id1,Down,-24.2835853685523,4.03298211894093e-10,-228.129075813568
9,9,ENSMUSG00000051804,Adam6b,Down,-22.823500605607,1.85533830226359e-10,-222.108651033325,Adam6b,Down,-22.8220112068818,1.78843584970141e-10,-222.458162061385
10,10,ENSMUSG00000015980,Lrrc27,Down,-24.1707087282766,1.09319600985807e-08,-192.430310824791,Lrrc27,Down,-24.3302183468287,7.80482853633102e-09,-197.260569569275
11,11,ENSMUSG00000063851,Rnf183,Down,-28.184263134069,2.49421979569894e-06,-157.918266159901,Rnf183,Down,-28.2350528388775,2.05980876189224e-06,-160.549397895921
12,12,ENSMUSG00000085417,ENSMUSG00000085417,Down,-21.6851953848405,6.34474409389944e-08,-156.081056320731,ENSMUSG00000085417,Down,-21.8804726785381,4.28678163375621e-08,-161.212448446873
13,13,ENSMUSG00000038781,Stap2,Down,-22.3235957106168,8.08817617078621e-07,-135.99868016576,Stap2,Down,-22.4491767203922,6.04549105966983e-07,-139.601741335427
14,14,ENSMUSG00000063171,Rps4l,Down,-22.2615031809229,1.91215407476624e-06,-127.30189652349,Rps4l,Down,-22.3938188229031,1.40648779146009e-06,-131.045582936377
15,15,ENSMUSG00000085298,F730035M05Rik,Down,-26.1812686511652,1.79182764512063e-05,-124.274726536651,F730035M05Rik,Down,-26.2656148012795,1.46420330622302e-05,-126.978451865472
16,16,ENSMUSG00000036172,Cd200r3,Down,-22.6023564860283,6.12147712471054e-06,-117.829333881639,Cd200r3,Down,-22.6984001680567,4.7183011177017e-06,-120.896544612837
17,17,ENSMUSG00000027857,Tshb,Down,-25.7725257959386,2.75298984860781e-05,-117.527753323912,Tshb,Down,-25.7937104514502,2.37742462204693e-05,-119.267363488745
18,18,ENSMUSG00000110986,ENSMUSG00000110986,Down,-25.3344128628871,3.96038807170463e-05,-111.528729529536,ENSMUSG00000110986,Down,-25.3827740964148,3.39716486801141e-05,-113.432657192349
19,19,ENSMUSG00000066235,Pomgnt2,Down,-22.1876545360618,1.41723011700156e-05,-107.578166006233,Pomgnt2,Down,-22.337859105738,1.05263646872123e-05,-111.191643497471
20,20,ENSMUSG00000028278,Rragd,Down,-20.283403390495,8.7129566613846e-06,-102.630663160579,Rragd,Down,-20.4480241263476,6.05568344298105e-06,-106.694453497273
21,21,ENSMUSG00000003882,Il7r,Down,-3.42258147011463,1.1326546186898e-27,-92.2245465910761,Il7r,Down,-2.28788192106198,2.16592625292912e-12,-26.68666997885
22,22,ENSMUSG00000059498,Fcgr3,Down,-23.7913947387438,0.000159679956737977,-90.3299683083553,Fcgr3,Down,-23.8816215992315,0.000133701949421586,-92.5141126334041
23,23,ENSMUSG00000030996,Art1,Down,-23.1282670679002,0.000283579651592637,-82.0434784825626,Art1,Down,-23.1897699596421,0.000241516994397872,-83.8786108758514
24,24,ENSMUSG00000082395,ENSMUSG00000082395,Down,-22.6887602865282,0.000412623078952276,-76.7888949916753,ENSMUSG00000082395,Down,-22.803400881515,0.000334152550637913,-79.2658806563341
25,25,ENSMUSG00000053158,Fes,Down,-22.3804137752741,0.000531518176843933,-73.28425934933,Fes,Down,-22.4382890968408,0.000452504642984847,-75.0420970839998
26,26,ENSMUSG00000104936,ENSMUSG00000104936,Down,-21.7330384623564,0.000895234033401133,-66.2436794542716,ENSMUSG00000104936,Down,-21.7632335207417,0.000781829888419848,-67.6159232131057
27,27,ENSMUSG00000079071,Slc28a2b,Down,-7.02817963912354,2.62295325590513e-07,-46.2539222501028,Slc28a2b,Down,-3.46207303648585,0.0696042785128492,-4.00687891893902
28,28,ENSMUSG00000026919,Lcn4,Down,-4.73500749267469,2.6238345132466e-10,-45.3664077426672,Lcn4,Down,-3.1128323206128,0.000157689405802657,-11.8356032154009
29,29,ENSMUSG00000021728,Emb,Down,-2.3536052687859,7.36363944896351e-16,-35.6168907871272,Emb,Down,-1.48732612743172,2.12820916495784e-06,-8.43609251247495
30,30,ENSMUSG00000107266,ENSMUSG00000107266,Down,-5.65865085051806,1.60604624830417e-05,-27.1289413036432,ENSMUSG00000107266,Down,-10.4232234252958,2.13142745507857e-14,-142.499321319205
31,31,ENSMUSG00000017493,Igfbp4,Down,-6.28759918279697,7.35715157051109e-05,-25.9884726912935,Igfbp4,Down,-3.82861934941065,0.0662016104422296,-4.51444546827916
