Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:2001242,regulation of intrinsic apoptotic signaling pathway,19_GO:0023052 signaling,-4.8,11,7.5,20580,177,62,6,9.7,3.8,12043|17869|18793|20437|76072|170770,Bcl2|Myc|Plaur|Siah1a|Rnf183|Bbc3,-0.76,Geneid
GO Biological Processes,19,GO:2000106,regulation of leukocyte apoptotic process,19_GO:0050789 regulation of biological process,-4.7,15,8.1,20580,112,62,5,8.1,3.5,12775|14605|16197|17869|170770,Ccr7|Tsc22d3|Il7r|Myc|Bbc3,-0.76,Geneid
GO Biological Processes,19,GO:0050778,positive regulation of immune response,19_GO:0002376 immune system process,-4.6,5,5.7,20580,667,62,10,16,4.7,12043|12775|14131|16190|18578|22165|66214|238447|239743|100033459,Bcl2|Ccr7|Fcgr3|Il4ra|Pde4b|Txk|Rgcc|Igha|Klhl6|Ifi208,-0.76,Geneid
GO Biological Processes,19,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,19_GO:0023052 signaling,-4.2,19,8.2,20580,71,62,4,6.5,3.1,17869|20437|76072|170770,Myc|Siah1a|Rnf183|Bbc3,-0.54,Geneid
GO Biological Processes,19,GO:0070228,regulation of lymphocyte apoptotic process,19_GO:0050789 regulation of biological process,-4,17,7.7,20580,80,62,4,6.5,3.1,14605|16197|17869|170770,Tsc22d3|Il7r|Myc|Bbc3,-0.45,Geneid
GO Biological Processes,19,GO:0002253,activation of immune response,19_GO:0002376 immune system process,-3.9,6.2,5.6,20580,377,62,7,11,4,12043|18578|22165|66214|238447|239743|100033459,Bcl2|Pde4b|Txk|Rgcc|Igha|Klhl6|Ifi208,-0.45,Geneid
GO Biological Processes,19,GO:0040014,regulation of multicellular organism growth,19_GO:0040007 growth,-3.8,15,7.3,20580,88,62,4,6.5,3.1,12043|20437|73094|231507,Bcl2|Siah1a|Sgip1|Plac8,-0.45,Geneid
KEGG Pathway,24,mmu04630,JAK-STAT signaling pathway,,-3.8,9.9,6.4,20580,168,62,5,8.1,3.5,12043|15979|16190|16197|17869,Bcl2|Ifngr1|Il4ra|Il7r|Myc,-0.45,Geneid
GO Biological Processes,19,GO:0001775,cell activation,19_GO:0009987 cellular process,-3.7,4.4,4.9,20580,686,62,9,15,4.5,12043|12775|14131|15979|16197|17305|20230|22165|66214,Bcl2|Ccr7|Fcgr3|Ifngr1|Il7r|Mfng|Satb1|Txk|Rgcc,-0.38,Geneid
GO Biological Processes,19,GO:0030217,T cell differentiation,19_GO:0002376 immune system process,-3.6,9.1,6,20580,183,62,5,8.1,3.5,12043|12775|16197|20230|22165,Bcl2|Ccr7|Il7r|Satb1|Txk,-0.38,Geneid
GO Biological Processes,19,GO:0070232,regulation of T cell apoptotic process,19_GO:0050789 regulation of biological process,-3.5,23,7.9,20580,44,62,3,4.8,2.7,14605|16197|170770,Tsc22d3|Il7r|Bbc3,-0.28,Geneid
GO Biological Processes,19,GO:0030098,lymphocyte differentiation,19_GO:0002376 immune system process,-3.5,6.4,5.3,20580,311,62,6,9.7,3.8,12043|12775|16197|17305|20230|22165,Bcl2|Ccr7|Il7r|Mfng|Satb1|Txk,-0.28,Geneid
GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-3.4,4.4,4.7,20580,598,62,8,13,4.3,12043|12775|14131|15979|16197|17305|20230|22165,Bcl2|Ccr7|Fcgr3|Ifngr1|Il7r|Mfng|Satb1|Txk,-0.24,Geneid
GO Biological Processes,19,GO:0002250,adaptive immune response,19_GO:0002376 immune system process,-3.3,5,4.8,20580,465,62,7,11,4,14131|16190|17101|22165|94212|238447|239743,Fcgr3|Il4ra|Lyst|Txk|Pag1|Igha|Klhl6,-0.24,Geneid
GO Biological Processes,19,GO:0022407,regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-3.3,5,4.8,20580,467,62,7,11,4,11898|12775|16190|16197|18793|66214|94212,Ass1|Ccr7|Il4ra|Il7r|Plaur|Rgcc|Pag1,-0.24,Geneid
GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-3.3,3.8,4.4,20580,783,62,9,15,4.5,11898|12043|12775|14159|16190|16197|18793|66214|94212,Ass1|Bcl2|Ccr7|Fes|Il4ra|Il7r|Plaur|Rgcc|Pag1,-0.24,Geneid
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0050789 regulation of biological process,-3.3,3.8,4.4,20580,784,62,9,15,4.5,12043|12775|14159|16190|16197|17101|22165|94212|238447,Bcl2|Ccr7|Fes|Il4ra|Il7r|Lyst|Txk|Pag1|Igha,-0.24,Geneid
GO Biological Processes,19,GO:0050900,leukocyte migration,19_GO:0040011 locomotion,-3.3,7.4,5.3,20580,223,62,5,8.1,3.5,12775|14131|17101|18578|20343,Ccr7|Fcgr3|Lyst|Pde4b|Sell,-0.24,Geneid
GO Biological Processes,19,GO:1903131,mononuclear cell differentiation,19_GO:0002376 immune system process,-3.2,5.7,4.8,20580,352,62,6,9.7,3.8,12043|12775|16197|17305|20230|22165,Bcl2|Ccr7|Il7r|Mfng|Satb1|Txk,-0.19,Geneid
GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0048518 positive regulation of biological process,-3.1,4.6,4.5,20580,503,62,7,11,4,12775|14131|15979|16190|18578|22165|66214,Ccr7|Fcgr3|Ifngr1|Il4ra|Pde4b|Txk|Rgcc,-0.16,Geneid
GO Biological Processes,19,GO:0030595,leukocyte chemotaxis,19_GO:0040011 locomotion,-3.1,9.7,5.6,20580,137,62,4,6.5,3.1,12775|14131|17101|18578,Ccr7|Fcgr3|Lyst|Pde4b,-0.16,Geneid
GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-3.1,4.5,4.5,20580,511,62,7,11,4,12775|13723|14131|14159|17101|18578|93691,Ccr7|Emb|Fcgr3|Fes|Lyst|Pde4b|Klf7,-0.15,Geneid
GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-3,4.5,4.4,20580,516,62,7,11,4,12775|13723|14131|14159|17101|18578|93691,Ccr7|Emb|Fcgr3|Fes|Lyst|Pde4b|Klf7,-0.14,Geneid
GO Biological Processes,19,GO:0050851,antigen receptor-mediated signaling pathway,19_GO:0002376 immune system process,-3,6.4,4.8,20580,258,62,5,8.1,3.5,12043|18578|22165|238447|239743,Bcl2|Pde4b|Txk|Igha|Klhl6,-0.081,Geneid
GO Biological Processes,19,GO:2001235,positive regulation of apoptotic signaling pathway,19_GO:0023052 signaling,-2.9,8.5,5.2,20580,157,62,4,6.5,3.1,17869|20437|76072|170770,Myc|Siah1a|Rnf183|Bbc3,-0.051,Geneid
GO Biological Processes,19,GO:2001233,regulation of apoptotic signaling pathway,19_GO:0023052 signaling,-2.9,5,4.4,20580,402,62,6,9.7,3.8,12043|17869|18793|20437|76072|170770,Bcl2|Myc|Plaur|Siah1a|Rnf183|Bbc3,-0.051,Geneid
KEGG Pathway,24,mmu04115,p53 signaling pathway,,-2.9,14,6,20580,72,62,3,4.8,2.7,12043|20437|170770,Bcl2|Siah1a|Bbc3,-0.051,Geneid
GO Biological Processes,19,GO:2000107,negative regulation of leukocyte apoptotic process,19_GO:0048519 negative regulation of biological process,-2.9,14,5.9,20580,73,62,3,4.8,2.7,12775|14605|16197,Ccr7|Tsc22d3|Il7r,-0.051,Geneid
GO Biological Processes,19,GO:0046632,alpha-beta T cell differentiation,19_GO:0002376 immune system process,-2.9,14,5.9,20580,73,62,3,4.8,2.7,12043|20230|22165,Bcl2|Satb1|Txk,-0.051,Geneid
GO Biological Processes,19,GO:0002886,regulation of myeloid leukocyte mediated immunity,19_GO:0002376 immune system process,-2.8,13,5.9,20580,75,62,3,4.8,2.7,14131|14159|16190,Fcgr3|Fes|Il4ra,-0.043,Geneid
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-2.8,3.6,4,20580,733,62,8,13,4.3,12043|12775|14159|16190|16197|17101|94212|238447,Bcl2|Ccr7|Fes|Il4ra|Il7r|Lyst|Pag1|Igha,-0.043,Geneid
Reactome Gene Sets,6,R-MMU-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",,-2.8,13,5.8,20580,76,62,3,4.8,2.7,13723|18174|74338,Emb|Slc11a2|Slc6a19,-0.043,Geneid
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0002376 immune system process,-2.8,4.7,4.3,20580,420,62,6,9.7,3.8,12043|12775|16197|17305|20230|22165,Bcl2|Ccr7|Il7r|Mfng|Satb1|Txk,-0.038,Geneid
GO Biological Processes,19,GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,19_GO:0048518 positive regulation of biological process,-2.8,13,5.7,20580,78,62,3,4.8,2.7,17869|18174|170770,Myc|Slc11a2|Bbc3,-0.038,Geneid
GO Biological Processes,19,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,19_GO:0023052 signaling,-2.8,13,5.7,20580,79,62,3,4.8,2.7,12043|17869|170770,Bcl2|Myc|Bbc3,-0.038,Geneid
GO Biological Processes,19,GO:0002429,immune response-activating cell surface receptor signaling pathway,19_GO:0002376 immune system process,-2.7,5.7,4.5,20580,290,62,5,8.1,3.5,12043|18578|22165|238447|239743,Bcl2|Pde4b|Txk|Igha|Klhl6,-0.038,Geneid
GO Biological Processes,19,GO:0002757,immune response-activating signal transduction,19_GO:0002376 immune system process,-2.7,5.7,4.4,20580,291,62,5,8.1,3.5,12043|18578|22165|238447|239743,Bcl2|Pde4b|Txk|Igha|Klhl6,-0.038,Geneid
GO Biological Processes,19,GO:0051251,positive regulation of lymphocyte activation,19_GO:0002376 immune system process,-2.7,4.5,4.1,20580,443,62,6,9.7,3.8,12043|12775|16190|16197|17101|238447,Bcl2|Ccr7|Il4ra|Il7r|Lyst|Igha,-0.0019,Geneid
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-2.7,5.5,4.3,20580,302,62,5,8.1,3.5,12043|12775|16197|20230|22165,Bcl2|Ccr7|Il7r|Satb1|Txk,-0.0019,Geneid
GO Biological Processes,19,GO:0002768,immune response-regulating cell surface receptor signaling pathway,19_GO:0002376 immune system process,-2.7,5.5,4.3,20580,303,62,5,8.1,3.5,12043|18578|22165|238447|239743,Bcl2|Pde4b|Txk|Igha|Klhl6,-0.0019,Geneid
KEGG Pathway,24,mmu05210,Colorectal cancer,,-2.6,11,5.3,20580,88,62,3,4.8,2.7,12043|17869|170770,Bcl2|Myc|Bbc3,-0.0019,Geneid
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-2.6,4.4,4,20580,453,62,6,9.7,3.8,12775|14131|20343|22165|380713|100033459,Ccr7|Fcgr3|Sell|Txk|Scarf1|Ifi208,-0.0019,Geneid
GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0065007 biological regulation,-2.6,5.3,4.2,20580,311,62,5,8.1,3.5,12043|12775|16197|18174|18578,Bcl2|Ccr7|Il7r|Slc11a2|Pde4b,-0.0019,Geneid
GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-2.6,3.8,3.8,20580,617,62,7,11,4,12043|12775|16190|16197|17101|94212|238447,Bcl2|Ccr7|Il4ra|Il7r|Lyst|Pag1|Igha,-0.0019,Geneid
GO Biological Processes,19,GO:1902107,positive regulation of leukocyte differentiation,19_GO:0002376 immune system process,-2.6,7,4.6,20580,189,62,4,6.5,3.1,12775|14159|16190|16197,Ccr7|Fes|Il4ra|Il7r,-0.0019,Geneid
GO Biological Processes,19,GO:1903708,positive regulation of hemopoiesis,19_GO:0002376 immune system process,-2.6,7,4.6,20580,189,62,4,6.5,3.1,12775|14159|16190|16197,Ccr7|Fes|Il4ra|Il7r,-0.0019,Geneid
GO Biological Processes,19,GO:0071456,cellular response to hypoxia,19_GO:0050896 response to stimulus,-2.6,11,5.3,20580,90,62,3,4.8,2.7,12043|17869|66214,Bcl2|Myc|Rgcc,-0.0019,Geneid
GO Biological Processes,19,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,19_GO:0002376 immune system process,-2.6,5.3,4.2,20580,315,62,5,8.1,3.5,14131|16190|17101|238447|239743,Fcgr3|Il4ra|Lyst|Igha|Klhl6,-0.0019,Geneid
GO Biological Processes,19,GO:0009410,response to xenobiotic stimulus,19_GO:0050896 response to stimulus,-2.6,5.2,4.2,20580,317,62,5,8.1,3.5,12043|17101|17869|18578|56448,Bcl2|Lyst|Myc|Pde4b|Cyp2d22,-0.0018,Geneid
GO Biological Processes,19,GO:0046631,alpha-beta T cell activation,19_GO:0002376 immune system process,-2.6,11,5.2,20580,92,62,3,4.8,2.7,12043|20230|22165,Bcl2|Satb1|Txk,-0.0018,Geneid
GO Biological Processes,19,GO:0043473,pigmentation,19_GO:0043473 pigmentation,-2.5,11,5.1,20580,94,62,3,4.8,2.7,12043|17101|17869,Bcl2|Lyst|Myc,-0.0018,Geneid
GO Biological Processes,19,GO:0015718,monocarboxylic acid transport,19_GO:0051179 localization,-2.5,11,5.1,20580,94,62,3,4.8,2.7,13723|17869|108116,Emb|Myc|Slco3a1,-0.0018,Geneid
GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-2.5,5.1,4.1,20580,323,62,5,8.1,3.5,12775|14159|16190|16197|17869,Ccr7|Fes|Il4ra|Il7r|Myc,-0.0018,Geneid
GO Biological Processes,19,GO:0031669,cellular response to nutrient levels,19_GO:0050896 response to stimulus,-2.5,6.7,4.4,20580,197,62,4,6.5,3.1,12043|14159|52187|66148,Bcl2|Fes|Rragd|Dnajc15,-0.0018,Geneid
