_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-4.814361047399874,GO:0023052,signaling,M1,1,GO:2001242 regulation of intrinsic apoptotic signaling pathway
1,-4.656517244119248,GO:0050789,regulation of biological process,M1,1,GO:2000106 regulation of leukocyte apoptotic process
1,-4.551782378629572,GO:0002376,immune system process,M1,1,GO:0050778 positive regulation of immune response
1,-3.841391382202041,GO:0040007,growth,M1,1,GO:0040014 regulation of multicellular organism growth
1,-3.695763274682658,GO:0009987,cellular process,M1,1,GO:0001775 cell activation
1,-3.304448322485947,GO:0022610,biological adhesion,M1,1,GO:0022407 regulation of cell-cell adhesion
1,-3.2522968972164574,GO:0040011,locomotion,M1,1,GO:0050900 leukocyte migration
1,-3.113907669273154,GO:0048518,positive regulation of biological process,M1,1,GO:0001819 positive regulation of cytokine production
1,-2.8558415035374494,GO:0048519,negative regulation of biological process,M1,1,GO:2000107 negative regulation of leukocyte apoptotic process
1,-2.612077730818318,GO:0065007,biological regulation,M1,1,GO:0048872 homeostasis of number of cells
1,-2.5953993603257675,GO:0050896,response to stimulus,M1,1,GO:0071456 cellular response to hypoxia
1,-2.541819574691263,GO:0043473,pigmentation,M1,1,GO:0043473 pigmentation
1,-2.541819574691263,GO:0051179,localization,M1,1,GO:0015718 monocarboxylic acid transport
1,-2.4315152007090726,GO:0008152,metabolic process,M1,1,GO:0043281 regulation of cysteine-type endopeptidase activity involved in apoptotic process
1,-2.1956267337787057,GO:0032501,multicellular organismal process,M1,1,GO:0032649 regulation of interferon-gamma production
1,-2.027381942774781,GO:0032502,developmental process,M1,1,GO:0016358 dendrite development
