Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:2000106,regulation of leukocyte apoptotic process,19_GO:0050789 regulation of biological process,-6,49,14,20580,112,15,4,27,11,12775|16197|17869|170770,Ccr7|Il7r|Myc|Bbc3,-1.7
Geneid,GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-5.6,21,9.9,20580,323,15,5,33,12,12775|14159|16190|16197|17869,Ccr7|Fes|Il4ra|Il7r|Myc,-1.6
Geneid,KEGG Pathway,24,mmu04630,JAK-STAT signaling pathway,,-5.3,33,11,20580,168,15,4,27,11,12043|16190|16197|17869,Bcl2|Il4ra|Il7r|Myc,-1.6
Geneid,GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-5.2,17,8.8,20580,400,15,5,33,12,12775|14159|16190|16197|17869,Ccr7|Fes|Il4ra|Il7r|Myc,-1.6
Geneid,GO Biological Processes,19,GO:1902107,positive regulation of leukocyte differentiation,19_GO:0002376 immune system process,-5.1,29,10,20580,189,15,4,27,11,12775|14159|16190|16197,Ccr7|Fes|Il4ra|Il7r,-1.6
Geneid,GO Biological Processes,19,GO:1903708,positive regulation of hemopoiesis,19_GO:0002376 immune system process,-5.1,29,10,20580,189,15,4,27,11,12775|14159|16190|16197,Ccr7|Fes|Il4ra|Il7r,-1.6
Geneid,GO Biological Processes,19,GO:0002697,regulation of immune effector process,19_GO:0002376 immune system process,-5,16,8.5,20580,431,15,5,33,12,12775|14131|14159|16190|16197,Ccr7|Fcgr3|Fes|Il4ra|Il7r,-1.6
Geneid,GO Biological Processes,19,GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,19_GO:0002376 immune system process,-4.8,25,9.6,20580,220,15,4,27,11,12775|14131|16190|16197,Ccr7|Fcgr3|Il4ra|Il7r,-1.4
Geneid,GO Biological Processes,19,GO:0002886,regulation of myeloid leukocyte mediated immunity,19_GO:0002376 immune system process,-4.7,55,13,20580,75,15,3,20,10,14131|14159|16190,Fcgr3|Fes|Il4ra,-1.4
Geneid,GO Biological Processes,19,GO:0002819,regulation of adaptive immune response,19_GO:0002376 immune system process,-4.7,23,9.3,20580,236,15,4,27,11,12775|14131|16190|16197,Ccr7|Fcgr3|Il4ra|Il7r,-1.4
Geneid,GO Biological Processes,19,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,19_GO:0023052 signaling,-4.6,52,12,20580,79,15,3,20,10,12043|17869|170770,Bcl2|Myc|Bbc3,-1.4
Geneid,GO Biological Processes,19,GO:0070228,regulation of lymphocyte apoptotic process,19_GO:0050789 regulation of biological process,-4.6,51,12,20580,80,15,3,20,10,16197|17869|170770,Il7r|Myc|Bbc3,-1.4
Geneid,KEGG Pathway,24,mmu05200,Pathways in cancer,,-4.5,13,7.4,20580,543,15,5,33,12,12043|16190|16197|17869|170770,Bcl2|Il4ra|Il7r|Myc|Bbc3,-1.4
Geneid,KEGG Pathway,24,mmu05210,Colorectal cancer,,-4.5,47,12,20580,88,15,3,20,10,12043|17869|170770,Bcl2|Myc|Bbc3,-1.4
Geneid,GO Biological Processes,19,GO:0002703,regulation of leukocyte mediated immunity,19_GO:0002376 immune system process,-4.3,18,8.2,20580,299,15,4,27,11,14131|14159|16190|16197,Fcgr3|Fes|Il4ra|Il7r,-1.2
Geneid,GO Biological Processes,19,GO:0060627,regulation of vesicle-mediated transport,19_GO:0051179 localization,-4.3,11,6.9,20580,616,15,5,33,12,12775|14131|14159|16190|73094,Ccr7|Fcgr3|Fes|Il4ra|Sgip1,-1.2
Geneid,GO Biological Processes,19,GO:0002699,positive regulation of immune effector process,19_GO:0002376 immune system process,-4.3,18,8.1,20580,304,15,4,27,11,12775|14131|14159|16190,Ccr7|Fcgr3|Fes|Il4ra,-1.2
Geneid,GO Biological Processes,19,GO:0045582,positive regulation of T cell differentiation,19_GO:0022610 biological adhesion,-4.2,39,11,20580,106,15,3,20,10,12775|16190|16197,Ccr7|Il4ra|Il7r,-1.2
Geneid,GO Biological Processes,19,GO:0007006,mitochondrial membrane organization,19_GO:0009987 cellular process,-4.2,39,11,20580,106,15,3,20,10,12043|17869|170770,Bcl2|Myc|Bbc3,-1.2
Geneid,GO Biological Processes,19,GO:0045621,positive regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-4.1,34,9.8,20580,122,15,3,20,10,12775|16190|16197,Ccr7|Il4ra|Il7r,-1.1
Geneid,KEGG Pathway,24,mmu04151,PI3K-Akt signaling pathway,,-4,15,7.4,20580,359,15,4,27,11,12043|16190|16197|17869,Bcl2|Il4ra|Il7r|Myc,-1
Geneid,GO Biological Processes,19,GO:0010212,response to ionizing radiation,19_GO:0050896 response to stimulus,-4,31,9.4,20580,132,15,3,20,10,12043|17869|170770,Bcl2|Myc|Bbc3,-1
Geneid,GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-3.9,9.4,6.2,20580,733,15,5,33,12,12043|12775|14159|16190|16197,Bcl2|Ccr7|Fes|Il4ra|Il7r,-0.99
Geneid,GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-3.8,8.8,6,20580,783,15,5,33,12,12043|12775|14159|16190|16197,Bcl2|Ccr7|Fes|Il4ra|Il7r,-0.89
Geneid,GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0050789 regulation of biological process,-3.8,8.8,6,20580,784,15,5,33,12,12043|12775|14159|16190|16197,Bcl2|Ccr7|Fes|Il4ra|Il7r,-0.89
Geneid,GO Biological Processes,19,GO:0061024,membrane organization,19_GO:0009987 cellular process,-3.7,8.6,5.9,20580,798,15,5,33,12,12043|14131|17869|73094|170770,Bcl2|Fcgr3|Myc|Sgip1|Bbc3,-0.87
Geneid,GO Biological Processes,19,GO:0097193,intrinsic apoptotic signaling pathway,19_GO:0023052 signaling,-3.7,26,8.5,20580,161,15,3,20,10,12043|17869|170770,Bcl2|Myc|Bbc3,-0.86
Geneid,GO Biological Processes,19,GO:0009314,response to radiation,19_GO:0050896 response to stimulus,-3.7,13,6.7,20580,429,15,4,27,11,12043|17869|108072|170770,Bcl2|Myc|Grm6|Bbc3,-0.85
Geneid,GO Biological Processes,19,GO:0045580,regulation of T cell differentiation,19_GO:0002376 immune system process,-3.7,25,8.3,20580,167,15,3,20,10,12775|16190|16197,Ccr7|Il4ra|Il7r,-0.85
Geneid,GO Biological Processes,19,GO:0051251,positive regulation of lymphocyte activation,19_GO:0002376 immune system process,-3.6,12,6.5,20580,443,15,4,27,11,12043|12775|16190|16197,Bcl2|Ccr7|Il4ra|Il7r,-0.83
Geneid,GO Biological Processes,19,GO:2001242,regulation of intrinsic apoptotic signaling pathway,19_GO:0023052 signaling,-3.6,23,8,20580,177,15,3,20,10,12043|17869|170770,Bcl2|Myc|Bbc3,-0.8
Geneid,GO Biological Processes,19,GO:0030217,T cell differentiation,19_GO:0002376 immune system process,-3.5,22,7.9,20580,183,15,3,20,10,12043|12775|16197,Bcl2|Ccr7|Il7r,-0.77
Geneid,GO Biological Processes,19,GO:0045619,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-3.4,20,7.5,20580,201,15,3,20,10,12775|16190|16197,Ccr7|Il4ra|Il7r,-0.67
Geneid,GO Biological Processes,19,GO:0002696,positive regulation of leukocyte activation,19_GO:0002376 immune system process,-3.4,11,6,20580,508,15,4,27,11,12043|12775|16190|16197,Bcl2|Ccr7|Il4ra|Il7r,-0.66
Geneid,GO Biological Processes,19,GO:0050867,positive regulation of cell activation,19_GO:0048518 positive regulation of biological process,-3.3,10,5.9,20580,527,15,4,27,11,12043|12775|16190|16197,Bcl2|Ccr7|Il4ra|Il7r,-0.61
Geneid,GO Biological Processes,19,GO:0050870,positive regulation of T cell activation,19_GO:0022610 biological adhesion,-3.3,18,7.1,20580,223,15,3,20,10,12775|16190|16197,Ccr7|Il4ra|Il7r,-0.59
