Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
12043,3.0,1,1,1
73094,3.0,1,1,1
16197,3.0,1,1,1
16190,3.0,1,1,1
12775,3.0,1,1,1
170770,3.0,1,1,1
17869,3.0,1,1,1
14131,3.0,1,1,1
14159,3.0,1,1,1
108072,2.0,1,0,1
20230,2.0,1,1,0
20437,2.0,1,1,0
278679,2.0,1,0,1
231507,2.0,1,1,0
18174,2.0,1,1,0
66214,2.0,1,1,0
13723,2.0,1,1,0
22354,2.0,1,0,1
20343,2.0,1,0,1
22094,2.0,1,0,1
14605,2.0,1,1,0
74338,2.0,1,1,0
76072,2.0,1,1,0
22165,2.0,1,1,0
17101,2.0,1,1,0
15901,2.0,1,1,0
108116,2.0,1,1,0
16010,2.0,1,0,1
100041546,1.0,1,0,0
11898,1.0,1,0,0
330216,1.0,1,0,0
15979,1.0,1,0,0
100039864,1.0,1,0,0
380713,1.0,1,0,0
215494,1.0,1,0,0
17299,1.0,1,0,0
67647,1.0,1,0,0
102633020,1.0,1,0,0
52187,1.0,1,0,0
237860,1.0,1,0,0
216505,1.0,1,0,0
74603,1.0,1,0,0
100042419,1.0,1,0,0
238405,1.0,1,0,0
432466,1.0,1,0,0
381417,1.0,1,0,0
66148,1.0,1,0,0
239743,1.0,1,0,0
241303,1.0,1,0,0
235634,1.0,1,0,0
56448,1.0,1,0,0
18793,1.0,1,0,0
66184,1.0,1,0,0
228993,1.0,1,0,0
94212,1.0,1,0,0
56338,1.0,1,0,0
106766,1.0,1,0,0
93691,1.0,1,0,0
547420,1.0,1,0,0
17305,1.0,1,0,0
238447,1.0,1,0,0
11870,1.0,1,0,0
18578,1.0,1,0,0
320982,1.0,1,0,0
76612,1.0,1,0,0
16821,1.0,1,0,0
414124,1.0,1,0,0
100033459,1.0,1,0,0
