,gene,Geneid,genename.x,dfin_change.x,dfin_log2FC.x,dfin_padj.x,dfin_Change Metric.x,genename.y,dfin_change.y,dfin_log2FC.y,dfin_padj.y,dfin_Change Metric.y
1,1,ENSMUSG00000022793,B4galt4,Up,47.6654801605748,1.07931201929815e-135,6433.25985336691,B4galt4,Up,48.1907895911472,1.73864172943242e-138,6638.75304924026
2,2,ENSMUSG00000055407,Map6,Up,45.3287134691179,1.07931201929815e-135,6117.87380685712,Map6,Up,44.501950224757,1.08577980104529e-130,5783.66295127684
3,3,ENSMUSG00000016529,Il10,Up,48.8731777202306,6.91741788607065e-122,5921.4769488699,Il10,Up,48.1633778635518,1.95194767684178e-118,5669.28865957587
4,4,ENSMUSG00000045573,Penk,Up,45.5327528704535,1.05745943851554e-120,5462.82555058253,Penk,Up,46.3983621920674,2.81662900764468e-125,5778.92855492848
5,5,ENSMUSG00000001555,Fkbp10,Up,43.0188921788155,4.32687150453091e-96,4102.44614853461,Fkbp10,Up,39.3034376386092,5.89174264265784e-80,3114.00178318041
6,6,ENSMUSG00000017314,Mpp2,Up,48.2032101993196,6.07681434247705e-77,3673.87148793017,Mpp2,Up,49.4134336813305,5.47650432108971e-81,3965.99613769507
7,7,ENSMUSG00000117250,ENSMUSG00000117250,Up,48.189619703008,1.70110728984151e-76,3651.29222427818,ENSMUSG00000117250,Up,50.5375773527452,2.79325719022494e-84,4222.61113223167
8,8,ENSMUSG00000020953,Coch,Up,39.1143834712116,3.24456040310755e-86,3343.84343205735,Coch,Up,39.1776226792751,2.01855645154996e-86,3357.32477315433
9,9,ENSMUSG00000014846,Tppp3,Up,43.9891644679459,4.85338723405711e-75,3269.00879124525,Tppp3,Up,40.8854969265718,1.47093478073442e-64,2609.81966315992
10,10,ENSMUSG00000076750,Trgv3,Up,50.4948246869769,6.88177752407951e-54,2684.4209867192,Trgv3,Up,50.6988231706597,3.31788396699417e-54,2711.32940165411
11,11,ENSMUSG00000085457,1110046J04Rik,Up,45.9972201814613,6.56478579987935e-58,2630.24889647984,1110046J04Rik,Up,48.2989027002755,6.04435944522216e-64,3053.39141152391
12,12,ENSMUSG00000025930,Msc,Up,49.07386927998,5.76505059675096e-53,2563.5795188224,Msc,Up,48.9989002635144,1.12295124200642e-52,2545.47518499544
13,13,ENSMUSG00000004347,Pde1c,Up,46.0143504041539,1.08073778326716e-46,2115.10849928344,Pde1c,Up,39.3824691880198,3.98038457167502e-33,1275.9949540299
14,14,ENSMUSG00000007021,Syngr3,Up,48.0342239482323,1.47726016312874e-44,2105.36611888385,Syngr3,Up,46.8889288772479,2.15905467689601e-42,1953.66174876717
15,15,ENSMUSG00000031078,Cttn,Up,46.5646408596876,1.293120402471e-43,1997.08112870511,Cttn,Up,48.6690356958182,1.0361144833678e-47,2286.69479763405
16,16,ENSMUSG00000109759,ENSMUSG00000109759,Up,41.7885278592187,2.36758704084105e-48,1990.20764244904,ENSMUSG00000109759,Up,42.0083707694766,9.01419176748314e-49,2018.29524892659
17,17,ENSMUSG00000081284,Gm13673,Up,47.5857397693105,6.22822444745229e-39,1818.04344028677,Gm13673,Up,46.7862059695044,1.44851068819831e-37,1723.56070487858
18,18,ENSMUSG00000031286,Glt28d2,Up,39.1883788843849,7.69181933136118e-42,1611.18987005842,Glt28d2,Up,38.9799600706666,2.61879323427231e-41,1581.88079441671
19,19,ENSMUSG00000018919,Tm4sf5,Up,44.7988074127057,1.98301677656911e-36,1599.43719924448,Tm4sf5,Up,45.8869753054934,3.47386128013384e-38,1718.88881306094
20,20,ENSMUSG00000005089,Slc1a2,Up,39.9119387010642,1.65382858568005e-40,1587.7571688296,Slc1a2,Up,39.0455256819203,1.13272504016581e-38,1481.61665631187
21,21,ENSMUSG00000040899,Ccr6,Up,37.3235768981533,1.34845448703453e-42,1562.74427486576,Ccr6,Up,39.776598281112,2.25643620924665e-48,1895.21875040157
22,22,ENSMUSG00000058260,Serpina9,Up,33.5681840674649,5.96306200385379e-46,1518.10537005779,Serpina9,Up,34.4666658535308,2.20701969577503e-48,1642.55010724936
23,23,ENSMUSG00000038264,Sema7a,Up,35.7132806003684,7.69181933136118e-42,1468.31478024714,Sema7a,Up,36.43206635518,1.7680460202249e-43,1557.56215128963
24,24,ENSMUSG00000038180,Spag4,Up,46.6589278074156,3.88794354863579e-31,1418.91106143197,Spag4,Up,46.6390813647293,4.56149251664142e-31,1415.07137885777
25,25,ENSMUSG00000113649,ENSMUSG00000113649,Up,46.1039827505352,5.32042184635752e-31,1395.75446026682,ENSMUSG00000113649,Up,47.9805960969995,1.34147775392494e-33,1577.238140016
26,26,ENSMUSG00000028601,Echdc2,Up,40.8711188866678,5.69676475148864e-34,1358.73466865224,Echdc2,Up,40.8491584794758,6.76166620683258e-34,1354.96439202937
27,27,ENSMUSG00000029752,Asns,Up,33.1679481711991,3.02260796640075e-40,1310.78464745217,Asns,Up,33.4173900722017,9.1207624189091e-41,1338.03125776629
28,28,ENSMUSG00000092622,Khdc3,Up,41.3390162699799,2.25276454143607e-31,1266.92858010376,Khdc3,Up,40.4507371616842,5.2988839642668e-30,1184.22832165032
29,29,ENSMUSG00000113581,Dio3os,Up,43.8721911836486,2.14827206955499e-29,1257.72405985294,Dio3os,Up,49.5635552488931,3.47386128013384e-38,1856.61051062241
30,30,ENSMUSG00000034394,Lif,Up,37.4185343849307,5.87707523135848e-34,1243.4492824042,Lif,Up,38.9986491312053,6.86681088349808e-37,1410.31769981564
31,31,ENSMUSG00000111828,D830035M03Rik,Up,49.2335778563996,3.55076710850752e-25,1203.74511610784,D830035M03Rik,Up,47.6896978309005,1.44623124628596e-23,1089.22136069138
32,32,ENSMUSG00000034634,Ly6d,Up,45.5092404015707,3.54590381096246e-27,1203.73183490128,Ly6d,Up,41.0200102573714,4.28880676078007e-22,876.501776814454
33,33,ENSMUSG00000085546,ENSMUSG00000085546,Up,47.2737021223297,4.38509102514781e-26,1198.76754946903,ENSMUSG00000085546,Up,48.7069280947632,1.08291001902605e-27,1313.40217039263
34,34,ENSMUSG00000001663,Gstt1,Up,41.1912146016375,8.11573255430856e-29,1157.08890990696,Gstt1,Up,37.0807023059549,2.5246315685785e-23,837.942368418259
35,35,ENSMUSG00000024397,Aif1,Up,43.1082554598226,1.06000477114896e-26,1119.72366598327,Aif1,Up,43.363779156011,5.42408247546051e-27,1138.97887438106
36,36,ENSMUSG00000028716,Pdzk1ip1,Up,32.1579910934437,7.97922149631433e-35,1096.5244498734,Pdzk1ip1,Up,32.0543666184901,1.48241314930195e-34,1084.36815373278
37,37,ENSMUSG00000029759,Pon3,Up,26.0401429488088,9.20318660427033e-43,1094.62505755064,Pon3,Up,24.8916784670833,5.24313768049285e-39,952.863625892826
38,38,ENSMUSG00000023984,Gm20517,Up,37.8379967648292,2.93139813312559e-29,1079.62873114639,Gm20517,Up,29.014129953869,1.50962101894413e-16,459.036381779604
39,39,ENSMUSG00000014599,Csf1,Up,26.3906342094953,1.15480567054271e-40,1053.97571866008,Csf1,Up,24.8858725495849,4.29869913517846e-36,880.130266677227
40,40,ENSMUSG00000097223,ENSMUSG00000097223,Up,47.9967836088568,9.26185723183728e-21,961.534057118684,ENSMUSG00000097223,Up,39.4008378258225,9.15784040179388e-14,513.716276765069
41,41,ENSMUSG00000000125,Wnt3,Up,25.3186622418389,9.75764539971403e-38,937.060272497452,Wnt3,Up,26.9906881315476,7.9897576369391e-43,1136.23958658145
42,42,ENSMUSG00000020798,Spns3,Up,48.5306659818827,1.15029801670321e-19,919.131485852575,Spns3,Up,49.4527498742097,2.01441899086704e-20,974.013953150394
43,43,ENSMUSG00000108214,ENSMUSG00000108214,Up,37.1761501416316,4.25521691743659e-25,906.022865847878,ENSMUSG00000108214,Up,37.9107535958613,4.48006882185834e-26,960.988900256298
44,44,ENSMUSG00000027718,Il21,Up,24.8284988813443,1.31820409114872e-36,890.846970508653,Il21,Up,27.3749853616084,1.92801292551699e-44,1196.69447544634
45,45,ENSMUSG00000112734,ENSMUSG00000112734,Up,35.3398256502663,9.62488835172592e-26,884.082434309099,ENSMUSG00000112734,Up,35.1039240582853,2.24567343936618e-25,865.264457007696
46,46,ENSMUSG00000034258,Flvcr2,Up,48.5245404362102,1.08985985197958e-18,871.628334019706,Flvcr2,Up,46.5183079247096,3.57558193351807e-17,765.070480947808
47,47,ENSMUSG00000091682,Trgc3,Up,31.8016243611158,1.65519177387168e-27,851.684125708789,Trgc3,Up,31.9038494409767,1.08502156433313e-27,860.273314495513
48,48,ENSMUSG00002075479,ENSMUSG00002075479,Up,40.7652048565325,1.97559413173252e-21,844.015123551203,ENSMUSG00002075479,Up,38.9562971185913,1.37573321994287e-19,734.772864848354
49,49,ENSMUSG00000037706,Cd81,Up,26.8910501310465,9.508761601839e-32,834.21082377347,Cd81,Up,25.9239235848605,1.72530272175639e-29,745.653305830962
50,50,ENSMUSG00000044676,Zfp612,Up,33.3413076516418,2.29308529025977e-25,821.515810238406,Zfp612,Up,32.2045784084389,1.27363529612294e-23,737.322370681777
51,51,ENSMUSG00000039013,Siglecf,Up,36.7513278442103,2.19987232437981e-22,795.945650676072,Siglecf,Up,38.1336829574735,4.20570949343887e-24,891.419102010775
52,52,ENSMUSG00000086968,4933431E20Rik,Up,35.5628590284939,4.20615872464814e-23,795.758599974768,4933431E20Rik,Up,33.3936726027562,2.37223630323023e-20,655.34555037217
53,53,ENSMUSG00000052117,D630039A03Rik,Up,25.2213607326653,3.82595803169739e-32,792.386042602623,D630039A03Rik,Up,25.2753893365918,2.82393891059231e-32,797.416915591616
54,54,ENSMUSG00000108347,Gm19187,Up,46.9691544242735,1.69014017532704e-17,787.770287534385,Gm19187,Up,44.7322765024375,8.34134349273224e-16,674.507440311941
55,55,ENSMUSG00000004032,Gstm5,Up,29.7471456959581,1.20142105397749e-26,771.055082228323,Gstm5,Up,27.8281726026608,2.59922252261327e-23,628.503634409448
56,56,ENSMUSG00000093963,ENSMUSG00000093963,Up,35.5121841053448,4.72869822628822e-22,757.306502419337,ENSMUSG00000093963,Up,36.0900096127576,8.61295383168764e-23,796.320572119984
57,57,ENSMUSG00000106739,ENSMUSG00000106739,Up,44.6534821113584,1.35798989297933e-17,753.174902725942,ENSMUSG00000106739,Up,42.9950008816111,2.62445400227119e-16,669.903433415983
58,58,ENSMUSG00000110697,ENSMUSG00000110697,Up,23.825155872699,4.04690254947136e-32,747.94019385508,ENSMUSG00000110697,Up,26.5569887969714,6.10451344348485e-40,1041.4150256266
59,59,ENSMUSG00000038068,Rnf144b,Up,45.5543784723172,2.08479694394751e-16,714.335304197634,Rnf144b,Up,45.2549036612827,3.39257609071175e-16,700.069392776312
60,60,ENSMUSG00000071637,Cebpd,Up,42.4681372863932,3.54298380823767e-17,698.627648639328,Cebpd,Up,40.4748826800788,1.33383591724132e-15,602.0597349214
61,61,ENSMUSG00000066456,Hmgn3,Up,30.2160627594755,9.01083996054627e-24,696.336258716534,Hmgn3,Up,27.9596156677953,2.42580051032517e-20,548.431913145147
62,62,ENSMUSG00000020656,Grhl1,Up,24.2076495001626,2.03785726157648e-29,694.537465457014,Grhl1,Up,24.8734051593909,4.72807302317101e-31,754.293867091087
