Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0001817,regulation of cytokine production,19_GO:0032501 multicellular organismal process,-6,2.7,5.8,20580,780,280,29,10,1.8,11629|12520|12522|15251|15442|15900|16153|16178|16196|16364|16410|16768|16803|17470|18987|19122|19280|20361|20371|21809|22164|22402|58206|60505|66889|171285|229521|380797|100043314,Aif1|Cd81|Cd83|Hif1a|Hpse|Irf8|Il10|Il1r2|Il7|Irf4|Itgav|Lag3|Lbp|Cd200|Pou2f2|Prnp|Ptprs|Sema7a|Foxp3|Tgfb3|Tnfsf4|Ccn4|Zbtb32|Il21|Rnf128|Havcr2|Syt11|Ighd|Tigit,-1.7,Geneid
GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-5.5,2.6,5.5,20580,783,280,28,10,1.8,11492|11629|12367|12520|12522|12977|13642|13848|14758|15442|16153|16196|16410|16768|16878|18846|19122|20371|20750|22164|22329|54371|60505|94214|171285|235431|243743|100043314,Adam19|Aif1|Casp3|Cd81|Cd83|Csf1|Efnb2|Ephb6|Gpm6b|Hpse|Il10|Il7|Itgav|Lag3|Lif|Plxna3|Prnp|Foxp3|Spp1|Tnfsf4|Vcam1|Chst2|Il21|Spock2|Havcr2|Coro2b|Plxna4|Tigit,-1.5,Geneid
GO Biological Processes,19,GO:0001818,negative regulation of cytokine production,19_GO:0048519 negative regulation of biological process,-4.8,3.7,5.5,20580,296,280,15,5.4,1.3,12522|16153|16178|16768|16803|17470|19122|19280|20371|21809|22164|66889|171285|229521|100043314,Cd83|Il10|Il1r2|Lag3|Lbp|Cd200|Prnp|Ptprs|Foxp3|Tgfb3|Tnfsf4|Rnf128|Havcr2|Syt11|Tigit,-1.3,Geneid
GO Biological Processes,19,GO:0070665,positive regulation of leukocyte proliferation,19_GO:0048518 positive regulation of biological process,-4.8,4.9,5.9,20580,165,280,11,3.9,1.2,11629|12520|12977|12984|16196|20371|22164|22329|60505|171285|380797,Aif1|Cd81|Csf1|Csf2rb2|Il7|Foxp3|Tnfsf4|Vcam1|Il21|Havcr2|Ighd,-1.3,Geneid
GO Biological Processes,19,GO:0050920,regulation of chemotaxis,19_GO:0040011 locomotion,-4.8,4.2,5.6,20580,230,280,13,4.6,1.3,11629|12458|12977|13043|13642|14173|16803|18846|20361|22415|53416|214968|243743,Aif1|Ccr6|Csf1|Cttn|Efnb2|Fgf2|Lbp|Plxna3|Sema7a|Wnt3|Stk39|Sema6d|Plxna4,-1.3,Geneid
GO Biological Processes,19,GO:1903037,regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-4.7,3.4,5.3,20580,342,280,16,5.7,1.4,11629|12367|12520|12522|13642|13848|16196|16768|19122|20371|22164|22329|54371|60505|171285|100043314,Aif1|Casp3|Cd81|Cd83|Efnb2|Ephb6|Il7|Lag3|Prnp|Foxp3|Tnfsf4|Vcam1|Chst2|Il21|Havcr2|Tigit,-1.3,Geneid
GO Biological Processes,19,GO:0070663,regulation of leukocyte proliferation,19_GO:0050789 regulation of biological process,-4.7,3.8,5.5,20580,269,280,14,5,1.3,11629|12367|12520|12977|12984|16153|16196|19122|20371|22164|22329|60505|171285|380797,Aif1|Casp3|Cd81|Csf1|Csf2rb2|Il10|Il7|Prnp|Foxp3|Tnfsf4|Vcam1|Il21|Havcr2|Ighd,-1.3,Geneid
GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-4.6,3.4,5.3,20580,348,280,16,5.7,1.4,11629|12367|12520|12522|13642|13848|16196|16768|19122|20371|22164|22329|60505|171285|252838|100043314,Aif1|Casp3|Cd81|Cd83|Efnb2|Ephb6|Il7|Lag3|Prnp|Foxp3|Tnfsf4|Vcam1|Il21|Havcr2|Tox|Tigit,-1.2,Geneid
GO Biological Processes,19,GO:0032663,regulation of interleukin-2 production,19_GO:0032501 multicellular organismal process,-4.5,7.7,6.4,20580,67,280,7,2.5,0.93,12522|16364|16768|19122|20371|22164|171285,Cd83|Irf4|Lag3|Prnp|Foxp3|Tnfsf4|Havcr2,-1.2,Geneid
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-4.4,2.9,5,20580,481,280,19,6.8,1.5,11492|11629|12520|12522|12977|13642|13848|15442|16196|16410|16878|20371|20750|22164|22329|54371|60505|94214|171285,Adam19|Aif1|Cd81|Cd83|Csf1|Efnb2|Ephb6|Hpse|Il7|Itgav|Lif|Foxp3|Spp1|Tnfsf4|Vcam1|Chst2|Il21|Spock2|Havcr2,-1.2,Geneid
GO Biological Processes,19,GO:0032946,positive regulation of mononuclear cell proliferation,19_GO:0048518 positive regulation of biological process,-4.4,4.9,5.7,20580,149,280,10,3.6,1.1,11629|12520|12977|16196|20371|22164|22329|60505|171285|380797,Aif1|Cd81|Csf1|Il7|Foxp3|Tnfsf4|Vcam1|Il21|Havcr2|Ighd,-1.2,Geneid
GO Biological Processes,19,GO:0032944,regulation of mononuclear cell proliferation,19_GO:0050789 regulation of biological process,-4.4,3.8,5.3,20580,249,280,13,4.6,1.3,11629|12367|12520|12977|16153|16196|19122|20371|22164|22329|60505|171285|380797,Aif1|Casp3|Cd81|Csf1|Il10|Il7|Prnp|Foxp3|Tnfsf4|Vcam1|Il21|Havcr2|Ighd,-1.2,Geneid
GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0048518 positive regulation of biological process,-4.2,2.8,4.7,20580,503,280,19,6.8,1.5,11629|12520|12522|15251|15442|15900|16153|16196|16364|16803|17470|18987|20361|20371|22164|60505|171285|380797|100043314,Aif1|Cd81|Cd83|Hif1a|Hpse|Irf8|Il10|Il7|Irf4|Lbp|Cd200|Pou2f2|Sema7a|Foxp3|Tnfsf4|Il21|Havcr2|Ighd|Tigit,-1.1,Geneid
GO Biological Processes,19,GO:0032673,regulation of interleukin-4 production,19_GO:0032501 multicellular organismal process,-4.2,11,7,20580,32,280,5,1.8,0.79,12522|16364|20371|22164|171285,Cd83|Irf4|Foxp3|Tnfsf4|Havcr2,-1.1,Geneid
GO Biological Processes,19,GO:0048841,regulation of axon extension involved in axon guidance,19_GO:0040007 growth,-4.1,11,6.8,20580,33,280,5,1.8,0.79,18846|20361|22415|214968|243743,Plxna3|Sema7a|Wnt3|Sema6d|Plxna4,-1,Geneid
GO Biological Processes,19,GO:0022407,regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-4.1,2.8,4.7,20580,467,280,18,6.4,1.5,11492|11629|12367|12520|12522|13642|13848|16153|16196|16768|19122|20371|22164|22329|54371|60505|171285|100043314,Adam19|Aif1|Casp3|Cd81|Cd83|Efnb2|Ephb6|Il10|Il7|Lag3|Prnp|Foxp3|Tnfsf4|Vcam1|Chst2|Il21|Havcr2|Tigit,-1,Geneid
GO Biological Processes,19,GO:0030100,regulation of endocytosis,19_GO:0051179 localization,-4,3.7,4.9,20580,238,280,12,4.3,1.2,12315|13642|16410|16803|69727|77057|94190|107065|108800|215114|229521|233186,Calm3|Efnb2|Itgav|Lbp|Usp46|Ston1|Ophn1|Lrrtm2|Ston2|Hip1|Syt11|Siglecf,-0.93,Geneid
GO Biological Processes,19,GO:0031344,regulation of cell projection organization,19_GO:0050789 regulation of biological process,-3.9,2.3,4.4,20580,759,280,24,8.6,1.7,13043|13642|14569|16878|17760|18508|18805|18846|19122|19280|20257|20361|21809|22415|26563|52163|66991|71653|74498|76574|214968|243743|252838|330938,Cttn|Efnb2|Gdi2|Lif|Map6|Pax6|Pld1|Plxna3|Prnp|Ptprs|Stmn2|Sema7a|Tgfb3|Wnt3|Ror1|Camk1|Khdc3|Shtn1|Gorasp1|Mfsd2a|Sema6d|Plxna4|Tox|Dixdc1,-0.91,Geneid
