_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-5.9891278836315305,GO:0032501,multicellular organismal process,M1,1,GO:0001817 regulation of cytokine production
1,-5.473729103714993,GO:0022610,biological adhesion,M1,1,GO:0030155 regulation of cell adhesion
1,-4.842845567084455,GO:0048519,negative regulation of biological process,M1,1,GO:0001818 negative regulation of cytokine production
1,-4.7747888213997145,GO:0048518,positive regulation of biological process,M1,1,GO:0070665 positive regulation of leukocyte proliferation
1,-4.7645788935709295,GO:0040011,locomotion,M1,1,GO:0050920 regulation of chemotaxis
1,-4.68499115930493,GO:0050789,regulation of biological process,M1,1,GO:0070663 regulation of leukocyte proliferation
1,-4.606685238508512,GO:0002376,immune system process,M1,1,GO:0050863 regulation of T cell activation
1,-4.107127418710467,GO:0040007,growth,M1,1,GO:0048841 regulation of axon extension involved in axon guidance
1,-3.964307084541351,GO:0051179,localization,M1,1,GO:0030100 regulation of endocytosis
1,-3.675424365506582,GO:0032502,developmental process,M1,1,GO:0010975 regulation of neuron projection development
1,-3.3867278000372925,GO:0050896,response to stimulus,M1,1,GO:0002526 acute inflammatory response
1,-3.3006033985763557,GO:0009987,cellular process,M1,1,GO:0150146 cell junction disassembly
1,-2.6020646679625314,GO:0023052,signaling,M1,1,GO:0071526 semaphorin-plexin signaling pathway
1,-2.389196450390698,GO:0008152,metabolic process,M1,1,GO:0042537 benzene-containing compound metabolic process
1,-2.3644104050629284,GO:0022414,reproductive process,M1,1,GO:0001892 embryonic placenta development
1,-2.096836963930099,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0042269 regulation of natural killer cell mediated cytotoxicity
1,-2.0368662592945967,GO:0065007,biological regulation,M1,1,GO:0008361 regulation of cell size
