_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-5.9891278836315305,GO:0001817,M1,1,0,GO Biological Processes,19,regulation of cytokine production,19_GO:0032501 multicellular organismal process,-5.9891278836315305,2.7326923076923078,5.79401057943169,20580,780,280,29,10.357142857142858,1.8209533193505112,11629|12520|12522|15251|15442|15900|16153|16178|16196|16364|16410|16768|16803|17470|18987|19122|19280|20361|20371|21809|22164|22402|58206|60505|66889|171285|229521|380797|100043314,Aif1|Cd81|Cd83|Hif1a|Hpse|Irf8|Il10|Il1r2|Il7|Irf4|Itgav|Lag3|Lbp|Cd200|Pou2f2|Prnp|Ptprs|Sema7a|Foxp3|Tgfb3|Tnfsf4|Ccn4|Zbtb32|Il21|Rnf128|Havcr2|Syt11|Ighd|Tigit,-1.7216980028175253,0,1,1,1,-5.9891278836315305,5.304123711340206,
1,-5.473729103714993,GO:0030155,M1,1,0,GO Biological Processes,19,regulation of cell adhesion,19_GO:0022610 biological adhesion,-5.473729103714993,2.628352490421456,5.455979658821358,20580,783,280,28,10.0,1.7928429140015905,11492|11629|12367|12520|12522|12977|13642|13848|14758|15442|16153|16196|16410|16768|16878|18846|19122|20371|20750|22164|22329|54371|60505|94214|171285|235431|243743|100043314,Adam19|Aif1|Casp3|Cd81|Cd83|Csf1|Efnb2|Ephb6|Gpm6b|Hpse|Il10|Il7|Itgav|Lag3|Lif|Plxna3|Prnp|Foxp3|Spp1|Tnfsf4|Vcam1|Chst2|Il21|Spock2|Havcr2|Coro2b|Plxna4|Tigit,-1.5073292185649687,0,1,0,0,-5.9891278836315305,5.304123711340206,
1,-4.842845567084455,GO:0001818,M1,1,0,GO Biological Processes,19,negative regulation of cytokine production,19_GO:0048519 negative regulation of biological process,-4.842845567084455,3.7246621621621623,5.545297435591029,20580,296,280,15,5.357142857142857,1.3456481525411157,12522|16153|16178|16768|16803|17470|19122|19280|20371|21809|22164|66889|171285|229521|100043314,Cd83|Il10|Il1r2|Lag3|Lbp|Cd200|Prnp|Ptprs|Foxp3|Tgfb3|Tnfsf4|Rnf128|Havcr2|Syt11|Tigit,-1.262659318505182,0,1,0,0,-5.9891278836315305,5.304123711340206,
1,-4.7747888213997145,GO:0070665,M1,1,0,GO Biological Processes,19,positive regulation of leukocyte proliferation,19_GO:0048518 positive regulation of biological process,-4.7747888213997145,4.9,5.9071094436942335,20580,165,280,11,3.9285714285714284,1.1610085969100856,11629|12520|12977|12984|16196|20371|22164|22329|60505|171285|380797,Aif1|Cd81|Csf1|Csf2rb2|Il7|Foxp3|Tnfsf4|Vcam1|Il21|Havcr2|Ighd,-1.262659318505182,0,1,0,0,-5.9891278836315305,5.304123711340206,
1,-4.698655562521736,GO:1903037,M1,1,0,GO Biological Processes,19,regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-4.698655562521736,3.43859649122807,5.340873996966403,20580,342,280,16,5.714285714285714,1.3871547320788922,11629|12367|12520|12522|13642|13848|16196|16768|19122|20371|22164|22329|54371|60505|171285|100043314,Aif1|Casp3|Cd81|Cd83|Efnb2|Ephb6|Il7|Lag3|Prnp|Foxp3|Tnfsf4|Vcam1|Chst2|Il21|Havcr2|Tigit,-1.262659318505182,0,1,0,0,-5.9891278836315305,5.304123711340206,
1,-4.68499115930493,GO:0070663,M1,1,0,GO Biological Processes,19,regulation of leukocyte proliferation,19_GO:0050789 regulation of biological process,-4.68499115930493,3.825278810408922,5.4779104643763095,20580,269,280,14,5.0,1.302470180629319,11629|12367|12520|12977|12984|16153|16196|19122|20371|22164|22329|60505|171285|380797,Aif1|Casp3|Cd81|Csf1|Csf2rb2|Il10|Il7|Prnp|Foxp3|Tnfsf4|Vcam1|Il21|Havcr2|Ighd,-1.262659318505182,0,1,0,0,-5.9891278836315305,5.304123711340206,
1,-4.606685238508512,GO:0050863,M1,1,0,GO Biological Processes,19,regulation of T cell activation,19_GO:0002376 immune system process,-4.606685238508512,3.3793103448275863,5.2573202989313375,20580,348,280,16,5.714285714285714,1.3871547320788922,11629|12367|12520|12522|13642|13848|16196|16768|19122|20371|22164|22329|60505|171285|252838|100043314,Aif1|Casp3|Cd81|Cd83|Efnb2|Ephb6|Il7|Lag3|Prnp|Foxp3|Tnfsf4|Vcam1|Il21|Havcr2|Tox|Tigit,-1.2423453446864507,0,1,0,0,-5.9891278836315305,5.304123711340206,
1,-4.4471830597992374,GO:0045785,M1,1,0,GO Biological Processes,19,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-4.4471830597992374,2.9033264033264032,4.960685744002691,20580,481,280,19,6.785714285714286,1.5030035526572423,11492|11629|12520|12522|12977|13642|13848|15442|16196|16410|16878|20371|20750|22164|22329|54371|60505|94214|171285,Adam19|Aif1|Cd81|Cd83|Csf1|Efnb2|Ephb6|Hpse|Il7|Itgav|Lif|Foxp3|Spp1|Tnfsf4|Vcam1|Chst2|Il21|Spock2|Havcr2,-1.2159369861562381,0,1,0,0,-5.9891278836315305,5.304123711340206,
1,-4.415843879067755,GO:0032946,M1,1,0,GO Biological Processes,19,positive regulation of mononuclear cell proliferation,19_GO:0048518 positive regulation of biological process,-4.415843879067755,4.932885906040269,5.658519283077518,20580,149,280,10,3.5714285714285716,1.109033934657355,11629|12520|12977|16196|20371|22164|22329|60505|171285|380797,Aif1|Cd81|Csf1|Il7|Foxp3|Tnfsf4|Vcam1|Il21|Havcr2|Ighd,-1.2159369861562381,0,1,0,0,-5.9891278836315305,5.304123711340206,
1,-4.404185620922618,GO:0032944,M1,1,0,GO Biological Processes,19,regulation of mononuclear cell proliferation,19_GO:0050789 regulation of biological process,-4.404185620922618,3.8373493975903616,5.290250693013977,20580,249,280,13,4.642857142857143,1.2574486525113555,11629|12367|12520|12977|16153|16196|19122|20371|22164|22329|60505|171285|380797,Aif1|Casp3|Cd81|Csf1|Il10|Il7|Prnp|Foxp3|Tnfsf4|Vcam1|Il21|Havcr2|Ighd,-1.2159369861562381,0,1,0,0,-5.9891278836315305,5.304123711340206,
