Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0001817,regulation of cytokine production,19_GO:0032501 multicellular organismal process,-8.4,4.3,7.8,20580,780,142,23,16,3.1,11629|12520|12522|15251|15442|15900|16153|16178|16196|16364|16410|17470|18987|19122|19280|20361|20371|21809|22164|60505|66889|229521|100043314,Aif1|Cd81|Cd83|Hif1a|Hpse|Irf8|Il10|Il1r2|Il7|Irf4|Itgav|Cd200|Pou2f2|Prnp|Ptprs|Sema7a|Foxp3|Tgfb3|Tnfsf4|Il21|Rnf128|Syt11|Tigit,-4.8
Geneid,GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-7.7,4.1,7.3,20580,783,142,22,15,3,11629|12367|12520|12522|12977|13642|13848|14758|15442|16153|16196|16410|16878|18846|19122|20371|20750|22164|22329|60505|243743|100043314,Aif1|Casp3|Cd81|Cd83|Csf1|Efnb2|Ephb6|Gpm6b|Hpse|Il10|Il7|Itgav|Lif|Plxna3|Prnp|Foxp3|Spp1|Tnfsf4|Vcam1|Il21|Plxna4|Tigit,-4.3
Geneid,GO Biological Processes,19,GO:0031344,regulation of cell projection organization,19_GO:0050789 regulation of biological process,-7.2,4,7,20580,759,142,21,15,3,13043|13642|14569|16878|17760|18508|18805|18846|19122|19280|20257|20361|21809|22415|26563|52163|66991|74498|214968|243743|252838,Cttn|Efnb2|Gdi2|Lif|Map6|Pax6|Pld1|Plxna3|Prnp|Ptprs|Stmn2|Sema7a|Tgfb3|Wnt3|Ror1|Camk1|Khdc3|Gorasp1|Sema6d|Plxna4|Tox,-4.1
Geneid,GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-6.9,5.8,7.6,20580,348,142,14,9.9,2.5,11629|12367|12520|12522|13642|13848|16196|19122|20371|22164|22329|60505|252838|100043314,Aif1|Casp3|Cd81|Cd83|Efnb2|Ephb6|Il7|Prnp|Foxp3|Tnfsf4|Vcam1|Il21|Tox|Tigit,-3.9
Geneid,GO Biological Processes,19,GO:0120035,regulation of plasma membrane bounded cell projection organization,19_GO:0050789 regulation of biological process,-6.7,3.9,6.7,20580,743,142,20,14,2.9,13642|14569|16878|17760|18508|18805|18846|19122|19280|20257|20361|21809|22415|26563|52163|66991|74498|214968|243743|252838,Efnb2|Gdi2|Lif|Map6|Pax6|Pld1|Plxna3|Prnp|Ptprs|Stmn2|Sema7a|Tgfb3|Wnt3|Ror1|Camk1|Khdc3|Gorasp1|Sema6d|Plxna4|Tox,-3.8
Geneid,GO Biological Processes,19,GO:0070663,regulation of leukocyte proliferation,19_GO:0050789 regulation of biological process,-6.4,6.5,7.5,20580,269,142,12,8.5,2.3,11629|12367|12520|12977|12984|16153|16196|19122|20371|22164|22329|60505,Aif1|Casp3|Cd81|Csf1|Csf2rb2|Il10|Il7|Prnp|Foxp3|Tnfsf4|Vcam1|Il21,-3.6
Geneid,GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0048518 positive regulation of biological process,-6.4,4.6,6.8,20580,503,142,16,11,2.7,11629|12520|12522|15251|15442|15900|16153|16196|16364|17470|18987|20361|20371|22164|60505|100043314,Aif1|Cd81|Cd83|Hif1a|Hpse|Irf8|Il10|Il7|Irf4|Cd200|Pou2f2|Sema7a|Foxp3|Tnfsf4|Il21|Tigit,-3.6
Geneid,GO Biological Processes,19,GO:0050920,regulation of chemotaxis,19_GO:0040011 locomotion,-6.2,6.9,7.5,20580,230,142,11,7.7,2.2,11629|12458|12977|13043|13642|14173|18846|20361|22415|214968|243743,Aif1|Ccr6|Csf1|Cttn|Efnb2|Fgf2|Plxna3|Sema7a|Wnt3|Sema6d|Plxna4,-3.5
Geneid,GO Biological Processes,19,GO:1903037,regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-6.1,5.5,7,20580,342,142,13,9.2,2.4,11629|12367|12520|12522|13642|13848|16196|19122|20371|22164|22329|60505|100043314,Aif1|Casp3|Cd81|Cd83|Efnb2|Ephb6|Il7|Prnp|Foxp3|Tnfsf4|Vcam1|Il21|Tigit,-3.4
Geneid,GO Biological Processes,19,GO:0001818,negative regulation of cytokine production,19_GO:0048519 negative regulation of biological process,-6,5.9,7,20580,296,142,12,8.5,2.3,12522|16153|16178|17470|19122|19280|20371|21809|22164|66889|229521|100043314,Cd83|Il10|Il1r2|Cd200|Prnp|Ptprs|Foxp3|Tgfb3|Tnfsf4|Rnf128|Syt11|Tigit,-3.4
