Cluster,Score,Type,Gene,Symbol,Network
4,2.0,Clustered,13043,Cttn,Geneid_SUB1
4,2.0,Seed,108800,Ston2,Geneid_SUB1
4,2.0,Clustered,215114,Hip1,Geneid_SUB1
4,2.0,Clustered,229521,Syt11,Geneid_SUB1
4,2.0,Clustered,77057,Ston1,Geneid_SUB1
2,1.625,Clustered,18390,Oprm1,Geneid_SUB1
2,1.625,Seed,12458,Ccr6,Geneid_SUB1
2,1.625,Clustered,12977,Csf1,Geneid_SUB1
2,1.625,Clustered,83453,Chrdl1,Geneid_SUB1
2,1.625,Clustered,12776,Ccr8,Geneid_SUB1
2,1.625,Clustered,66066,Gng11,Geneid_SUB1
2,1.625,Clustered,20750,Spp1,Geneid_SUB1
2,1.625,Clustered,22393,Wfs1,Geneid_SUB1
1,1.222222222222222,Clustered,11629,Aif1,Geneid_SUB1
1,1.222222222222222,Clustered,20371,Foxp3,Geneid_SUB1
1,1.222222222222222,Clustered,16364,Irf4,Geneid_SUB1
1,1.222222222222222,Clustered,14173,Fgf2,Geneid_SUB1
1,1.222222222222222,Clustered,60505,Il21,Geneid_SUB1
1,1.222222222222222,Clustered,12315,Calm3,Geneid_SUB1
1,1.222222222222222,Clustered,66213,Med7,Geneid_SUB1
1,1.222222222222222,Clustered,16153,Il10,Geneid_SUB1
1,1.222222222222222,Clustered,12316,Aspm,Geneid_SUB1
3,2.5,Clustered,64931,Izumo1r,Geneid_SUB2
3,2.5,Clustered,17068,Ly6d,Geneid_SUB2
3,2.5,Clustered,246190,Otoa,Geneid_SUB2
3,2.5,Seed,109979,Art3,Geneid_SUB2
3,2.5,Clustered,11647,Alpl,Geneid_SUB2
3,2.5,Clustered,68404,Nrn1,Geneid_SUB2
5,1.0,Clustered,14866,Gstm5,Geneid_SUB3
5,1.0,Seed,14865,Gstm4,Geneid_SUB3
5,1.0,Clustered,14871,Gstt1,Geneid_SUB3
