Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
246190,3.0,1,1,1
18018,3.0,1,1,1
20361,3.0,1,1,1
243743,3.0,1,1,1
16364,3.0,1,1,1
229521,3.0,1,1,1
12520,3.0,1,1,1
66042,3.0,1,1,1
236915,3.0,1,1,1
16153,3.0,1,1,1
16878,3.0,1,1,1
13043,3.0,1,1,1
12367,3.0,1,1,1
15900,3.0,1,1,1
214968,3.0,1,1,1
94190,3.0,1,1,1
12615,3.0,1,1,1
252838,3.0,1,1,1
14871,3.0,1,1,1
20511,3.0,1,1,1
16410,3.0,1,1,1
11647,3.0,1,1,1
12522,3.0,1,1,1
15442,3.0,1,1,1
14069,3.0,1,1,1
11839,3.0,1,1,1
21809,3.0,1,1,1
16196,3.0,1,1,1
18987,3.0,1,1,1
17132,3.0,1,1,1
56419,3.0,1,1,1
60505,3.0,1,1,1
13642,3.0,1,1,1
20750,3.0,1,1,1
12977,3.0,1,1,1
14173,3.0,1,1,1
19122,3.0,1,1,1
77057,3.0,1,1,1
107065,3.0,1,1,1
14866,3.0,1,1,1
12260,3.0,1,1,1
17068,3.0,1,1,1
68404,3.0,1,1,1
12458,3.0,1,1,1
64931,3.0,1,1,1
22164,3.0,1,1,1
15251,3.0,1,1,1
20371,3.0,1,1,1
109979,3.0,1,1,1
18508,3.0,1,1,1
14865,3.0,1,1,1
17952,3.0,1,1,1
17470,3.0,1,1,1
12315,3.0,1,1,1
20400,3.0,1,1,1
65254,3.0,1,1,1
12262,3.0,1,1,1
11629,3.0,1,1,1
22415,3.0,1,1,1
22329,3.0,1,1,1
12316,3.0,1,1,1
100043314,3.0,1,1,1
19280,3.0,1,1,1
13848,3.0,1,1,1
69727,3.0,1,1,1
18846,3.0,1,1,1
108800,2.0,1,0,1
210789,2.0,1,0,1
109232,2.0,1,0,1
12514,2.0,1,0,1
17384,2.0,1,0,1
381067,2.0,1,0,1
112407,2.0,1,0,1
22393,2.0,1,0,1
114642,2.0,1,0,1
269389,2.0,1,0,1
20540,2.0,1,1,0
74498,2.0,1,0,1
12810,2.0,1,0,1
20741,2.0,1,0,1
243659,2.0,1,0,1
72119,2.0,1,1,0
12984,2.0,1,0,1
16803,2.0,1,1,0
18619,2.0,1,0,1
50997,2.0,1,0,1
71602,2.0,1,0,1
66213,2.0,1,0,1
16970,2.0,1,0,1
106042,2.0,1,0,1
54120,2.0,1,0,1
59049,2.0,1,1,0
75424,2.0,1,0,1
102866,2.0,1,0,1
17760,2.0,1,0,1
319262,2.0,1,0,1
24063,2.0,1,1,0
18805,2.0,1,0,1
83675,2.0,1,0,1
76897,2.0,1,0,1
77593,2.0,1,0,1
17385,2.0,1,0,1
53416,2.0,1,1,0
52163,2.0,1,0,1
12442,2.0,1,0,1
26909,2.0,1,1,0
66889,2.0,1,0,1
434246,2.0,1,0,1
52466,2.0,1,1,0
12580,2.0,1,0,1
13401,2.0,1,0,1
432964,2.0,1,0,1
215114,2.0,1,0,1
15248,2.0,1,0,1
52670,2.0,1,0,1
50784,2.0,1,0,1
546144,2.0,1,0,1
93692,2.0,1,0,1
18390,2.0,1,0,1
230259,2.0,1,0,1
27053,2.0,1,0,1
21353,2.0,1,0,1
71653,2.0,1,1,0
22051,2.0,1,0,1
18566,2.0,1,1,0
76044,2.0,1,0,1
11768,2.0,1,0,1
16768,2.0,1,1,0
16178,2.0,1,0,1
99543,2.0,1,0,1
12776,2.0,1,0,1
71884,2.0,1,0,1
107575,2.0,1,0,1
16016,2.0,1,1,0
14569,2.0,1,0,1
269823,2.0,1,1,0
19249,2.0,1,0,1
83453,2.0,1,0,1
14758,2.0,1,0,1
270160,2.0,1,0,1
22402,2.0,1,1,0
171285,2.0,1,1,0
67971,2.0,1,1,0
208084,2.0,1,0,1
26563,2.0,1,0,1
20974,2.0,1,1,0
66991,2.0,1,0,1
545428,2.0,1,0,1
243328,2.0,1,1,0
23947,2.0,1,0,1
268903,2.0,1,0,1
13196,2.0,1,0,1
21781,2.0,1,0,1
18575,2.0,1,0,1
