_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-6.112735174,WP163,M1,1,0,WikiPathways,27,Cytoplasmic ribosomal proteins,,-6.112735174,13.78564593,9.156216369,20580,95,110,7,6.363636364,2.327440593,19981|20088|20112|56040|67427|114641|269261,Rpl37a|Rps24|Rps6ka2|Rplp1|Rps20|Rpl31|Rpl12,-1.845305293,0,1,1,1,-6.112735174,13.78564593,
1,-5.296960994,GO:0007017,M1,1,0,GO Biological Processes,19,microtubule-based process,19_GO:0009987 cellular process,-5.296960994,3.760621288,5.82312174,20580,796,110,16,14.54545455,3.361513737,22092|54141|56742|66442|69885|71233|71870|73804|78801|106757|110082|114606|211535|231214|271639|381077,Rsph1|Spag5|Psrc1|Spc25|Aunip|Enkur|Cfap45|Kif2c|Ak7|Catsperd|Dnah5|Tle6|Odad1|Cc2d2a|Adcy10|Ccdc78,-1.390717609,0,2,1,1,-5.296960994,10.27972028,
1,-5.112607236,R-MMU-1799339,M1,1,0,Reactome Gene Sets,6,SRP-dependent cotranslational protein targeting to membrane,,-5.112607236,12.75619835,8.101503464,20580,88,110,6,5.454545455,2.165226168,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.390717609,0,1,0,0,-6.112735174,13.78564593,
1,-5.056087498,R-MMU-975956,M1,1,0,Reactome Gene Sets,6,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-5.056087498,12.47272727,7.995884278,20580,90,110,6,5.454545455,2.165226168,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.390717609,0,1,0,0,-6.112735174,13.78564593,
1,-4.868614674,R-MMU-72689,M1,1,0,Reactome Gene Sets,6,Formation of a pool of free 40S subunits,,-4.868614674,11.57263355,7.651063727,20580,97,110,6,5.454545455,2.165226168,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.368799299,0,1,0,0,-6.112735174,13.78564593,
1,-4.781113293,GO:0010954,M1,1,0,GO Biological Processes,19,positive regulation of protein processing,19_GO:0048518 positive regulation of biological process,-4.781113293,25.80564263,9.799018031,20580,29,110,4,3.636363636,1.784817849,17387|58992|72293|215095,Mmp14|F12|Nkd2|Astl,-1.368799299,0,3,1,1,-4.781113293,25.80564263,
1,-4.662542269,GO:1903319,M1,1,0,GO Biological Processes,19,positive regulation of protein maturation,19_GO:0048518 positive regulation of biological process,-4.662542269,24.14076246,9.451760753,20580,31,110,4,3.636363636,1.784817849,17387|58992|72293|215095,Mmp14|F12|Nkd2|Astl,-1.368799299,0,3,0,0,-4.781113293,25.80564263,
1,-4.625193316,R-MMU-156827,M1,1,0,Reactome Gene Sets,6,L13a-mediated translational silencing of Ceruloplasmin expression,,-4.625193316,10.49107901,7.215497647,20580,107,110,6,5.454545455,2.165226168,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.368799299,0,1,0,0,-6.112735174,13.78564593,
1,-4.604696444,GO:0000226,M1,1,0,GO Biological Processes,19,microtubule cytoskeleton organization,19_GO:0009987 cellular process,-4.604696444,4.268233667,5.566151478,20580,526,110,12,10.90909091,2.972450514,22092|54141|56742|66442|69885|73804|78801|110082|114606|211535|231214|381077,Rsph1|Spag5|Psrc1|Spc25|Aunip|Kif2c|Ak7|Dnah5|Tle6|Odad1|Cc2d2a|Ccdc78,-1.368799299,0,2,0,0,-5.296960994,10.27972028,
1,-4.602245449,R-MMU-72706,M1,1,0,Reactome Gene Sets,6,GTP hydrolysis and joining of the 60S ribosomal subunit,,-4.602245449,10.39393939,7.175118039,20580,108,110,6,5.454545455,2.165226168,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.368799299,0,1,0,0,-6.112735174,13.78564593,
