_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-8.803411352,GO:0001775,M1,1,0,GO Biological Processes,19,cell activation,19_GO:0009987 cellular process,-8.803411352,3.258785942,7.47765882,20580,686,313,34,10.86261981,1.758834816,11487|11622|12047|12362|12393|12483|12495|12505|12506|12845|14056|15587|15978|16173|16174|16185|16408|16852|17059|18021|19165|19219|19271|20737|21898|22174|22780|27007|56193|72310|72828|74732|75345|170741,Adam10|Ahr|Bcl2a1d|Casp1|Runx2|Cd22|Entpd1|Cd44|Cd48|Comp|Ezh2|Hyal2|Ifng|Il18|Il18rap|Il2rb|Itgal|Lgals1|Klrb1c|Nfatc3|Psen2|Ptger4|Ptprj|Spn|Tlr4|Tyro3|Ikzf3|Klrk1|Plek|Nkg7|Ubash3b|Stx11|Slamf7|Pilrb1,-4.535981471,0,1,1,1,-8.803411352,4.696485623,
1,-8.301712088,GO:0050727,M1,1,0,GO Biological Processes,19,regulation of inflammatory response,19_GO:0050896 response to stimulus,-8.301712088,4.308456896,7.769291218,20580,351,313,23,7.348242812,1.474845103,12362|12363|12505|12774|13024|15587|15978|16852|19219|20290|20317|20737|21898|21938|21943|21946|22174|72310|75697|100182|100340|210029|270151,Casp1|Casp4|Cd44|Ccr5|Ctla2a|Hyal2|Ifng|Lgals1|Ptger4|Ccl1|Serpinf1|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tyro3|Nkg7|C2cd4b|Akna|Smpdl3b|Metrnl|Nlrx1,-4.335312203,0,2,1,1,-8.301712088,7.545173624,
1,-7.972411929,GO:0031347,M1,1,0,GO Biological Processes,19,regulation of defense response,19_GO:0050896 response to stimulus,-7.972411929,3.230229414,7.071201653,20580,631,313,31,9.904153355,1.688452684,12362|12363|12505|12774|13024|15587|15978|16174|16641|16852|17059|19219|20290|20317|20737|21898|21938|21943|21946|22038|22174|27007|72310|75697|100182|100340|108086|210029|268973|270151|381308,Casp1|Casp4|Cd44|Ccr5|Ctla2a|Hyal2|Ifng|Il18rap|Klrc1|Lgals1|Klrb1c|Ptger4|Ccl1|Serpinf1|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Plscr1|Tyro3|Klrk1|Nkg7|C2cd4b|Akna|Smpdl3b|Rnf216|Metrnl|Nlrc4|Nlrx1|Ifi211,-4.268198866,0,2,0,0,-8.301712088,7.545173624,
1,-7.933568756,GO:0045321,M1,1,0,GO Biological Processes,19,leukocyte activation,19_GO:0002376 immune system process,-7.933568756,3.298535053,7.088785161,20580,598,313,30,9.584664537,1.663938762,11487|11622|12047|12362|12393|12483|12505|12506|14056|15587|15978|16173|16174|16185|16408|16852|17059|18021|19165|19219|19271|20737|21898|22174|22780|27007|72310|74732|75345|170741,Adam10|Ahr|Bcl2a1d|Casp1|Runx2|Cd22|Cd44|Cd48|Ezh2|Hyal2|Ifng|Il18|Il18rap|Il2rb|Itgal|Lgals1|Klrb1c|Nfatc3|Psen2|Ptger4|Ptprj|Spn|Tlr4|Tyro3|Ikzf3|Klrk1|Nkg7|Stx11|Slamf7|Pilrb1,-4.268198866,0,1,0,0,-8.803411352,4.696485623,
1,-7.120854646,GO:0046649,M1,1,0,GO Biological Processes,19,lymphocyte activation,19_GO:0002376 immune system process,-7.120854646,3.475200778,6.767946748,20580,473,313,25,7.987220447,1.532320959,11622|12047|12393|12483|12505|12506|14056|15978|16173|16185|16408|16852|17059|18021|19165|19219|19271|20737|21898|22174|22780|27007|72310|74732|75345,Ahr|Bcl2a1d|Runx2|Cd22|Cd44|Cd48|Ezh2|Ifng|Il18|Il2rb|Itgal|Lgals1|Klrb1c|Nfatc3|Psen2|Ptger4|Ptprj|Spn|Tlr4|Tyro3|Ikzf3|Klrk1|Nkg7|Stx11|Slamf7,-3.552394769,0,1,0,0,-8.803411352,4.696485623,
1,-6.875475985,GO:0032103,M1,1,0,GO Biological Processes,19,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-6.875475985,3.483486025,6.64218346,20580,453,313,24,7.667731629,1.503966061,11487|12168|12362|12766|12774|15587|15978|16174|16641|16852|17059|19219|19271|20290|20583|21898|21943|22038|27007|50930|72310|75697|268973|381308,Adam10|Bmpr2|Casp1|Cxcr3|Ccr5|Hyal2|Ifng|Il18rap|Klrc1|Lgals1|Klrb1c|Ptger4|Ptprj|Ccl1|Snai2|Tlr4|Tnfsf11|Plscr1|Klrk1|Tnfsf14|Nkg7|C2cd4b|Nlrc4|Ifi211,-3.386197354,0,2,0,0,-8.301712088,7.545173624,
1,-6.11902819,GO:0031349,M1,1,0,GO Biological Processes,19,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-6.11902819,3.984896892,6.439186914,20580,297,313,18,5.750798722,1.315923838,12362|12774|15587|15978|16174|16641|16852|17059|19219|20290|21898|21943|22038|27007|72310|75697|268973|381308,Casp1|Ccr5|Hyal2|Ifng|Il18rap|Klrc1|Lgals1|Klrb1c|Ptger4|Ccl1|Tlr4|Tnfsf11|Plscr1|Klrk1|Nkg7|C2cd4b|Nlrc4|Ifi211,-2.696696349,0,2,0,0,-8.301712088,7.545173624,
1,-5.92438704,GO:0050670,M1,1,0,GO Biological Processes,19,regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-5.92438704,4.293929712,6.445622255,20580,245,313,16,5.111821086,1.244863432,11622|12483|12494|12505|12519|14204|15978|16173|16408|16854|20737|21898|21938|22780|72049|237256,Ahr|Cd22|Cd38|Cd44|Cd80|Il4i1|Ifng|Il18|Itgal|Lgals3|Spn|Tlr4|Tnfrsf1b|Ikzf3|Tnfrsf13c|Zc3h12d,-2.624679386,0,3,1,1,-5.92438704,6.41471207,
1,-5.903693342,GO:0030155,M1,1,0,GO Biological Processes,19,regulation of cell adhesion,19_GO:0022610 biological adhesion,-5.903693342,2.603160614,5.683917853,20580,783,313,31,9.904153355,1.688452684,11487|12505|12519|12766|12774|14204|15978|16173|16401|16408|16852|16854|17931|18606|18806|19219|19271|20583|20737|21943|50918|50930|54712|58859|68169|70546|72049|72828|75697|100182|237256,Adam10|Cd44|Cd80|Cxcr3|Ccr5|Il4i1|Ifng|Il18|Itga4|Itgal|Lgals1|Lgals3|Ppp1r12a|Enpp2|Pld2|Ptger4|Ptprj|Snai2|Spn|Tnfsf11|Myadm|Tnfsf14|Plxnc1|Efemp2|Ndnf|Zdhhc2|Tnfrsf13c|Ubash3b|C2cd4b|Akna|Zc3h12d,-2.624679386,0,3,0,0,-5.92438704,6.41471207,
1,-5.892109266,GO:0050865,M1,1,0,GO Biological Processes,19,regulation of cell activation,19_GO:0050789 regulation of biological process,-5.892109266,2.599840256,5.675909965,20580,784,313,31,9.904153355,1.688452684,11622|12483|12494|12505|12519|13024|14204|15368|15978|16173|16408|16641|16852|16854|18806|19271|20737|21898|21938|21943|21946|22038|22174|22780|27007|50930|56193|72049|72828|75345|237256,Ahr|Cd22|Cd38|Cd44|Cd80|Ctla2a|Il4i1|Hmox1|Ifng|Il18|Itgal|Klrc1|Lgals1|Lgals3|Pld2|Ptprj|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Plscr1|Tyro3|Ikzf3|Klrk1|Tnfsf14|Plek|Tnfrsf13c|Ubash3b|Slamf7|Zc3h12d,-2.624679386,0,3,0,0,-5.92438704,6.41471207,
