_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-5.817334082,GO:1901861,M1,1,0,GO Biological Processes,19,regulation of muscle tissue development,19_GO:0032502 developmental process,-5.817334082,12.32862644,8.590817973,20580,57,205,7,3.414634146,1.2683842,11555|12043|14605|16842|17127|21416|329278,Adrb2|Bcl2|Tsc22d3|Lef1|Smad3|Tcf7l2|Tnn,-1.549904201,0,1,1,1,-5.817334082,27.37915743,
1,-4.850371214,GO:0016202,M1,1,0,GO Biological Processes,19,regulation of striated muscle tissue development,19_GO:0032502 developmental process,-4.850371214,11.36493327,7.578477395,20580,53,205,6,2.926829268,1.177257245,11555|12043|14605|16842|17127|21416,Adrb2|Bcl2|Tsc22d3|Lef1|Smad3|Tcf7l2,-1.030043918,0,1,0,0,-5.817334082,27.37915743,
1,-4.764203312,WP85,M1,1,0,WikiPathways,27,Focal adhesion,,-4.764203312,5.42649967,6.066311413,20580,185,205,10,4.87804878,1.50448033,12043|12826|14083|14268|18479|18708|22165|22793|320207|329278,Bcl2|Col4a1|Ptk2|Fn1|Pak1|Pik3r1|Txk|Zyx|Pik3r5|Tnn,-1.030043918,0,2,1,1,-4.764203312,7.556254917,
1,-4.665893714,GO:0048634,M1,1,0,GO Biological Processes,19,regulation of muscle organ development,19_GO:0032502 developmental process,-4.665893714,10.56739409,7.255225649,20580,57,205,6,2.926829268,1.177257245,11555|12043|14605|16842|17127|21416,Adrb2|Bcl2|Tsc22d3|Lef1|Smad3|Tcf7l2,-1.030043918,0,1,0,0,-5.817334082,27.37915743,
1,-4.550030994,mmu05210,M1,1,0,KEGG Pathway,24,Colorectal cancer,,-4.550030994,7.985587583,6.587071233,20580,88,205,7,3.414634146,1.2683842,12043|16842|17127|17869|18708|21416|170770,Bcl2|Lef1|Smad3|Myc|Pik3r1|Tcf7l2|Bbc3,-1.030043918,0,3,1,1,-4.550030994,30.11707317,
1,-4.414194701,GO:0030155,M1,1,0,GO Biological Processes,19,regulation of cell adhesion,19_GO:0022610 biological adhesion,-4.414194701,2.692458649,4.843279266,20580,783,205,21,10.24390244,2.117813768,11482|11555|11898|12043|12775|13609|14083|14159|14268|16190|16197|16842|17127|18708|18793|19055|26365|66214|94212|320832|329278,Acvrl1|Adrb2|Ass1|Bcl2|Ccr7|S1pr1|Ptk2|Fes|Fn1|Il4ra|Il7r|Lef1|Smad3|Pik3r1|Plaur|Ppp3ca|Ceacam1|Rgcc|Pag1|Sirpb1a|Tnn,-1.030043918,0,4,1,1,-4.414194701,4.34380863,
1,-4.394383812,mmu05222,M1,1,0,KEGG Pathway,24,Small cell lung cancer,,-4.394383812,7.556254917,6.356212049,20580,93,205,7,3.414634146,1.2683842,12043|12579|12826|14083|14268|17869|18708,Bcl2|Cdkn2b|Col4a1|Ptk2|Fn1|Myc|Pik3r1,-1.030043918,0,2,0,0,-4.764203312,7.556254917,
1,-4.394383812,GO:0048814,M1,1,0,GO Biological Processes,19,regulation of dendrite morphogenesis,19_GO:0032502 developmental process,-4.394383812,7.556254917,6.356212049,20580,93,205,7,3.414634146,1.2683842,13048|13631|15901|17999|19055|329152|545156,Cux2|Eef2k|Id1|Nedd4|Ppp3ca|Hecw2|Kalrn,-1.030043918,0,5,1,1,-4.394383812,10.38519765,
1,-4.132902561,GO:0031667,M1,1,0,GO Biological Processes,19,response to nutrient levels,19_GO:0050896 response to stimulus,-4.132902561,3.605174505,5.016054701,20580,362,205,13,6.341463415,1.70212519,11555|11910|12043|12579|14159|18812|21416|22695|52187|66148|73094|237253|320311,Adrb2|Atf3|Bcl2|Cdkn2b|Fes|Prl2c3|Tcf7l2|Zfp36|Rragd|Dnajc15|Sgip1|Lrp11|Rnf152,-0.81971519,0,6,1,1,-4.132902561,4.294769793,
1,-3.984906778,GO:0110053,M1,1,0,GO Biological Processes,19,regulation of actin filament organization,19_GO:0050789 regulation of biological process,-3.984906778,4.015609756,5.049870546,20580,275,205,11,5.365853659,1.573861153,13609|15901|17127|18479|18708|22351|27360|50490|50874|66214|237860,S1pr1|Id1|Smad3|Pak1|Pik3r1|Vill|Add3|Nox4|Tmod4|Rgcc|Ssh2,-0.759014827,0,7,1,1,-3.984906778,7.381635581,
1,-3.954646088,R-MMU-4641265,M1,1,0,Reactome Gene Sets,6,Repression of WNT target genes,,-3.954646088,30.11707317,9.237848326,20580,10,205,3,1.463414634,0.838697832,16842|21416|21885,Lef1|Tcf7l2|Tle1,-0.759014827,0,3,0,0,-4.550030994,30.11707317,
