Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
WikiPathways,27,WP163,Cytoplasmic ribosomal proteins,,-5.2,10,7.6,20504,95,150,7,4.7,1.7,19981|20088|20112|56040|67427|114641|269261,Rpl37a|Rps24|Rps6ka2|Rplp1|Rps20|Rpl31|Rpl12,-1.2,Geneid
GO Biological Processes,19,GO:0070613,regulation of protein processing,19_GO:0008152 metabolic process,-5,12,7.9,20504,67,150,6,4,1.6,12550|17387|20112|58992|72293|215095,Cdh1|Mmp14|Rps6ka2|F12|Nkd2|Astl,-1.2,Geneid
GO Biological Processes,19,GO:1903317,regulation of protein maturation,19_GO:0008152 metabolic process,-4.9,12,7.7,20504,70,150,6,4,1.6,12550|17387|20112|58992|72293|215095,Cdh1|Mmp14|Rps6ka2|F12|Nkd2|Astl,-1.2,Geneid
GO Biological Processes,19,GO:0016068,type I hypersensitivity,19_GO:0002376 immune system process,-4.7,51,12,20504,8,150,3,2,1.1,14127|14130|14131,Fcer1g|Fcgr2b|Fcgr3,-1.2,Geneid
GO Biological Processes,19,GO:0001810,regulation of type I hypersensitivity,19_GO:0002376 immune system process,-4.7,51,12,20504,8,150,3,2,1.1,14127|14130|14131,Fcer1g|Fcgr2b|Fcgr3,-1.2,Geneid
GO Biological Processes,19,GO:0032534,regulation of microvillus assembly,19_GO:0050789 regulation of biological process,-4.7,51,12,20504,8,150,3,2,1.1,18805|54670|110351,Pld1|Atp8b1|Rap1gap,-1.2,Geneid
GO Biological Processes,19,GO:0001578,microtubule bundle formation,19_GO:0009987 cellular process,-4.6,8,6.6,20504,119,150,7,4.7,1.7,22092|56742|78801|110082|211535|213402|231214,Rsph1|Psrc1|Ak7|Dnah5|Odad1|Armc2|Cc2d2a,-1.1,Geneid
GO Biological Processes,19,GO:0035082,axoneme assembly,19_GO:0009987 cellular process,-4.4,9.5,6.8,20504,86,150,6,4,1.6,22092|78801|110082|211535|213402|231214,Rsph1|Ak7|Dnah5|Odad1|Armc2|Cc2d2a,-1.1,Geneid
GO Biological Processes,19,GO:0010954,positive regulation of protein processing,19_GO:0048518 positive regulation of biological process,-4.4,20,8.6,20504,27,150,4,2.7,1.3,17387|58992|72293|215095,Mmp14|F12|Nkd2|Astl,-1.1,Geneid
Reactome Gene Sets,6,R-MMU-1799339,SRP-dependent cotranslational protein targeting to membrane,,-4.3,9.3,6.7,20504,88,150,6,4,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.1,Geneid
Reactome Gene Sets,6,R-MMU-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-4.3,9.1,6.6,20504,90,150,6,4,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1,Geneid
GO Biological Processes,19,GO:1903319,positive regulation of protein maturation,19_GO:0048518 positive regulation of biological process,-4.2,19,8.3,20504,29,150,4,2.7,1.3,17387|58992|72293|215095,Mmp14|F12|Nkd2|Astl,-1,Geneid
Reactome Gene Sets,6,R-MMU-72689,Formation of a pool of free 40S subunits,,-4.1,8.5,6.3,20504,97,150,6,4,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-0.93,Geneid
GO Biological Processes,19,GO:0003341,cilium movement,19_GO:0009987 cellular process,-3.9,5.4,5.4,20504,203,150,8,5.3,1.8,71233|71870|78801|106757|110082|211535|213402|271639,Enkur|Cfap45|Ak7|Catsperd|Dnah5|Odad1|Armc2|Adcy10,-0.78,Geneid
Reactome Gene Sets,6,R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-3.9,7.7,5.9,20504,107,150,6,4,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-0.78,Geneid
Reactome Gene Sets,6,R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,,-3.8,7.6,5.9,20504,108,150,6,4,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-0.78,Geneid
Reactome Gene Sets,6,R-MMU-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-3.8,7.5,5.8,20504,110,150,6,4,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-0.78,Geneid
Reactome Gene Sets,6,R-MMU-927802,Nonsense-Mediated Decay (NMD),,-3.8,7.5,5.8,20504,110,150,6,4,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-0.78,Geneid
GO Biological Processes,19,GO:0032530,regulation of microvillus organization,19_GO:0050789 regulation of biological process,-3.8,27,8.8,20504,15,150,3,2,1.1,18805|54670|110351,Pld1|Atp8b1|Rap1gap,-0.78,Geneid
GO Biological Processes,19,GO:0000226,microtubule cytoskeleton organization,19_GO:0009987 cellular process,-3.7,3.1,4.5,20504,620,150,14,9.3,2.4,22092|54141|56742|66442|66468|69885|73804|78801|110082|114606|211535|213402|231214|381077,Rsph1|Spag5|Psrc1|Spc25|Ska1|Aunip|Kif2c|Ak7|Dnah5|Tle6|Odad1|Armc2|Cc2d2a|Ccdc78,-0.77,Geneid
GO Biological Processes,19,GO:0002883,regulation of hypersensitivity,19_GO:0002376 immune system process,-3.7,26,8.5,20504,16,150,3,2,1.1,14127|14130|14131,Fcer1g|Fcgr2b|Fcgr3,-0.77,Geneid
Reactome Gene Sets,6,R-MMU-72613,Eukaryotic Translation Initiation,,-3.7,7.1,5.7,20504,115,150,6,4,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-0.77,Geneid
Reactome Gene Sets,6,R-MMU-72737,Cap-dependent Translation Initiation,,-3.7,7.1,5.7,20504,115,150,6,4,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-0.77,Geneid
GO Biological Processes,19,GO:0003351,epithelial cilium movement involved in extracellular fluid movement,19_GO:0051179 localization,-3.6,13,6.6,20504,43,150,4,2.7,1.3,71870|78801|110082|271639,Cfap45|Ak7|Dnah5|Adcy10,-0.66,Geneid
GO Biological Processes,19,GO:0002524,hypersensitivity,19_GO:0002376 immune system process,-3.5,23,7.9,20504,18,150,3,2,1.1,14127|14130|14131,Fcer1g|Fcgr2b|Fcgr3,-0.66,Geneid
GO Biological Processes,19,GO:0006858,extracellular transport,19_GO:0051179 localization,-3.5,12,6.3,20504,46,150,4,2.7,1.3,71870|78801|110082|271639,Cfap45|Ak7|Dnah5|Adcy10,-0.58,Geneid
