_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-5.018609581150262,GO:0008152,metabolic process,M1,1,GO:0070613 regulation of protein processing
1,-4.679426631065778,GO:0002376,immune system process,M1,1,GO:0016068 type I hypersensitivity
1,-4.679426631065778,GO:0050789,regulation of biological process,M1,1,GO:0032534 regulation of microvillus assembly
1,-4.5600286204209795,GO:0009987,cellular process,M1,1,GO:0001578 microtubule bundle formation
1,-4.373041703539259,GO:0048518,positive regulation of biological process,M1,1,GO:0010954 positive regulation of protein processing
1,-3.565425462407564,GO:0051179,localization,M1,1,GO:0003351 epithelial cilium movement involved in extracellular fluid movement
1,-3.2147601559305112,GO:0050896,response to stimulus,M1,1,GO:0002673 regulation of acute inflammatory response
1,-3.03460200461291,GO:0040011,locomotion,M1,1,GO:0030593 neutrophil chemotaxis
1,-2.9792101880997337,GO:0032502,developmental process,M1,1,GO:0048469 cell maturation
1,-2.498620610813954,GO:0022414,reproductive process,M1,1,GO:0030317 flagellated sperm motility
1,-2.2655037273956093,GO:0065007,biological regulation,M1,1,GO:0048872 homeostasis of number of cells
1,-2.0896789493643113,GO:0048519,negative regulation of biological process,M1,1,GO:0030178 negative regulation of Wnt signaling pathway
