Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,Reactome Gene Sets,6,R-MMU-1799339,SRP-dependent cotranslational protein targeting to membrane,,-6.4,21,11,20504,88,67,6,9,3.5,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-3.7
Geneid,Reactome Gene Sets,6,R-MMU-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-6.3,20,11,20504,90,67,6,9,3.5,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-3.6
Geneid,WikiPathways,27,WP163,Cytoplasmic ribosomal proteins,,-6.2,19,10,20504,95,67,6,9,3.5,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-3.5
Geneid,Reactome Gene Sets,6,R-MMU-72689,Formation of a pool of free 40S subunits,,-6.1,19,10,20504,97,67,6,9,3.5,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-3.5
Geneid,Reactome Gene Sets,6,R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-5.9,17,9.6,20504,107,67,6,9,3.5,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-3.3
Geneid,Reactome Gene Sets,6,R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,,-5.8,17,9.5,20504,108,67,6,9,3.5,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-3.2
Geneid,Reactome Gene Sets,6,R-MMU-927802,Nonsense-Mediated Decay (NMD),,-5.8,17,9.4,20504,110,67,6,9,3.5,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-3.2
Geneid,Reactome Gene Sets,6,R-MMU-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-5.8,17,9.4,20504,110,67,6,9,3.5,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-3.2
Geneid,GO Biological Processes,19,GO:0032534,regulation of microvillus assembly,19_GO:0050789 regulation of biological process,-5.7,1.1e+02,18,20504,8,67,3,4.5,2.5,18805|54670|110351,Pld1|Atp8b1|Rap1gap,-3.2
Geneid,GO Biological Processes,19,GO:0001810,regulation of type I hypersensitivity,19_GO:0002376 immune system process,-5.7,1.1e+02,18,20504,8,67,3,4.5,2.5,14127|14130|14131,Fcer1g|Fcgr2b|Fcgr3,-3.2
Geneid,GO Biological Processes,19,GO:0016068,type I hypersensitivity,19_GO:0002376 immune system process,-5.7,1.1e+02,18,20504,8,67,3,4.5,2.5,14127|14130|14131,Fcer1g|Fcgr2b|Fcgr3,-3.2
Geneid,Reactome Gene Sets,6,R-MMU-72613,Eukaryotic Translation Initiation,,-5.7,16,9.2,20504,115,67,6,9,3.5,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-3.2
Geneid,Reactome Gene Sets,6,R-MMU-72737,Cap-dependent Translation Initiation,,-5.7,16,9.2,20504,115,67,6,9,3.5,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-3.2
Geneid,GO Biological Processes,19,GO:0032530,regulation of microvillus organization,19_GO:0050789 regulation of biological process,-4.8,61,13,20504,15,67,3,4.5,2.5,18805|54670|110351,Pld1|Atp8b1|Rap1gap,-2.4
Geneid,GO Biological Processes,19,GO:0002883,regulation of hypersensitivity,19_GO:0002376 immune system process,-4.7,57,13,20504,16,67,3,4.5,2.5,14127|14130|14131,Fcer1g|Fcgr2b|Fcgr3,-2.3
