Cluster,Score,Type,Gene,Symbol,Network
3,1.5,Seed,108072,Grm6,Geneid_SUB1
3,1.5,Clustered,20308,Ccl9,Geneid_SUB1
3,1.5,Clustered,20305,Ccl6,Geneid_SUB1
3,1.5,Clustered,12273,C5ar1,Geneid_SUB1
4,1.5,Clustered,242894,Actr3b,Geneid_SUB1
4,1.5,Seed,17888,Myh6,Geneid_SUB1
4,1.5,Clustered,404710,Iqgap3,Geneid_SUB1
4,1.5,Clustered,78767,Efcab11,Geneid_SUB1
1,1.1666666666666667,Seed,13819,Epas1,Geneid_SUB1
1,1.1666666666666667,Clustered,20739,Spta1,Geneid_SUB1
1,1.1666666666666667,Clustered,17387,Mmp14,Geneid_SUB1
1,1.1666666666666667,Clustered,102866,Pls3,Geneid_SUB1
1,1.1666666666666667,Clustered,231470,Fras1,Geneid_SUB1
1,1.1666666666666667,Clustered,58992,F12,Geneid_SUB1
5,1.0,Clustered,14131,Fcgr3,Geneid_SUB1
5,1.0,Seed,330662,Dock1,Geneid_SUB1
5,1.0,Clustered,14130,Fcgr2b,Geneid_SUB1
2,2.5,Clustered,67427,Rps20,Geneid_SUB2
2,2.5,Clustered,56040,Rplp1,Geneid_SUB2
2,2.5,Seed,114641,Rpl31,Geneid_SUB2
2,2.5,Clustered,20088,Rps24,Geneid_SUB2
2,2.5,Clustered,269261,Rpl12,Geneid_SUB2
2,2.5,Clustered,19981,Rpl37a,Geneid_SUB2
