Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
56040,3.0,1,1,1
58992,3.0,1,1,1
243743,3.0,1,1,1
19981,3.0,1,1,1
12550,3.0,1,1,1
12273,3.0,1,1,1
269261,3.0,1,1,1
110351,3.0,1,1,1
54670,3.0,1,1,1
17388,3.0,1,1,1
14131,3.0,1,1,1
14127,3.0,1,1,1
17387,3.0,1,1,1
110082,3.0,1,1,1
14130,3.0,1,1,1
211535,3.0,1,1,1
114641,3.0,1,1,1
71870,3.0,1,1,1
78801,3.0,1,1,1
67427,3.0,1,1,1
18805,3.0,1,1,1
110095,3.0,1,1,1
213402,3.0,1,1,1
20088,3.0,1,1,1
234353,2.0,1,0,1
16619,2.0,1,1,0
231214,2.0,1,1,0
330662,2.0,1,0,1
66729,2.0,1,0,1
54672,2.0,1,0,1
14431,2.0,1,0,1
271639,2.0,1,1,0
268465,2.0,1,0,1
17888,2.0,1,0,1
77318,2.0,1,0,1
13819,2.0,1,0,1
19376,2.0,1,0,1
50928,2.0,1,0,1
105193,2.0,1,1,0
102866,2.0,1,0,1
20305,2.0,1,0,1
83675,2.0,1,0,1
231470,2.0,1,0,1
11647,2.0,1,0,1
108072,2.0,1,0,1
434437,2.0,1,0,1
22092,2.0,1,1,0
69706,2.0,1,0,1
80906,2.0,1,0,1
20739,2.0,1,0,1
271221,2.0,1,1,0
215095,2.0,1,1,0
72293,2.0,1,1,0
72685,2.0,1,0,1
216188,2.0,1,0,1
73804,2.0,1,0,1
217151,2.0,1,0,1
16428,2.0,1,0,1
71729,2.0,1,0,1
246190,2.0,1,0,1
234396,2.0,1,0,1
83398,2.0,1,1,0
239096,2.0,1,0,1
320609,2.0,1,0,1
270160,2.0,1,0,1
71769,2.0,1,0,1
20308,2.0,1,0,1
78767,2.0,1,0,1
242894,2.0,1,0,1
11864,2.0,1,0,1
71233,2.0,1,0,1
404710,2.0,1,0,1
14163,2.0,1,0,1
74760,2.0,1,0,1
73296,2.0,1,0,1
19362,2.0,1,0,1
20112,2.0,1,1,0
380928,2.0,1,0,1
74435,2.0,1,0,1
66442,2.0,1,0,1
15205,2.0,1,1,0
17231,1.0,1,0,0
215494,1.0,1,0,0
17101,1.0,1,0,0
278507,1.0,1,0,0
240063,1.0,1,0,0
207819,1.0,1,0,0
13070,1.0,1,0,0
18514,1.0,1,0,0
21463,1.0,1,0,0
100502982,1.0,1,0,0
97998,1.0,1,0,0
245350,1.0,1,0,0
19746,1.0,1,0,0
381077,1.0,1,0,0
12945,1.0,1,0,0
69590,1.0,1,0,0
108169053,1.0,1,0,0
54141,1.0,1,0,0
71884,1.0,1,0,0
54403,1.0,1,0,0
252973,1.0,1,0,0
66968,1.0,1,0,0
791299,1.0,1,0,0
76954,1.0,1,0,0
668844,1.0,1,0,0
74107,1.0,1,0,0
70638,1.0,1,0,0
232431,1.0,1,0,0
60345,1.0,1,0,0
27059,1.0,1,0,0
74603,1.0,1,0,0
71804,1.0,1,0,0
105245440,1.0,1,0,0
78250,1.0,1,0,0
102641509,1.0,1,0,0
433294,1.0,1,0,0
100503197,1.0,1,0,0
18356,1.0,1,0,0
225579,1.0,1,0,0
74513,1.0,1,0,0
78416,1.0,1,0,0
74466,1.0,1,0,0
16795,1.0,1,0,0
73774,1.0,1,0,0
547347,1.0,1,0,0
56742,1.0,1,0,0
243833,1.0,1,0,0
114606,1.0,1,0,0
23963,1.0,1,0,0
73598,1.0,1,0,0
257943,1.0,1,0,0
11870,1.0,1,0,0
17933,1.0,1,0,0
69885,1.0,1,0,0
100417574,1.0,1,0,0
76872,1.0,1,0,0
236899,1.0,1,0,0
16469,1.0,1,0,0
66468,1.0,1,0,0
115485979,1.0,1,0,0
100418123,1.0,1,0,0
225638,1.0,1,0,0
319229,1.0,1,0,0
29870,1.0,1,0,0
74685,1.0,1,0,0
20230,1.0,1,0,0
16497,1.0,1,0,0
71196,1.0,1,0,0
71106,1.0,1,0,0
71690,1.0,1,0,0
230775,1.0,1,0,0
105244162,1.0,1,0,0
12984,1.0,1,0,0
11565,1.0,1,0,0
381072,1.0,1,0,0
654821,1.0,1,0,0
75323,1.0,1,0,0
381836,1.0,1,0,0
215821,1.0,1,0,0
100415978,1.0,1,0,0
78733,1.0,1,0,0
106757,1.0,1,0,0
108699,1.0,1,0,0
73183,1.0,1,0,0
210554,1.0,1,0,0
30943,1.0,1,0,0
100038713,1.0,1,0,0
75472,1.0,1,0,0
56504,1.0,1,0,0
70080,1.0,1,0,0
14766,1.0,1,0,0
26448,1.0,1,0,0
74310,1.0,1,0,0
217887,1.0,1,0,0
219132,1.0,1,0,0
624860,1.0,1,0,0
237091,1.0,1,0,0
