,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000080984,ENSMUSG00000080984,Down,-48.2892977600883,2.15870471732976e-80,-3847.00586390367
2,2,ENSMUSG00000076940,Iglv2,Down,-45.4654808942262,2.6153116641576e-47,-2117.89469755612
3,3,ENSMUSG00000034591,Slc41a2,Down,-49.1884788172994,3.41195746280263e-29,-1400.24824901321
4,4,ENSMUSG00000118478,ENSMUSG00000118478,Down,-45.0920340141979,9.50787570047672e-30,-1308.65724618167
5,5,ENSMUSG00000040488,Ltbp4,Down,-36.4550925340571,9.7817912569272e-34,-1203.36735207551
6,6,ENSMUSG00000025257,Ribc1,Down,-40.1980101638396,2.94991097137807e-30,-1187.0549216112
7,7,ENSMUSG00000104435,ENSMUSG00000104435,Down,-47.7296430098695,1.01860411184062e-20,-954.210764121053
8,8,ENSMUSG00000118445,ENSMUSG00000118445,Down,-46.9694193695737,4.40971797896103e-20,-909.120785561543
9,9,ENSMUSG00000106005,ENSMUSG00000106005,Down,-45.9292388828137,1.69471611172982e-19,-862.133289847015
10,10,ENSMUSG00000036611,Eepd1,Down,-46.0580513989596,1.74597760008587e-18,-817.897095786092
11,11,ENSMUSG00000025983,Ccdc150,Down,-46.7880514994779,3.56020727165959e-16,-722.806370054933
12,12,ENSMUSG00002075065,ENSMUSG00002075065,Down,-39.4095991563561,1.69622980711576e-18,-700.328885144945
13,13,ENSMUSG00000023984,Gm20517,Down,-36.1168787237719,5.87653816320739e-18,-622.325546889846
14,14,ENSMUSG00000024397,Aif1,Down,-40.2977407374446,1.15053156111394e-15,-602.012037621134
15,15,ENSMUSG00000073489,Ifi204,Down,-35.945350385282,1.92603906753903e-17,-600.838570073469
16,16,ENSMUSG00000097177,9330159M07Rik,Down,-44.1757763030873,3.92501124204302e-14,-592.227485264666
17,17,ENSMUSG00000041567,Serpina12,Down,-42.3299202048698,3.62987414472564e-14,-568.918717496518
18,18,ENSMUSG00000060470,Adgrg3,Down,-23.8461315695181,2.55724374578922e-23,-538.737238352571
19,19,ENSMUSG00000076760,ENSMUSG00000076760,Down,-24.1544574918535,1.53494755443122e-19,-454.439703813832
20,20,ENSMUSG00000085379,ENSMUSG00000085379,Down,-23.954924287277,1.27452650213739e-19,-452.619937241837
