Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0016485,protein processing,19_GO:0008152 metabolic process,-4.6,5.9,6.1,20504,257,122,9,7.4,2.4,12550|15951|16619|17228|18549|20112|58992|72293|215095,Cdh1|Ifi204|Klk1b27|Cma1|Pcsk2|Rps6ka2|F12|Nkd2|Astl,-0.53,Geneid
GO Biological Processes,19,GO:0070613,regulation of protein processing,19_GO:0008152 metabolic process,-4.3,13,7.3,20504,67,122,5,4.1,1.8,12550|20112|58992|72293|215095,Cdh1|Rps6ka2|F12|Nkd2|Astl,-0.53,Geneid
GO Biological Processes,19,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,19_GO:0022610 biological adhesion,-4.3,19,8.3,20504,35,122,4,3.3,1.6,12550|12557|26365|239096,Cdh1|Cdh17|Ceacam1|Cdh24,-0.53,Geneid
GO Biological Processes,19,GO:1903317,regulation of protein maturation,19_GO:0008152 metabolic process,-4.2,12,7.1,20504,70,122,5,4.1,1.8,12550|20112|58992|72293|215095,Cdh1|Rps6ka2|F12|Nkd2|Astl,-0.53,Geneid
GO Biological Processes,19,GO:0051604,protein maturation,19_GO:0008152 metabolic process,-3.9,4.7,5.2,20504,322,122,9,7.4,2.4,12550|15951|16619|17228|18549|20112|58992|72293|215095,Cdh1|Ifi204|Klk1b27|Cma1|Pcsk2|Rps6ka2|F12|Nkd2|Astl,-0.29,Geneid
GO Biological Processes,19,GO:0010954,positive regulation of protein processing,19_GO:0048518 positive regulation of biological process,-3.3,19,7.1,20504,27,122,3,2.5,1.4,58992|72293|215095,F12|Nkd2|Astl,0,Geneid
GO Biological Processes,19,GO:1903319,positive regulation of protein maturation,19_GO:0048518 positive regulation of biological process,-3.2,17,6.8,20504,29,122,3,2.5,1.4,58992|72293|215095,F12|Nkd2|Astl,0,Geneid
GO Biological Processes,19,GO:0001578,microtubule bundle formation,19_GO:0009987 cellular process,-3.1,7.1,5.1,20504,119,122,5,4.1,1.8,22092|50525|56742|211535|213402,Rsph1|Spag6l|Psrc1|Odad1|Armc2,0,Geneid
Reactome Gene Sets,6,R-MMU-418990,Adherens junctions interactions,,-3,16,6.5,20504,32,122,3,2.5,1.4,12550|12557|239096,Cdh1|Cdh17|Cdh24,0,Geneid
Reactome Gene Sets,6,R-MMU-1592389,Activation of Matrix Metalloproteinases,,-2.8,13,5.8,20504,39,122,3,2.5,1.4,16619|17228|17388,Klk1b27|Cma1|Mmp15,0,Geneid
GO Biological Processes,19,GO:0120031,plasma membrane bounded cell projection assembly,19_GO:0009987 cellular process,-2.8,3.1,3.8,20504,548,122,10,8.2,2.5,11629|18805|22092|23963|50525|71769|110351|211535|213402|623781,Aif1|Pld1|Rsph1|Tenm1|Spag6l|Bbs10|Rap1gap|Odad1|Armc2|Gm14137,0,Geneid
Reactome Gene Sets,6,R-MMU-421270,Cell-cell junction organization,,-2.8,13,5.7,20504,40,122,3,2.5,1.4,12550|12557|239096,Cdh1|Cdh17|Cdh24,0,Geneid
GO Biological Processes,19,GO:0035082,axoneme assembly,19_GO:0009987 cellular process,-2.8,7.8,4.9,20504,86,122,4,3.3,1.6,22092|50525|211535|213402,Rsph1|Spag6l|Odad1|Armc2,0,Geneid
GO Biological Processes,19,GO:0030031,cell projection assembly,19_GO:0009987 cellular process,-2.7,3,3.7,20504,563,122,10,8.2,2.5,11629|18805|22092|23963|50525|71769|110351|211535|213402|623781,Aif1|Pld1|Rsph1|Tenm1|Spag6l|Bbs10|Rap1gap|Odad1|Armc2|Gm14137,0,Geneid
GO Biological Processes,19,GO:0048536,spleen development,19_GO:0002376 immune system process,-2.6,11,5.2,20504,47,122,3,2.5,1.4,12557|12579|18514,Cdh17|Cdkn2b|Pbx1,0,Geneid
GO Biological Processes,19,GO:0030178,negative regulation of Wnt signaling pathway,19_GO:0048519 negative regulation of biological process,-2.5,5,4,20504,169,122,5,4.1,1.8,12550|72293|83675|114606|225638,Cdh1|Nkd2|Bicc1|Tle6|Alpk2,0,Geneid
GO Biological Processes,19,GO:0007264,small GTPase mediated signal transduction,19_GO:0023052 signaling,-2.4,3.2,3.5,20504,425,122,8,6.6,2.2,11629|110351|215821|234353|270160|330662|404710|623781,Aif1|Rap1gap|Arfgef3|Psd3|Rab39|Dock1|Iqgap3|Gm14137,0,Geneid
Reactome Gene Sets,6,R-MMU-1474244,Extracellular matrix organization,,-2.4,3.9,3.7,20504,256,122,6,4.9,2,12550|16619|17228|17388|26365|108075,Cdh1|Klk1b27|Cma1|Mmp15|Ceacam1|Ltbp4,0,Geneid
GO Biological Processes,19,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,19_GO:0022610 biological adhesion,-2.3,5.9,4.1,20504,113,122,4,3.3,1.6,12550|12557|26365|239096,Cdh1|Cdh17|Ceacam1|Cdh24,0,Geneid
GO Biological Processes,19,GO:0030162,regulation of proteolysis,19_GO:0008152 metabolic process,-2.3,2.5,3.2,20504,743,122,11,9,2.6,12550|15951|20112|22259|27059|58992|68054|72293|108075|215095|278507,Cdh1|Ifi204|Rps6ka2|Nr1h3|Sh3d19|F12|Serpina12|Nkd2|Ltbp4|Astl|Wfikkn2,0,Geneid
Reactome Gene Sets,6,R-MMU-1474228,Degradation of the extracellular matrix,,-2.3,5.6,3.9,20504,119,122,4,3.3,1.6,12550|16619|17228|17388,Cdh1|Klk1b27|Cma1|Mmp15,0,Geneid
Reactome Gene Sets,6,R-MMU-446728,Cell junction organization,,-2.2,7.8,4.2,20504,65,122,3,2.5,1.4,12550|12557|239096,Cdh1|Cdh17|Cdh24,0,Geneid
GO Biological Processes,19,GO:0003341,cilium movement,19_GO:0009987 cellular process,-2.1,4.1,3.5,20504,203,122,5,4.1,1.8,50525|71233|71870|211535|213402,Spag6l|Enkur|Cfap45|Odad1|Armc2,0,Geneid
GO Biological Processes,19,GO:0090090,negative regulation of canonical Wnt signaling pathway,19_GO:0048519 negative regulation of biological process,-2.1,5.1,3.6,20504,133,122,4,3.3,1.6,12550|72293|83675|114606,Cdh1|Nkd2|Bicc1|Tle6,0,Geneid
GO Biological Processes,19,GO:0030317,flagellated sperm motility,19_GO:0022414 reproductive process,-2.1,5,3.6,20504,135,122,4,3.3,1.6,50525|71233|71870|213402,Spag6l|Enkur|Cfap45|Armc2,0,Geneid
GO Biological Processes,19,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,19_GO:0022610 biological adhesion,-2,3.9,3.3,20504,214,122,5,4.1,1.8,12550|12557|23963|26365|239096,Cdh1|Cdh17|Tenm1|Ceacam1|Cdh24,0,Geneid
GO Biological Processes,19,GO:0097722,sperm motility,19_GO:0022414 reproductive process,-2,4.8,3.5,20504,139,122,4,3.3,1.6,50525|71233|71870|213402,Spag6l|Enkur|Cfap45|Armc2,0,Geneid
