Gene,_SCORE_GRP7_,_SCORE_GRP3_,_SCORE_GRP1_,_SCORE_GRP6_,_SCORE_GRP4_,_SCORE_GRP2_,_SCORE_GRP5_,GRP1|19_GO:0030162|-2.317|regulation of proteolysis,GRP1|19_GO:0051604|-3.873|protein maturation,GRP1|19_GO:0016485|-4.627|protein processing,GRP1|19_GO:1903317|-4.214|regulation of protein maturation,GRP1|19_GO:0070613|-4.306|regulation of protein processing,GRP1|19_GO:1903319|-3.173|positive regulation of protein maturation,GRP1|19_GO:0010954|-3.266|positive regulation of protein processing,GRP2|19_GO:0098742|-2.039|cell-cell adhesion via plasma-membrane adhesion molecules,GRP2|19_GO:0007156|-2.331|homophilic cell adhesion via plasma membrane adhesion molecules,GRP2|19_GO:0016339|-4.266|calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,GRP2|6_R-MMU-421270|-2.762|Cell-cell junction organization,GRP2|6_R-MMU-418990|-3.046|Adherens junctions interactions,GRP2|6_R-MMU-446728|-2.163|Cell junction organization,GRP3|19_GO:0030031|-2.703|cell projection assembly,GRP3|19_GO:0120031|-2.789|plasma membrane bounded cell projection assembly,GRP3|19_GO:0001578|-3.136|microtubule bundle formation,GRP3|19_GO:0035082|-2.760|axoneme assembly,GRP3|19_GO:0003341|-2.132|cilium movement,GRP3|19_GO:0097722|-2.018|sperm motility,GRP3|19_GO:0030317|-2.062|flagellated sperm motility,GRP4|6_R-MMU-1474244|-2.364|Extracellular matrix organization,GRP4|6_R-MMU-1474228|-2.252|Degradation of the extracellular matrix,GRP4|6_R-MMU-1592389|-2.794|Activation of Matrix Metalloproteinases,GRP5|19_GO:0048536|-2.560|spleen development,GRP6|19_GO:0030178|-2.466|negative regulation of Wnt signaling pathway,GRP6|19_GO:0090090|-2.084|negative regulation of canonical Wnt signaling pathway,GRP7|19_GO:0007264|-2.405|small GTPase mediated signal transduction,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_
330662,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10,0,0,0,0,0,0,2
72293,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,2,2,0,0,0,0,2,0
26365,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,24,0,4,0,6,0,0,0
239096,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,2,0,0,0,0,0
108075,0.0,0.0,0.14285714285714285,0.0,0.3333333333333333,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,35,11,0,0,5,0,0,0
114606,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,18,0,0,0,0,0,1,0
215821,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,9,0,0,0,0,0,0,1
50525,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,2,0,0,0,0
623781,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7,0,0,8,0,0,0,3
11629,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6,0,0,7,0,0,0,4
