_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-4.626781155586968,GO:0016485,M1,1,0,GO Biological Processes,19,protein processing,19_GO:0008152 metabolic process,-4.626781155586968,5.885564840211775,6.097702394825372,20504,257,122,9,7.377049180327869,2.366577495975457,12550|15951|16619|17228|18549|20112|58992|72293|215095,Cdh1|Ifi204|Klk1b27|Cma1|Pcsk2|Rps6ka2|F12|Nkd2|Astl,-0.5347502714376836,0,1,1,1,-4.626781155586968,18.673952641165755,
1,-4.306345607859481,GO:0070613,M1,1,0,GO Biological Processes,19,regulation of protein processing,19_GO:0008152 metabolic process,-4.306345607859481,12.542206997797896,7.321210773363334,20504,67,122,5,4.098360655737705,1.7948914426949625,12550|20112|58992|72293|215095,Cdh1|Rps6ka2|F12|Nkd2|Astl,-0.5347502714376836,0,1,0,0,-4.626781155586968,18.673952641165755,
1,-4.214496049736324,GO:1903317,M1,1,0,GO Biological Processes,19,regulation of protein maturation,19_GO:0008152 metabolic process,-4.214496049736324,12.004683840749415,7.135347326042141,20504,70,122,5,4.098360655737705,1.7948914426949625,12550|20112|58992|72293|215095,Cdh1|Rps6ka2|F12|Nkd2|Astl,-0.5347502714376836,0,1,0,0,-4.626781155586968,18.673952641165755,
1,-3.8728558867700187,GO:0051604,M1,1,0,GO Biological Processes,19,protein maturation,19_GO:0008152 metabolic process,-3.8728558867700187,4.697484981162814,5.1738933950441615,20504,322,122,9,7.377049180327869,2.366577495975457,12550|15951|16619|17228|18549|20112|58992|72293|215095,Cdh1|Ifi204|Klk1b27|Cma1|Pcsk2|Rps6ka2|F12|Nkd2|Astl,-0.2900201214794347,0,1,0,0,-4.626781155586968,18.673952641165755,
1,-3.266341591512572,GO:0010954,M1,1,0,GO Biological Processes,19,positive regulation of protein processing,19_GO:0048518 positive regulation of biological process,-3.266341591512572,18.673952641165755,7.10964025939961,20504,27,122,3,2.459016393442623,1.4021496310584685,58992|72293|215095,F12|Nkd2|Astl,0.0,0,1,0,0,-4.626781155586968,18.673952641165755,
1,-3.1734646629847503,GO:1903319,M1,1,0,GO Biological Processes,19,positive regulation of protein maturation,19_GO:0048518 positive regulation of biological process,-3.1734646629847503,17.386093838326737,6.831682962939249,20504,29,122,3,2.459016393442623,1.4021496310584685,58992|72293|215095,F12|Nkd2|Astl,0.0,0,1,0,0,-4.626781155586968,18.673952641165755,
1,-2.3168087340490353,GO:0030162,M1,1,0,GO Biological Processes,19,regulation of proteolysis,19_GO:0008152 metabolic process,-2.3168087340490353,2.488184806830969,3.196774753960714,20504,743,122,11,9.01639344262295,2.5930929591268264,12550|15951|20112|22259|27059|58992|68054|72293|108075|215095|278507,Cdh1|Ifi204|Rps6ka2|Nr1h3|Sh3d19|F12|Serpina12|Nkd2|Ltbp4|Astl|Wfikkn2,0.0,0,1,0,0,-4.626781155586968,18.673952641165755,
1,-4.266349267181541,GO:0016339,M1,1,0,GO Biological Processes,19,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,19_GO:0022610 biological adhesion,-4.266349267181541,19.207494145199064,8.340673305337093,20504,35,122,4,3.278688524590164,1.6122457965031596,12550|12557|26365|239096,Cdh1|Cdh17|Ceacam1|Cdh24,-0.5347502714376836,0,2,1,1,-4.266349267181541,19.207494145199064,
1,-3.0463964272883315,R-MMU-418990,M1,1,0,Reactome Gene Sets,6,Adherens junctions interactions,,-3.0463964272883315,15.756147540983607,6.4629837533881815,20504,32,122,3,2.459016393442623,1.4021496310584685,12550|12557|239096,Cdh1|Cdh17|Cdh24,0.0,0,2,0,0,-4.266349267181541,19.207494145199064,
1,-2.7621522828935903,R-MMU-421270,M1,1,0,Reactome Gene Sets,6,Cell-cell junction organization,,-2.7621522828935903,12.604918032786886,5.683842459513898,20504,40,122,3,2.459016393442623,1.4021496310584685,12550|12557|239096,Cdh1|Cdh17|Cdh24,0.0,0,2,0,0,-4.266349267181541,19.207494145199064,
1,-2.3311451903384155,GO:0007156,M1,1,0,GO Biological Processes,19,homophilic cell adhesion via plasma membrane adhesion molecules,19_GO:0022610 biological adhesion,-2.3311451903384155,5.9492238502828965,4.081523290808366,20504,113,122,4,3.278688524590164,1.6122457965031596,12550|12557|26365|239096,Cdh1|Cdh17|Ceacam1|Cdh24,0.0,0,2,0,0,-4.266349267181541,19.207494145199064,
1,-2.163390003839664,R-MMU-446728,M1,1,0,Reactome Gene Sets,6,Cell junction organization,,-2.163390003839664,7.756872635561161,4.221218295395741,20504,65,122,3,2.459016393442623,1.4021496310584685,12550|12557|239096,Cdh1|Cdh17|Cdh24,0.0,0,2,0,0,-4.266349267181541,19.207494145199064,
1,-2.0387370788487225,GO:0098742,M1,1,0,GO Biological Processes,19,cell-cell adhesion via plasma-membrane adhesion molecules,19_GO:0022610 biological adhesion,-2.0387370788487225,3.9267657423012103,3.329806898402578,20504,214,122,5,4.098360655737705,1.7948914426949625,12550|12557|23963|26365|239096,Cdh1|Cdh17|Tenm1|Ceacam1|Cdh24,0.0,0,2,0,0,-4.266349267181541,19.207494145199064,
1,-3.136334554227699,GO:0001578,M1,1,0,GO Biological Processes,19,microtubule bundle formation,19_GO:0009987 cellular process,-3.136334554227699,7.061578729852597,5.130611091164097,20504,119,122,5,4.098360655737705,1.7948914426949625,22092|50525|56742|211535|213402,Rsph1|Spag6l|Psrc1|Odad1|Armc2,0.0,0,3,1,1,-3.136334554227699,7.817003431185666,
1,-2.7885751200694404,GO:0120031,M1,1,0,GO Biological Processes,19,plasma membrane bounded cell projection assembly,19_GO:0009987 cellular process,-2.7885751200694404,3.0668900323082444,3.7943389588701892,20504,548,122,10,8.19672131147541,2.4835291700398647,11629|18805|22092|23963|50525|71769|110351|211535|213402|623781,Aif1|Pld1|Rsph1|Tenm1|Spag6l|Bbs10|Rap1gap|Odad1|Armc2|Gm14137,0.0,0,3,0,0,-3.136334554227699,7.817003431185666,
1,-2.7596023224934196,GO:0035082,M1,1,0,GO Biological Processes,19,axoneme assembly,19_GO:0009987 cellular process,-2.7596023224934196,7.817003431185666,4.901187994482568,20504,86,122,4,3.278688524590164,1.6122457965031596,22092|50525|211535|213402,Rsph1|Spag6l|Odad1|Armc2,0.0,0,3,0,0,-3.136334554227699,7.817003431185666,
1,-2.7026276388947226,GO:0030031,M1,1,0,GO Biological Processes,19,cell projection assembly,19_GO:0009987 cellular process,-2.7026276388947226,2.985178930204117,3.695265185499352,20504,563,122,10,8.19672131147541,2.4835291700398647,11629|18805|22092|23963|50525|71769|110351|211535|213402|623781,Aif1|Pld1|Rsph1|Tenm1|Spag6l|Bbs10|Rap1gap|Odad1|Armc2|Gm14137,0.0,0,3,0,0,-3.136334554227699,7.817003431185666,
1,-2.132182875466114,GO:0003341,M1,1,0,GO Biological Processes,19,cilium movement,19_GO:0009987 cellular process,-2.132182875466114,4.1395461519825565,3.477934491237967,20504,203,122,5,4.098360655737705,1.7948914426949625,50525|71233|71870|211535|213402,Spag6l|Enkur|Cfap45|Odad1|Armc2,0.0,0,3,0,0,-3.136334554227699,7.817003431185666,
