Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,19_GO:0022610 biological adhesion,-5.9,50,14,20504,35,47,4,8.5,4.1,12550|12557|26365|239096,Cdh1|Cdh17|Ceacam1|Cdh24,-1.8
Geneid,Reactome Gene Sets,6,R-MMU-418990,Adherens junctions interactions,,-4.3,41,11,20504,32,47,3,6.4,3.6,12550|12557|239096,Cdh1|Cdh17|Cdh24,-0.59
Geneid,Reactome Gene Sets,6,R-MMU-421270,Cell-cell junction organization,,-4,33,9.6,20504,40,47,3,6.4,3.6,12550|12557|239096,Cdh1|Cdh17|Cdh24,-0.51
Geneid,GO Biological Processes,19,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,19_GO:0022610 biological adhesion,-3.9,15,7.4,20504,113,47,4,8.5,4.1,12550|12557|26365|239096,Cdh1|Cdh17|Ceacam1|Cdh24,-0.51
Geneid,GO Biological Processes,19,GO:0050878,regulation of body fluid levels,19_GO:0065007 biological regulation,-3.7,7.1,5.7,20504,367,47,6,13,4.9,12550|12628|22165|22259|26365|58992,Cdh1|Cfh|Txk|Nr1h3|Ceacam1|F12,-0.41
Geneid,GO Biological Processes,19,GO:0006909,phagocytosis,19_GO:0051179 localization,-3.6,6.8,5.5,20504,383,47,6,13,4.9,11629|14131|22259|110351|270160|330662,Aif1|Fcgr3|Nr1h3|Rap1gap|Rab39|Dock1,-0.36
Geneid,GO Biological Processes,19,GO:0030317,flagellated sperm motility,19_GO:0022414 reproductive process,-3.6,13,6.7,20504,135,47,4,8.5,4.1,50525|71233|71870|213402,Spag6l|Enkur|Cfap45|Armc2,-0.35
Geneid,GO Biological Processes,19,GO:0097722,sperm motility,19_GO:0022414 reproductive process,-3.5,13,6.6,20504,139,47,4,8.5,4.1,50525|71233|71870|213402,Spag6l|Enkur|Cfap45|Armc2,-0.34
Geneid,GO Biological Processes,19,GO:0060294,cilium movement involved in cell motility,19_GO:0040011 locomotion,-3.4,12,6.3,20504,148,47,4,8.5,4.1,50525|71233|71870|213402,Spag6l|Enkur|Cfap45|Armc2,-0.3
Geneid,GO Biological Processes,19,GO:0007264,small GTPase mediated signal transduction,19_GO:0023052 signaling,-3.4,6.2,5.2,20504,425,47,6,13,4.9,11629|110351|234353|270160|330662|404710,Aif1|Rap1gap|Psd3|Rab39|Dock1|Iqgap3,-0.3
Geneid,GO Biological Processes,19,GO:0001539,cilium or flagellum-dependent cell motility,19_GO:0040011 locomotion,-3.4,11,6.1,20504,156,47,4,8.5,4.1,50525|71233|71870|213402,Spag6l|Enkur|Cfap45|Armc2,-0.3
Geneid,GO Biological Processes,19,GO:0060285,cilium-dependent cell motility,19_GO:0040011 locomotion,-3.4,11,6.1,20504,156,47,4,8.5,4.1,50525|71233|71870|213402,Spag6l|Enkur|Cfap45|Armc2,-0.3
Geneid,Reactome Gene Sets,6,R-MMU-446728,Cell junction organization,,-3.4,20,7.4,20504,65,47,3,6.4,3.6,12550|12557|239096,Cdh1|Cdh17|Cdh24,-0.3
Geneid,GO Biological Processes,19,GO:0007596,blood coagulation,19_GO:0032501 multicellular organismal process,-3.2,10,5.8,20504,171,47,4,8.5,4.1,12628|22165|26365|58992,Cfh|Txk|Ceacam1|F12,-0.19
Geneid,GO Biological Processes,19,GO:0007599,hemostasis,19_GO:0065007 biological regulation,-3.2,10,5.7,20504,174,47,4,8.5,4.1,12628|22165|26365|58992,Cfh|Txk|Ceacam1|F12,-0.19
Geneid,GO Biological Processes,19,GO:0050817,coagulation,19_GO:0032501 multicellular organismal process,-3.2,10,5.7,20504,174,47,4,8.5,4.1,12628|22165|26365|58992,Cfh|Txk|Ceacam1|F12,-0.19
Geneid,Reactome Gene Sets,6,R-MMU-1500931,Cell-Cell communication,,-3,15,6.4,20504,85,47,3,6.4,3.6,12550|12557|239096,Cdh1|Cdh17|Cdh24,-0.05
Geneid,GO Biological Processes,19,GO:0030168,platelet activation,19_GO:0032501 multicellular organismal process,-3,15,6.3,20504,87,47,3,6.4,3.6,12628|22165|26365,Cfh|Txk|Ceacam1,-0.041
Geneid,GO Biological Processes,19,GO:0003341,cilium movement,19_GO:0009987 cellular process,-2.9,8.6,5.2,20504,203,47,4,8.5,4.1,50525|71233|71870|213402,Spag6l|Enkur|Cfap45|Armc2,-0.0035
Geneid,GO Biological Processes,19,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,19_GO:0022610 biological adhesion,-2.8,8.2,5,20504,214,47,4,8.5,4.1,12550|12557|26365|239096,Cdh1|Cdh17|Ceacam1|Cdh24,0
Geneid,GO Biological Processes,19,GO:0120031,plasma membrane bounded cell projection assembly,19_GO:0009987 cellular process,-2.8,4.8,4.3,20504,548,47,6,13,4.9,11629|18805|50525|71769|110351|213402,Aif1|Pld1|Spag6l|Bbs10|Rap1gap|Armc2,0
Geneid,GO Biological Processes,19,GO:0030031,cell projection assembly,19_GO:0009987 cellular process,-2.8,4.6,4.2,20504,563,47,6,13,4.9,11629|18805|50525|71769|110351|213402,Aif1|Pld1|Spag6l|Bbs10|Rap1gap|Armc2,0
Geneid,GO Biological Processes,19,GO:0060627,regulation of vesicle-mediated transport,19_GO:0051179 localization,-2.6,4.3,3.9,20504,612,47,6,13,4.9,14131|18805|22259|72685|102866|110351,Fcgr3|Pld1|Nr1h3|Dnajc6|Pls3|Rap1gap,0
Geneid,GO Biological Processes,19,GO:0015850,organic hydroxy compound transport,19_GO:0051179 localization,-2.4,6.2,4.2,20504,283,47,4,8.5,4.1,14131|22259|26365|67484,Fcgr3|Nr1h3|Ceacam1|Eepd1,0
Geneid,GO Biological Processes,19,GO:0022409,positive regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-2.4,6.1,4.1,20504,288,47,4,8.5,4.1,11629|12550|26365|110351,Aif1|Cdh1|Ceacam1|Rap1gap,0
Geneid,GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-2.4,4.6,3.8,20504,472,47,5,11,4.5,11629|12550|26365|110351|330662,Aif1|Cdh1|Ceacam1|Rap1gap|Dock1,0
Geneid,GO Biological Processes,19,GO:0007601,visual perception,19_GO:0032501 multicellular organismal process,-2.2,8.1,4.3,20504,162,47,3,6.4,3.6,12628|13819|108072,Cfh|Epas1|Grm6,0
Geneid,GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,19_GO:0009987 cellular process,-2.2,3.6,3.4,20504,728,47,6,13,4.9,11629|12550|50525|73296|102866|404710,Aif1|Cdh1|Spag6l|Rhobtb3|Pls3|Iqgap3,0
