Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
50525,3.0,1,1,1
12550,3.0,1,1,1
239096,3.0,1,1,1
12557,3.0,1,1,1
58992,3.0,1,1,1
26365,3.0,1,1,1
213402,3.0,1,1,1
330662,2.0,1,0,1
19362,2.0,1,0,1
73296,2.0,1,0,1
20112,2.0,1,1,0
78767,2.0,1,0,1
380928,2.0,1,0,1
270160,2.0,1,0,1
67484,2.0,1,0,1
22092,2.0,1,1,0
12628,2.0,1,0,1
434437,2.0,1,0,1
22259,2.0,1,0,1
215095,2.0,1,1,0
102866,2.0,1,0,1
216188,2.0,1,0,1
108072,2.0,1,0,1
211535,2.0,1,1,0
13819,2.0,1,0,1
18805,2.0,1,0,1
71870,2.0,1,0,1
110351,2.0,1,0,1
268465,2.0,1,0,1
110095,2.0,1,0,1
17228,2.0,1,1,0
16637,2.0,1,0,1
11629,2.0,1,0,1
56370,2.0,1,0,1
18514,2.0,1,1,0
11864,2.0,1,0,1
22165,2.0,1,0,1
93843,2.0,1,0,1
12579,2.0,1,1,0
217151,2.0,1,0,1
242894,2.0,1,0,1
404710,2.0,1,0,1
11647,2.0,1,0,1
54672,2.0,1,0,1
71769,2.0,1,0,1
72685,2.0,1,0,1
20308,2.0,1,0,1
243743,2.0,1,0,1
71729,2.0,1,0,1
242891,2.0,1,0,1
14131,2.0,1,0,1
72293,2.0,1,1,0
279029,2.0,1,0,1
71233,2.0,1,0,1
16619,2.0,1,1,0
17388,2.0,1,1,0
234353,2.0,1,0,1
100415978,1.0,1,0,0
67341,1.0,1,0,0
16469,1.0,1,0,0
83675,1.0,1,0,0
12945,1.0,1,0,0
13070,1.0,1,0,0
78733,1.0,1,0,0
271221,1.0,1,0,0
71690,1.0,1,0,0
102641509,1.0,1,0,0
668070,1.0,1,0,0
100503197,1.0,1,0,0
27047,1.0,1,0,0
433294,1.0,1,0,0
252973,1.0,1,0,0
76954,1.0,1,0,0
105193,1.0,1,0,0
78016,1.0,1,0,0
207819,1.0,1,0,0
623781,1.0,1,0,0
381072,1.0,1,0,0
15205,1.0,1,0,0
100039027,1.0,1,0,0
225579,1.0,1,0,0
114606,1.0,1,0,0
278507,1.0,1,0,0
66729,1.0,1,0,0
66611,1.0,1,0,0
97998,1.0,1,0,0
56742,1.0,1,0,0
69219,1.0,1,0,0
210554,1.0,1,0,0
245350,1.0,1,0,0
112694759,1.0,1,0,0
16795,1.0,1,0,0
71106,1.0,1,0,0
225638,1.0,1,0,0
100418123,1.0,1,0,0
16497,1.0,1,0,0
12724,1.0,1,0,0
60345,1.0,1,0,0
14871,1.0,1,0,0
319673,1.0,1,0,0
74107,1.0,1,0,0
381077,1.0,1,0,0
56504,1.0,1,0,0
654821,1.0,1,0,0
19746,1.0,1,0,0
78416,1.0,1,0,0
230775,1.0,1,0,0
76072,1.0,1,0,0
243833,1.0,1,0,0
100502982,1.0,1,0,0
215494,1.0,1,0,0
110612,1.0,1,0,0
73321,1.0,1,0,0
27059,1.0,1,0,0
74603,1.0,1,0,0
68054,1.0,1,0,0
71196,1.0,1,0,0
18549,1.0,1,0,0
108075,1.0,1,0,0
546144,1.0,1,0,0
15951,1.0,1,0,0
17086,1.0,1,0,0
100418053,1.0,1,0,0
30943,1.0,1,0,0
26448,1.0,1,0,0
74310,1.0,1,0,0
624860,1.0,1,0,0
12984,1.0,1,0,0
100040619,1.0,1,0,0
215821,1.0,1,0,0
338365,1.0,1,0,0
100417574,1.0,1,0,0
29870,1.0,1,0,0
76872,1.0,1,0,0
23963,1.0,1,0,0
69885,1.0,1,0,0
20230,1.0,1,0,0
236899,1.0,1,0,0
66468,1.0,1,0,0
115485979,1.0,1,0,0
77318,1.0,1,0,0
547347,1.0,1,0,0
17933,1.0,1,0,0
237091,1.0,1,0,0
