,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000038217,Tlcd2,Up,47.618701566274,7.69435061966045e-69,3243.49204937567
2,2,ENSMUSG00000034471,Caskin2,Up,47.9778900079685,2.61985504541627e-65,3098.49479001042
3,3,ENSMUSG00000034487,Poglut3,Up,50.69858523285,2.02251452834495e-61,3077.105425316
4,4,ENSMUSG00000075122,Cd80,Up,39.0176360776814,7.69435061966045e-69,2657.64055383283
5,5,ENSMUSG00000037994,Slc9b2,Up,47.0672073191383,1.11782851076121e-56,2633.48672513669
6,6,ENSMUSG00000024873,Cnih2,Up,41.2212213261541,2.49230681983475e-62,2539.36732376989
7,7,ENSMUSG00000045031,Cetn4,Up,48.6216390235304,1.79241730193331e-51,2467.38096443121
8,8,ENSMUSG00000105646,ENSMUSG00000105646,Up,39.1602037644465,3.38288147523643e-57,2211.40463634678
9,9,ENSMUSG00000026274,Pask,Up,46.0080984649017,1.1753672321247e-45,2067.13587799196
10,10,ENSMUSG00000039005,Tlr4,Up,49.5907912265533,1.70760715532559e-39,1922.51655473286
11,11,ENSMUSG00000066894,Vsig10,Up,41.5275515875142,2.24229422670789e-42,1729.59376169019
12,12,ENSMUSG00000055725,Paqr3,Up,45.4197088353872,1.14912819344897e-38,1723.20701695851
13,13,ENSMUSG00000020085,Aifm2,Up,50.0682276140408,2.15941732182669e-34,1685.5800988524
14,14,ENSMUSG00000073018,Gm1070,Up,46.5382826792218,6.9172142955135e-37,1682.82750210237
15,15,ENSMUSG00000047907,Tshz2,Up,46.5485629221321,1.74881625432766e-35,1617.90030948376
16,16,ENSMUSG00000030402,Ppm1n,Up,49.2648043666485,1.59354888516692e-33,1615.76905270958
17,17,ENSMUSG00000071722,Spin4,Up,45.6948083435687,1.96318753460209e-34,1540.23665093545
18,18,ENSMUSG00000039578,Ccser1,Up,44.1643796445706,2.0608329628832e-35,1531.88378245858
19,19,ENSMUSG00000086953,ENSMUSG00000086953,Up,46.4033429316019,1.00754896058787e-33,1531.1587560316
20,20,ENSMUSG00000020473,Aebp1,Up,49.5751847635587,2.6963367321409e-31,1515.47502067655
21,21,ENSMUSG00000103532,ENSMUSG00000103532,Up,48.8920070552368,1.28840549062558e-31,1510.27152783373
22,22,ENSMUSG00000020057,Dram1,Up,47.0749184926715,1.46751174769357e-32,1498.55557715681
23,23,ENSMUSG00000039208,Metrnl,Up,34.814716921116,2.42898348266743e-40,1379.17022983917
24,24,ENSMUSG00000049184,Purg,Up,47.0816048611613,2.97340211651401e-27,1248.92179008048
25,25,ENSMUSG00000086312,ENSMUSG00000086312,Up,43.7842878473396,7.98724163489455e-29,1230.23354531455
26,26,ENSMUSG00000028392,Bspry,Up,31.2271377519371,1.45804637077771e-39,1212.74426224938
27,27,ENSMUSG00000039021,Ttc16,Up,45.492847899341,2.44841139902478e-27,1210.61543475155
28,28,ENSMUSG00000109759,ENSMUSG00000109759,Up,40.2824926881471,2.41658213355432e-30,1193.03846659338
29,29,ENSMUSG00000086494,2210417A02Rik,Up,47.9704616928925,6.85680131954483e-25,1159.15240478567
30,30,ENSMUSG00000018451,6330403K07Rik,Up,25.5234227770829,1.63992902871102e-40,1015.45384042047
