Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0007159,leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-12,4.8,9.8,20504,373,358,31,8.7,1.5,11501|12053|12162|12367|12477|12487|12505|12519|14537|15978|16183|16184|16196|16401|16408|16409|16412|16768|16852|16963|21943|22329|24099|50930|54167|54446|54698|58205|60505|72049|100043314,Adam8|Bcl6|Bmp7|Casp3|Ctla4|Cd28|Cd44|Cd80|Gcnt1|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Itgam|Itgb1|Lag3|Lgals1|Xcl1|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Crtam|Pdcd1lg2|Il21|Tnfrsf13c|Tigit,-7.9,Geneid
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-11,3.7,8.7,20504,550,358,36,10,1.6,11501|12047|12053|12192|12367|12393|12458|12477|12487|12505|12519|15978|16183|16184|16196|16364|16408|16409|16411|16768|16852|16963|21938|21943|22329|24099|30925|50930|54167|54698|58205|60505|72049|74732|252838|100043314,Adam8|Bcl2a1d|Bcl6|Zfp36l1|Casp3|Runx2|Ccr6|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Irf4|Itgal|Itgam|Itgax|Lag3|Lgals1|Xcl1|Tnfrsf1b|Tnfsf11|Vcam1|Tnfsf13b|Slamf6|Tnfsf14|Icos|Crtam|Pdcd1lg2|Il21|Tnfrsf13c|Stx11|Tox|Tigit,-7.1,Geneid
GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-11,4.7,9.2,20504,342,358,28,7.8,1.4,11501|12053|12367|12458|12477|12487|12505|12519|15978|16183|16184|16196|16408|16768|16852|16963|21938|21943|22329|24099|50930|54167|54698|58205|60505|72049|252838|100043314,Adam8|Bcl6|Casp3|Ccr6|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itgal|Lag3|Lgals1|Xcl1|Tnfrsf1b|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Crtam|Pdcd1lg2|Il21|Tnfrsf13c|Tox|Tigit,-7.1,Geneid
GO Biological Processes,19,GO:1903037,regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-10,4.6,8.9,20504,333,358,27,7.5,1.4,11501|12053|12367|12477|12487|12505|12519|15978|16183|16184|16196|16401|16408|16768|16852|16963|21943|22329|24099|50930|54167|54446|54698|58205|60505|72049|100043314,Adam8|Bcl6|Casp3|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Lag3|Lgals1|Xcl1|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Crtam|Pdcd1lg2|Il21|Tnfrsf13c|Tigit,-6.7,Geneid
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-10,3.9,8.4,20504,472,358,32,8.9,1.5,11501|12053|12162|12487|12505|12519|15978|16183|16184|16196|16401|16408|16412|16852|16878|16963|18186|18606|19247|20750|21943|22329|24099|50918|50930|54167|54446|58205|60505|72049|94214|320664,Adam8|Bcl6|Bmp7|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Itgb1|Lgals1|Lif|Xcl1|Nrp1|Enpp2|Ptpn11|Spp1|Tnfsf11|Vcam1|Tnfsf13b|Myadm|Tnfsf14|Icos|Nfat5|Pdcd1lg2|Il21|Tnfrsf13c|Spock2|Cass4,-6.6,Geneid
GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-10,3.1,8,20504,772,358,42,12,1.7,11501|12053|12162|12367|12477|12487|12505|12519|12766|15978|16183|16184|16196|16401|16408|16412|16768|16852|16878|16963|18186|18606|19247|20583|20750|20947|21943|22329|24099|50918|50930|54167|54446|54698|56013|58205|60505|72049|75697|94214|320664|100043314,Adam8|Bcl6|Bmp7|Casp3|Ctla4|Cd28|Cd44|Cd80|Cxcr3|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Itgb1|Lag3|Lgals1|Lif|Xcl1|Nrp1|Enpp2|Ptpn11|Snai2|Spp1|Swap70|Tnfsf11|Vcam1|Tnfsf13b|Myadm|Tnfsf14|Icos|Nfat5|Crtam|Srcin1|Pdcd1lg2|Il21|Tnfrsf13c|C2cd4b|Spock2|Cass4|Tigit,-6.6,Geneid
GO Biological Processes,19,GO:1903039,positive regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-9.6,5.3,8.8,20504,240,358,22,6.1,1.3,11501|12053|12487|12505|12519|15978|16183|16184|16196|16401|16408|16852|16963|21943|22329|24099|50930|54167|54446|58205|60505|72049,Adam8|Bcl6|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Lgals1|Xcl1|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Pdcd1lg2|Il21|Tnfrsf13c,-6.1,Geneid
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-9.3,3.1,7.6,20504,725,358,39,11,1.6,11501|12053|12192|12367|12458|12477|12487|12505|12519|13011|15902|15978|16183|16184|16196|16408|16409|16768|16852|16963|17082|17470|21898|21938|21943|22038|22329|22780|24099|27007|50930|54167|54698|58205|60505|72049|107823|252838|100043314,Adam8|Bcl6|Zfp36l1|Casp3|Ccr6|Ctla4|Cd28|Cd44|Cd80|Cst7|Id2|Ifng|Il2|Il2ra|Il7|Itgal|Itgam|Lag3|Lgals1|Xcl1|Il1rl1|Cd200|Tlr4|Tnfrsf1b|Tnfsf11|Plscr1|Vcam1|Ikzf3|Tnfsf13b|Klrk1|Tnfsf14|Icos|Crtam|Pdcd1lg2|Il21|Tnfrsf13c|Nsd2|Tox|Tigit,-5.9,Geneid
GO Biological Processes,19,GO:0022407,regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-9.2,3.8,8,20504,457,358,30,8.4,1.5,11501|12053|12162|12367|12477|12487|12505|12519|15978|16183|16184|16196|16401|16408|16768|16852|16963|20947|21943|22329|24099|50918|50930|54167|54446|54698|58205|60505|72049|100043314,Adam8|Bcl6|Bmp7|Casp3|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Lag3|Lgals1|Xcl1|Swap70|Tnfsf11|Vcam1|Tnfsf13b|Myadm|Tnfsf14|Icos|Nfat5|Crtam|Pdcd1lg2|Il21|Tnfrsf13c|Tigit,-5.9,Geneid
KEGG Pathway,24,ko04060,Cytokine-cytokine receptor interaction,,-8.9,4.8,8.3,20504,261,358,22,6.1,1.3,12162|12458|12766|12776|15945|15978|16154|16178|16183|16184|16185|16196|16878|16963|20290|21938|21943|24099|50930|57349|60505|72049,Bmp7|Ccr6|Cxcr3|Ccr8|Cxcl10|Ifng|Il10ra|Il1r2|Il2|Il2ra|Il2rb|Il7|Lif|Xcl1|Ccl1|Tnfrsf1b|Tnfsf11|Tnfsf13b|Tnfsf14|Ppbp|Il21|Tnfrsf13c,-5.6,Geneid
GO Biological Processes,19,GO:0022409,positive regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-8.8,4.6,8.1,20504,288,358,23,6.4,1.3,11501|12053|12162|12487|12505|12519|15978|16183|16184|16196|16401|16408|16852|16963|21943|22329|24099|50930|54167|54446|58205|60505|72049,Adam8|Bcl6|Bmp7|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Lgals1|Xcl1|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Pdcd1lg2|Il21|Tnfrsf13c,-5.6,Geneid
GO Biological Processes,19,GO:0050670,regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-8.8,5,8.3,20504,241,358,21,5.9,1.2,12053|12367|12477|12487|12505|12519|15978|16183|16184|16196|16408|16963|21898|21938|22329|22780|24099|54698|58205|60505|72049,Bcl6|Casp3|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itgal|Xcl1|Tlr4|Tnfrsf1b|Vcam1|Ikzf3|Tnfsf13b|Crtam|Pdcd1lg2|Il21|Tnfrsf13c,-5.6,Geneid
KEGG Pathway,24,mmu04060,Cytokine-cytokine receptor interaction,,-8.7,4.7,8.2,20504,266,358,22,6.1,1.3,12162|12458|12766|12776|15945|15978|16154|16178|16183|16184|16185|16196|16878|16963|20290|21938|21943|24099|50930|57349|60505|72049,Bmp7|Ccr6|Cxcr3|Ccr8|Cxcl10|Ifng|Il10ra|Il1r2|Il2|Il2ra|Il2rb|Il7|Lif|Xcl1|Ccl1|Tnfrsf1b|Tnfsf11|Tnfsf13b|Tnfsf14|Ppbp|Il21|Tnfrsf13c,-5.6,Geneid
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0002376 immune system process,-8.7,3.2,7.4,20504,633,358,35,9.8,1.6,11501|12047|12053|12192|12393|12458|12477|12487|12505|14056|15902|15978|16183|16184|16196|16364|16409|16768|16852|16878|18018|18987|21847|21943|22402|22780|24099|30925|54698|60505|65963|97086|170741|227377|252838,Adam8|Bcl2a1d|Bcl6|Zfp36l1|Runx2|Ccr6|Ctla4|Cd28|Cd44|Ezh2|Id2|Ifng|Il2|Il2ra|Il7|Irf4|Itgam|Lag3|Lgals1|Lif|Nfatc1|Pou2f2|Klf10|Tnfsf11|Ccn4|Ikzf3|Tnfsf13b|Slamf6|Crtam|Il21|Tmem176b|Slc9b2|Pilrb1|Farp2|Tox,-5.6,Geneid
GO Biological Processes,19,GO:0032944,regulation of mononuclear cell proliferation,19_GO:0050789 regulation of biological process,-8.6,4.9,8.2,20504,245,358,21,5.9,1.2,12053|12367|12477|12487|12505|12519|15978|16183|16184|16196|16408|16963|21898|21938|22329|22780|24099|54698|58205|60505|72049,Bcl6|Casp3|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itgal|Xcl1|Tlr4|Tnfrsf1b|Vcam1|Ikzf3|Tnfsf13b|Crtam|Pdcd1lg2|Il21|Tnfrsf13c,-5.5,Geneid
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0050789 regulation of biological process,-8.6,2.9,7.2,20504,770,358,39,11,1.6,11501|12053|12192|12367|12458|12477|12487|12505|12519|13011|15902|15978|16183|16184|16196|16408|16409|16768|16852|16963|17082|17470|21898|21938|21943|22038|22329|22780|24099|27007|50930|54167|54698|58205|60505|72049|107823|252838|100043314,Adam8|Bcl6|Zfp36l1|Casp3|Ccr6|Ctla4|Cd28|Cd44|Cd80|Cst7|Id2|Ifng|Il2|Il2ra|Il7|Itgal|Itgam|Lag3|Lgals1|Xcl1|Il1rl1|Cd200|Tlr4|Tnfrsf1b|Tnfsf11|Plscr1|Vcam1|Ikzf3|Tnfsf13b|Klrk1|Tnfsf14|Icos|Crtam|Pdcd1lg2|Il21|Tnfrsf13c|Nsd2|Tox|Tigit,-5.5,Geneid
GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-8.5,4.3,7.9,20504,323,358,24,6.7,1.3,11501|12053|12192|12458|12477|12487|12505|15902|15978|16183|16184|16196|16409|16768|16878|21847|21943|22780|54698|60505|65963|97086|170741|252838,Adam8|Bcl6|Zfp36l1|Ccr6|Ctla4|Cd28|Cd44|Id2|Ifng|Il2|Il2ra|Il7|Itgam|Lag3|Lif|Klf10|Tnfsf11|Ikzf3|Crtam|Il21|Tmem176b|Slc9b2|Pilrb1|Tox,-5.5,Geneid
GO Biological Processes,19,GO:0046651,lymphocyte proliferation,19_GO:0002376 immune system process,-8.3,4.2,7.7,20504,331,358,24,6.7,1.3,12053|12367|12477|12487|12505|12519|15978|16183|16184|16196|16408|16409|16411|16963|21898|21938|22329|22780|24099|30925|54698|58205|60505|72049,Bcl6|Casp3|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itgal|Itgam|Itgax|Xcl1|Tlr4|Tnfrsf1b|Vcam1|Ikzf3|Tnfsf13b|Slamf6|Crtam|Pdcd1lg2|Il21|Tnfrsf13c,-5.3,Geneid
GO Biological Processes,19,GO:0070661,leukocyte proliferation,19_GO:0009987 cellular process,-8.3,4,7.6,20504,359,358,25,7,1.3,12053|12367|12477|12487|12505|12519|15978|16183|16184|16196|16408|16409|16411|16963|21898|21938|21943|22329|22780|24099|30925|54698|58205|60505|72049,Bcl6|Casp3|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itgal|Itgam|Itgax|Xcl1|Tlr4|Tnfrsf1b|Tnfsf11|Vcam1|Ikzf3|Tnfsf13b|Slamf6|Crtam|Pdcd1lg2|Il21|Tnfrsf13c,-5.3,Geneid
