_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.2,GO:0018212,peptidyl-tyrosine modification,M1,1,0
1,-3.1,GO:0032733,positive regulation of interleukin-10 production,M1,1,0
1,-2.3,GO:0045859,regulation of protein kinase activity,M1,1,0
1,-5,GO:1903038,negative regulation of leukocyte cell-cell adhesion,M1,1,0
1,-3,GO:0034330,cell junction organization,M1,1,0
1,-2.7,R-MMU-199418,Negative regulation of the PI3K/AKT network,M1,1,0
1,-2.6,GO:0030101,natural killer cell activation,M1,1,0
1,-2.7,GO:0002360,T cell lineage commitment,M1,1,0
1,-2.3,GO:0046640,regulation of alpha-beta T cell proliferation,M1,1,0
1,-2.8,GO:0007229,integrin-mediated signaling pathway,M1,1,0
1,-3.3,GO:1901214,regulation of neuron death,M1,1,0
1,-2,GO:0046718,viral entry into host cell,M1,1,0
1,-2.5,GO:0010819,regulation of T cell chemotaxis,M1,1,0
1,-4.1,GO:0040017,positive regulation of locomotion,M1,1,0
1,-5.4,GO:0050798,activated T cell proliferation,M1,1,0
1,-2.1,GO:0046633,alpha-beta T cell proliferation,M1,1,0
1,-2.4,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-2.8,GO:0097190,apoptotic signaling pathway,M1,1,0
1,-3.5,GO:2000406,positive regulation of T cell migration,M1,1,0
1,-2.6,mmu_M00089,Triacylglycerol biosynthesis,M1,1,0
1,-2.9,GO:0032651,regulation of interleukin-1 beta production,M1,1,0
1,-5.9,GO:1902107,positive regulation of leukocyte differentiation,M1,1,0
1,-4.1,GO:0002573,myeloid leukocyte differentiation,M1,1,0
1,-2.4,GO:0032731,positive regulation of interleukin-1 beta production,M1,1,0
1,-4.5,GO:0042113,B cell activation,M1,1,0
1,-3,GO:0050767,regulation of neurogenesis,M1,1,0
1,-2.5,GO:0001944,vasculature development,M1,1,0
1,-3.1,GO:0031346,positive regulation of cell projection organization,M1,1,0
1,-2.7,GO:0042130,negative regulation of T cell proliferation,M1,1,0
1,-2.5,GO:0010811,positive regulation of cell-substrate adhesion,M1,1,0
1,-2.4,GO:0045579,positive regulation of B cell differentiation,M1,1,0
1,-2.3,R-MMU-422475,Axon guidance,M1,1,0
1,-2.2,GO:0051054,positive regulation of DNA metabolic process,M1,1,0
1,-3.8,GO:0007160,cell-matrix adhesion,M1,1,0
1,-2.7,R-MMU-1474244,Extracellular matrix organization,M1,1,0
1,-3.8,GO:0046634,regulation of alpha-beta T cell activation,M1,1,0
1,-2.2,GO:0002363,alpha-beta T cell lineage commitment,M1,1,0
1,-3.2,GO:0002706,regulation of lymphocyte mediated immunity,M1,1,0
1,-3.1,GO:0048872,homeostasis of number of cells,M1,1,0
1,-2.9,GO:0002700,regulation of production of molecular mediator of immune response,M1,1,0
1,-2.6,GO:0007249,I-kappaB kinase/NF-kappaB signaling,M1,1,0
1,-2.1,GO:0061035,regulation of cartilage development,M1,1,0
1,-2.2,GO:0007044,cell-substrate junction assembly,M1,1,0
1,-2.8,GO:0045860,positive regulation of protein kinase activity,M1,1,0
1,-9.2,GO:0022407,regulation of cell-cell adhesion,M1,1,0
1,-4.4,GO:0035710,"CD4-positive, alpha-beta T cell activation",M1,1,0
1,-4,GO:0050864,regulation of B cell activation,M1,1,0
1,-5.7,ko05323,Rheumatoid arthritis,M1,1,0
1,-4.8,GO:2000404,regulation of T cell migration,M1,1,0
1,-8.6,GO:0032944,regulation of mononuclear cell proliferation,M1,1,0
1,-2.3,GO:0014032,neural crest cell development,M1,1,0
1,-2.3,GO:0033674,positive regulation of kinase activity,M1,1,0
1,-8.7,mmu04060,Cytokine-cytokine receptor interaction,M1,1,0
1,-2.9,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-2.5,GO:0002697,regulation of immune effector process,M1,1,0
1,-9.6,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M1,1,0
1,-2.3,ko04670,Leukocyte transendothelial migration,M1,1,0
1,-4.1,GO:0030335,positive regulation of cell migration,M1,1,0
1,-2.5,GO:0002440,production of molecular mediator of immune response,M1,1,0
1,-2.4,GO:0010948,negative regulation of cell cycle process,M1,1,0
1,-4.4,GO:0051250,negative regulation of lymphocyte activation,M1,1,0
1,-2.4,ko04658,Th1 and Th2 cell differentiation,M1,1,0
1,-2,GO:0034114,regulation of heterotypic cell-cell adhesion,M1,1,0
1,-2.1,GO:0014033,neural crest cell differentiation,M1,1,0
1,-2.2,GO:0014031,mesenchymal cell development,M1,1,0
1,-2.1,GO:0006509,membrane protein ectodomain proteolysis,M1,1,0
1,-7.9,GO:0042098,T cell proliferation,M1,1,0
1,-2.9,R-MMU-373755,Semaphorin interactions,M1,1,0
1,-2.8,GO:0002702,positive regulation of production of molecular mediator of immune response,M1,1,0
1,-2.3,GO:0043373,"CD4-positive, alpha-beta T cell lineage commitment",M1,1,0
1,-2.1,GO:0071774,response to fibroblast growth factor,M1,1,0
1,-3.7,GO:0032945,negative regulation of mononuclear cell proliferation,M1,1,0
1,-2.1,GO:0008285,negative regulation of cell population proliferation,M1,1,0
1,-8.6,GO:0050865,regulation of cell activation,M1,1,0
