_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-12.144634229255873,GO:0022610,biological adhesion,M1,1,GO:0007159 leukocyte cell-cell adhesion
1,-10.963936777547092,GO:0002376,immune system process,M1,1,GO:0042110 T cell activation
1,-8.632935776926278,GO:0050789,regulation of biological process,M1,1,GO:0032944 regulation of mononuclear cell proliferation
1,-8.293293229467116,GO:0009987,cellular process,M1,1,GO:0070661 leukocyte proliferation
1,-8.016058459208539,GO:0048518,positive regulation of biological process,M1,1,GO:0032103 positive regulation of response to external stimulus
1,-7.39361731203331,GO:0050896,response to stimulus,M1,1,GO:0050727 regulation of inflammatory response
1,-6.504673475788822,GO:0032501,multicellular organismal process,M1,1,GO:0001817 regulation of cytokine production
1,-6.151223140648822,GO:0040011,locomotion,M1,1,GO:0060326 cell chemotaxis
1,-5.315866193513166,GO:0008152,metabolic process,M1,1,GO:0050730 regulation of peptidyl-tyrosine phosphorylation
1,-4.713858322133736,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0045089 positive regulation of innate immune response
1,-4.39440283019958,GO:0048519,negative regulation of biological process,M1,1,GO:0050866 negative regulation of cell activation
1,-4.066813875106946,GO:0051179,localization,M1,1,GO:0051272 positive regulation of cellular component movement
1,-3.7824538611629768,GO:0032502,developmental process,M1,1,GO:0000768 syncytium formation by plasma membrane fusion
1,-3.652840641347255,GO:0023052,signaling,M1,1,GO:0043408 regulation of MAPK cascade
1,-3.6020790911826337,GO:0065007,biological regulation,M1,1,GO:0055074 calcium ion homeostasis
1,-2.8718333555392235,GO:0022414,reproductive process,M1,1,GO:0060713 labyrinthine layer morphogenesis
1,-2.3445640837980335,GO:0040007,growth,M1,1,GO:0046622 positive regulation of organ growth
1,-2.2550433899261266,GO:0051704,multi-organism process,M1,1,GO:0046697 decidualization
1,-2.196962910421303,GO:0016032,viral process,M1,1,GO:0046782 regulation of viral transcription
1,-2.1377647466931657,GO:0048511,rhythmic process,M1,1,GO:0042752 regulation of circadian rhythm
