_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-12.144634229255873,GO:0007159,M1,1,0,GO Biological Processes,19,leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-12.144634229255873,4.760016175655639,9.769385768046293,20504,373,358,31,8.659217877094973,1.4863811302729706,11501|12053|12162|12367|12477|12487|12505|12519|14537|15978|16183|16184|16196|16401|16408|16409|16412|16768|16852|16963|21943|22329|24099|50930|54167|54446|54698|58205|60505|72049|100043314,Adam8|Bcl6|Bmp7|Casp3|Ctla4|Cd28|Cd44|Cd80|Gcnt1|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Itgam|Itgb1|Lag3|Lgals1|Xcl1|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Crtam|Pdcd1lg2|Il21|Tnfrsf13c|Tigit,-7.86282845962927,0,1,1,1,-12.144634229255873,8.715569589506924,
1,-10.963936777547092,GO:0042110,M1,1,0,GO Biological Processes,19,T cell activation,19_GO:0002376 immune system process,-10.963936777547092,3.7488268156424587,8.711030694048018,20504,550,358,36,10.05586592178771,1.5894784576820142,11501|12047|12053|12192|12367|12393|12458|12477|12487|12505|12519|15978|16183|16184|16196|16364|16408|16409|16411|16768|16852|16963|21938|21943|22329|24099|30925|50930|54167|54698|58205|60505|72049|74732|252838|100043314,Adam8|Bcl2a1d|Bcl6|Zfp36l1|Casp3|Runx2|Ccr6|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Irf4|Itgal|Itgam|Itgax|Lag3|Lgals1|Xcl1|Tnfrsf1b|Tnfsf11|Vcam1|Tnfsf13b|Slamf6|Tnfsf14|Icos|Crtam|Pdcd1lg2|Il21|Tnfrsf13c|Stx11|Tox|Tigit,-7.053114612668891,0,1,0,0,-12.144634229255873,8.715569589506924,
1,-10.85779912757583,GO:0050863,M1,1,0,GO Biological Processes,19,regulation of T cell activation,19_GO:0002376 immune system process,-10.85779912757583,4.689078375641151,9.171068436052801,20504,342,358,28,7.82122905027933,1.4190949208324302,11501|12053|12367|12458|12477|12487|12505|12519|15978|16183|16184|16196|16408|16768|16852|16963|21938|21943|22329|24099|50930|54167|54698|58205|60505|72049|252838|100043314,Adam8|Bcl6|Casp3|Ccr6|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itgal|Lag3|Lgals1|Xcl1|Tnfrsf1b|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Crtam|Pdcd1lg2|Il21|Tnfrsf13c|Tox|Tigit,-7.053114612668891,0,1,0,0,-12.144634229255873,8.715569589506924,
1,-10.391058792592908,GO:1903037,M1,1,0,GO Biological Processes,19,regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-10.391058792592908,4.643817001358901,8.936567998555953,20504,333,358,27,7.5418994413407825,1.395633350698954,11501|12053|12367|12477|12487|12505|12519|15978|16183|16184|16196|16401|16408|16768|16852|16963|21943|22329|24099|50930|54167|54446|54698|58205|60505|72049|100043314,Adam8|Bcl6|Casp3|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Lag3|Lgals1|Xcl1|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Crtam|Pdcd1lg2|Il21|Tnfrsf13c|Tigit,-6.711313014294268,0,1,0,0,-12.144634229255873,8.715569589506924,
1,-10.179161886184932,GO:0045785,M1,1,0,GO Biological Processes,19,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-10.179161886184932,3.882965628254899,8.447031476609059,20504,472,358,32,8.938547486033519,1.5078538500404393,11501|12053|12162|12487|12505|12519|15978|16183|16184|16196|16401|16408|16412|16852|16878|16963|18186|18606|19247|20750|21943|22329|24099|50918|50930|54167|54446|58205|60505|72049|94214|320664,Adam8|Bcl6|Bmp7|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Itgb1|Lgals1|Lif|Xcl1|Nrp1|Enpp2|Ptpn11|Spp1|Tnfsf11|Vcam1|Tnfsf13b|Myadm|Tnfsf14|Icos|Nfat5|Pdcd1lg2|Il21|Tnfrsf13c|Spock2|Cass4,-6.646860792943697,0,1,0,0,-12.144634229255873,8.715569589506924,
1,-10.150515312186656,GO:0030155,M1,1,0,GO Biological Processes,19,regulation of cell adhesion,19_GO:0022610 biological adhesion,-10.150515312186656,3.115929024227863,7.988771455829124,20504,772,358,42,11.731843575418994,1.7007624020488294,11501|12053|12162|12367|12477|12487|12505|12519|12766|15978|16183|16184|16196|16401|16408|16412|16768|16852|16878|16963|18186|18606|19247|20583|20750|20947|21943|22329|24099|50918|50930|54167|54446|54698|56013|58205|60505|72049|75697|94214|320664|100043314,Adam8|Bcl6|Bmp7|Casp3|Ctla4|Cd28|Cd44|Cd80|Cxcr3|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Itgb1|Lag3|Lgals1|Lif|Xcl1|Nrp1|Enpp2|Ptpn11|Snai2|Spp1|Swap70|Tnfsf11|Vcam1|Tnfsf13b|Myadm|Tnfsf14|Icos|Nfat5|Crtam|Srcin1|Pdcd1lg2|Il21|Tnfrsf13c|C2cd4b|Spock2|Cass4|Tigit,-6.646860792943697,0,1,0,0,-12.144634229255873,8.715569589506924,
1,-9.572900548860563,GO:1903039,M1,1,0,GO Biological Processes,19,positive regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-9.572900548860563,5.250093109869647,8.82871060515276,20504,240,358,22,6.145251396648045,1.2692770838023986,11501|12053|12487|12505|12519|15978|16183|16184|16196|16401|16408|16852|16963|21943|22329|24099|50930|54167|54446|58205|60505|72049,Adam8|Bcl6|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Lgals1|Xcl1|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Pdcd1lg2|Il21|Tnfrsf13c,-6.136192819248217,0,1,0,0,-12.144634229255873,8.715569589506924,
1,-9.305693466363715,GO:0002694,M1,1,0,GO Biological Processes,19,regulation of leukocyte activation,19_GO:0002376 immune system process,-9.305693466363715,3.080932382970526,7.604674171011542,20504,725,358,39,10.893854748603353,1.646656849783953,11501|12053|12192|12367|12458|12477|12487|12505|12519|13011|15902|15978|16183|16184|16196|16408|16409|16768|16852|16963|17082|17470|21898|21938|21943|22038|22329|22780|24099|27007|50930|54167|54698|58205|60505|72049|107823|252838|100043314,Adam8|Bcl6|Zfp36l1|Casp3|Ccr6|Ctla4|Cd28|Cd44|Cd80|Cst7|Id2|Ifng|Il2|Il2ra|Il7|Itgal|Itgam|Lag3|Lgals1|Xcl1|Il1rl1|Cd200|Tlr4|Tnfrsf1b|Tnfsf11|Plscr1|Vcam1|Ikzf3|Tnfsf13b|Klrk1|Tnfsf14|Icos|Crtam|Pdcd1lg2|Il21|Tnfrsf13c|Nsd2|Tox|Tigit,-5.926977683729056,0,1,0,0,-12.144634229255873,8.715569589506924,
1,-9.236145779695617,GO:0022407,M1,1,0,GO Biological Processes,19,regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-9.236145779695617,3.7597643118223045,7.953553439703289,20504,457,358,30,8.379888268156424,1.4644448100753347,11501|12053|12162|12367|12477|12487|12505|12519|15978|16183|16184|16196|16401|16408|16768|16852|16963|20947|21943|22329|24099|50918|50930|54167|54446|54698|58205|60505|72049|100043314,Adam8|Bcl6|Bmp7|Casp3|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Lag3|Lgals1|Xcl1|Swap70|Tnfsf11|Vcam1|Tnfsf13b|Myadm|Tnfsf14|Icos|Nfat5|Crtam|Pdcd1lg2|Il21|Tnfrsf13c|Tigit,-5.908582519508339,0,1,0,0,-12.144634229255873,8.715569589506924,
1,-8.801571457849429,GO:0022409,M1,1,0,GO Biological Processes,19,positive regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-8.801571457849429,4.573944754810677,8.142396911313549,20504,288,358,23,6.424581005586592,1.2958710315223771,11501|12053|12162|12487|12505|12519|15978|16183|16184|16196|16401|16408|16852|16963|21943|22329|24099|50930|54167|54446|58205|60505|72049,Adam8|Bcl6|Bmp7|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Lgals1|Xcl1|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Pdcd1lg2|Il21|Tnfrsf13c,-5.5626202038914805,0,1,0,0,-12.144634229255873,8.715569589506924,
1,-8.762069735213515,GO:0050670,M1,1,0,GO Biological Processes,19,regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-8.762069735213515,4.990658105194835,8.30724416120845,20504,241,358,21,5.865921787709497,1.2419384069140569,12053|12367|12477|12487|12505|12519|15978|16183|16184|16196|16408|16963|21898|21938|22329|22780|24099|54698|58205|60505|72049,Bcl6|Casp3|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itgal|Xcl1|Tlr4|Tnfrsf1b|Vcam1|Ikzf3|Tnfsf13b|Crtam|Pdcd1lg2|Il21|Tnfrsf13c,-5.5626202038914805,0,1,0,0,-12.144634229255873,8.715569589506924,
1,-8.698297937839845,GO:0002521,M1,1,0,GO Biological Processes,19,leukocyte differentiation,19_GO:0002376 immune system process,-8.698297937839845,3.1667946375775546,7.38185567326081,20504,633,358,35,9.776536312849162,1.569678621528611,11501|12047|12053|12192|12393|12458|12477|12487|12505|14056|15902|15978|16183|16184|16196|16364|16409|16768|16852|16878|18018|18987|21847|21943|22402|22780|24099|30925|54698|60505|65963|97086|170741|227377|252838,Adam8|Bcl2a1d|Bcl6|Zfp36l1|Runx2|Ccr6|Ctla4|Cd28|Cd44|Ezh2|Id2|Ifng|Il2|Il2ra|Il7|Irf4|Itgam|Lag3|Lgals1|Lif|Nfatc1|Pou2f2|Klf10|Tnfsf11|Ccn4|Ikzf3|Tnfsf13b|Slamf6|Crtam|Il21|Tmem176b|Slc9b2|Pilrb1|Farp2|Tox,-5.5626202038914805,0,1,0,0,-12.144634229255873,8.715569589506924,
1,-8.632935776926278,GO:0032944,M1,1,0,GO Biological Processes,19,regulation of mononuclear cell proliferation,19_GO:0050789 regulation of biological process,-8.632935776926278,4.909177972865123,8.205693427900302,20504,245,358,21,5.865921787709497,1.2419384069140569,12053|12367|12477|12487|12505|12519|15978|16183|16184|16196|16408|16963|21898|21938|22329|22780|24099|54698|58205|60505|72049,Bcl6|Casp3|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itgal|Xcl1|Tlr4|Tnfrsf1b|Vcam1|Ikzf3|Tnfsf13b|Crtam|Pdcd1lg2|Il21|Tnfrsf13c,-5.527221266355356,0,1,0,0,-12.144634229255873,8.715569589506924,
1,-8.565631307285855,GO:0050865,M1,1,0,GO Biological Processes,19,regulation of cell activation,19_GO:0050789 regulation of biological process,-8.565631307285855,2.900877893056664,7.167171967289814,20504,770,358,39,10.893854748603353,1.646656849783953,11501|12053|12192|12367|12458|12477|12487|12505|12519|13011|15902|15978|16183|16184|16196|16408|16409|16768|16852|16963|17082|17470|21898|21938|21943|22038|22329|22780|24099|27007|50930|54167|54698|58205|60505|72049|107823|252838|100043314,Adam8|Bcl6|Zfp36l1|Casp3|Ccr6|Ctla4|Cd28|Cd44|Cd80|Cst7|Id2|Ifng|Il2|Il2ra|Il7|Itgal|Itgam|Lag3|Lgals1|Xcl1|Il1rl1|Cd200|Tlr4|Tnfrsf1b|Tnfsf11|Plscr1|Vcam1|Ikzf3|Tnfsf13b|Klrk1|Tnfsf14|Icos|Crtam|Pdcd1lg2|Il21|Tnfrsf13c|Nsd2|Tox|Tigit,-5.4879455203151775,0,1,0,0,-12.144634229255873,8.715569589506924,
1,-8.534362112091928,GO:1902105,M1,1,0,GO Biological Processes,19,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-8.534362112091928,4.25563415604407,7.861787855011836,20504,323,358,24,6.70391061452514,1.3217652027448257,11501|12053|12192|12458|12477|12487|12505|15902|15978|16183|16184|16196|16409|16768|16878|21847|21943|22780|54698|60505|65963|97086|170741|252838,Adam8|Bcl6|Zfp36l1|Ccr6|Ctla4|Cd28|Cd44|Id2|Ifng|Il2|Il2ra|Il7|Itgam|Lag3|Lif|Klf10|Tnfsf11|Ikzf3|Crtam|Il21|Tmem176b|Slc9b2|Pilrb1|Tox,-5.4830052638436,0,1,0,0,-12.144634229255873,8.715569589506924,
1,-8.325013982728304,GO:0046651,M1,1,0,GO Biological Processes,19,lymphocyte proliferation,19_GO:0002376 immune system process,-8.325013982728304,4.152778949855693,7.7086455908071345,20504,331,358,24,6.70391061452514,1.3217652027448257,12053|12367|12477|12487|12505|12519|15978|16183|16184|16196|16408|16409|16411|16963|21898|21938|22329|22780|24099|30925|54698|58205|60505|72049,Bcl6|Casp3|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itgal|Itgam|Itgax|Xcl1|Tlr4|Tnfrsf1b|Vcam1|Ikzf3|Tnfsf13b|Slamf6|Crtam|Pdcd1lg2|Il21|Tnfrsf13c,-5.298480718205008,0,1,0,0,-12.144634229255873,8.715569589506924,
