Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0007159,leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-16,7.2,13,20504,373,221,29,13,2.3,11501|12053|12162|12367|12477|12487|12505|12519|14537|15978|16183|16184|16196|16401|16408|16409|16412|16852|16963|21943|22329|24099|50930|54167|54446|58205|60505|72049|100043314,Adam8|Bcl6|Bmp7|Casp3|Ctla4|Cd28|Cd44|Cd80|Gcnt1|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Itgam|Itgb1|Lgals1|Xcl1|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Pdcd1lg2|Il21|Tnfrsf13c|Tigit,-13
Geneid,GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-15,6.1,12,20504,472,221,31,14,2.3,11501|12053|12162|12487|12505|12519|15978|16183|16184|16196|16401|16408|16412|16852|16878|16963|18186|18606|19247|20750|21943|22329|24099|50930|54167|54446|58205|60505|72049|94214|320664,Adam8|Bcl6|Bmp7|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Itgb1|Lgals1|Lif|Xcl1|Nrp1|Enpp2|Ptpn11|Spp1|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Pdcd1lg2|Il21|Tnfrsf13c|Spock2|Cass4,-12
Geneid,GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-14,7.1,12,20504,342,221,26,12,2.2,11501|12053|12367|12458|12477|12487|12505|12519|15978|16183|16184|16196|16408|16852|16963|21938|21943|22329|24099|50930|54167|58205|60505|72049|252838|100043314,Adam8|Bcl6|Casp3|Ccr6|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itgal|Lgals1|Xcl1|Tnfrsf1b|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Pdcd1lg2|Il21|Tnfrsf13c|Tox|Tigit,-11
Geneid,GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-14,5.4,11,20504,550,221,32,14,2.4,11501|12047|12053|12192|12367|12393|12458|12477|12487|12505|12519|15978|16183|16184|16196|16364|16408|16409|16411|16852|16963|21938|21943|22329|24099|50930|54167|58205|60505|72049|252838|100043314,Adam8|Bcl2a1d|Bcl6|Zfp36l1|Casp3|Runx2|Ccr6|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Irf4|Itgal|Itgam|Itgax|Lgals1|Xcl1|Tnfrsf1b|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Pdcd1lg2|Il21|Tnfrsf13c|Tox|Tigit,-11
Geneid,GO Biological Processes,19,GO:1903039,positive regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-14,8.5,12,20504,240,221,22,10,2,11501|12053|12487|12505|12519|15978|16183|16184|16196|16401|16408|16852|16963|21943|22329|24099|50930|54167|54446|58205|60505|72049,Adam8|Bcl6|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Lgals1|Xcl1|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Pdcd1lg2|Il21|Tnfrsf13c,-11
Geneid,GO Biological Processes,19,GO:1903037,regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-14,7,11,20504,333,221,25,11,2.1,11501|12053|12367|12477|12487|12505|12519|15978|16183|16184|16196|16401|16408|16852|16963|21943|22329|24099|50930|54167|54446|58205|60505|72049|100043314,Adam8|Bcl6|Casp3|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Lgals1|Xcl1|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Pdcd1lg2|Il21|Tnfrsf13c|Tigit,-10
Geneid,GO Biological Processes,19,GO:0022409,positive regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-13,7.4,11,20504,288,221,23,10,2.1,11501|12053|12162|12487|12505|12519|15978|16183|16184|16196|16401|16408|16852|16963|21943|22329|24099|50930|54167|54446|58205|60505|72049,Adam8|Bcl6|Bmp7|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Lgals1|Xcl1|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Pdcd1lg2|Il21|Tnfrsf13c,-10
Geneid,KEGG Pathway,24,ko04060,Cytokine-cytokine receptor interaction,,-13,7.8,12,20504,261,221,22,10,2,12162|12458|12766|12776|15945|15978|16154|16178|16183|16184|16185|16196|16878|16963|20290|21938|21943|24099|50930|57349|60505|72049,Bmp7|Ccr6|Cxcr3|Ccr8|Cxcl10|Ifng|Il10ra|Il1r2|Il2|Il2ra|Il2rb|Il7|Lif|Xcl1|Ccl1|Tnfrsf1b|Tnfsf11|Tnfsf13b|Tnfsf14|Ppbp|Il21|Tnfrsf13c,-10
Geneid,GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-13,4.3,9.8,20504,772,221,36,16,2.5,11501|12053|12162|12367|12477|12487|12505|12519|12766|15978|16183|16184|16196|16401|16408|16412|16852|16878|16963|18186|18606|19247|20750|20947|21943|22329|24099|50930|54167|54446|58205|60505|72049|94214|320664|100043314,Adam8|Bcl6|Bmp7|Casp3|Ctla4|Cd28|Cd44|Cd80|Cxcr3|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Itgb1|Lgals1|Lif|Xcl1|Nrp1|Enpp2|Ptpn11|Spp1|Swap70|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Pdcd1lg2|Il21|Tnfrsf13c|Spock2|Cass4|Tigit,-10
Geneid,KEGG Pathway,24,mmu04060,Cytokine-cytokine receptor interaction,,-13,7.7,11,20504,266,221,22,10,2,12162|12458|12766|12776|15945|15978|16154|16178|16183|16184|16185|16196|16878|16963|20290|21938|21943|24099|50930|57349|60505|72049,Bmp7|Ccr6|Cxcr3|Ccr8|Cxcl10|Ifng|Il10ra|Il1r2|Il2|Il2ra|Il2rb|Il7|Lif|Xcl1|Ccl1|Tnfrsf1b|Tnfsf11|Tnfsf13b|Tnfsf14|Ppbp|Il21|Tnfrsf13c,-9.9
Geneid,GO Biological Processes,19,GO:0022407,regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-12,5.5,10,20504,457,221,27,12,2.2,11501|12053|12162|12367|12477|12487|12505|12519|15978|16183|16184|16196|16401|16408|16852|16963|20947|21943|22329|24099|50930|54167|54446|58205|60505|72049|100043314,Adam8|Bcl6|Bmp7|Casp3|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itga4|Itgal|Lgals1|Xcl1|Swap70|Tnfsf11|Vcam1|Tnfsf13b|Tnfsf14|Icos|Nfat5|Pdcd1lg2|Il21|Tnfrsf13c|Tigit,-9.3
Geneid,GO Biological Processes,19,GO:0050670,regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-12,7.7,11,20504,241,221,20,9,1.9,12053|12367|12477|12487|12505|12519|15978|16183|16184|16196|16408|16963|21898|21938|22329|22780|24099|58205|60505|72049,Bcl6|Casp3|Ctla4|Cd28|Cd44|Cd80|Ifng|Il2|Il2ra|Il7|Itgal|Xcl1|Tlr4|Tnfrsf1b|Vcam1|Ikzf3|Tnfsf13b|Pdcd1lg2|Il21|Tnfrsf13c,-9.1
