Cluster,Score,Type,Gene,Symbol,Network
1,3.409090909090909,Clustered,57349,Ppbp,Geneid_SUB1
1,3.409090909090909,Clustered,16408,Itgal,Geneid_SUB1
1,3.409090909090909,Clustered,12766,Cxcr3,Geneid_SUB1
1,3.409090909090909,Clustered,16852,Lgals1,Geneid_SUB1
1,3.409090909090909,Clustered,16411,Itgax,Geneid_SUB1
1,3.409090909090909,Clustered,16401,Itga4,Geneid_SUB1
1,3.409090909090909,Clustered,74761,Mxra8,Geneid_SUB1
1,3.409090909090909,Clustered,12477,Ctla4,Geneid_SUB1
1,3.409090909090909,Clustered,12458,Ccr6,Geneid_SUB1
1,3.409090909090909,Clustered,328561,Apol10b,Geneid_SUB1
1,3.409090909090909,Clustered,83453,Chrdl1,Geneid_SUB1
1,3.409090909090909,Clustered,12519,Cd80,Geneid_SUB1
1,3.409090909090909,Clustered,12487,Cd28,Geneid_SUB1
1,3.409090909090909,Clustered,12776,Ccr8,Geneid_SUB1
1,3.409090909090909,Clustered,29817,Igfbp7,Geneid_SUB1
1,3.409090909090909,Clustered,16412,Itgb1,Geneid_SUB1
1,3.409090909090909,Clustered,20750,Spp1,Geneid_SUB1
1,3.409090909090909,Clustered,15945,Cxcl10,Geneid_SUB1
1,3.409090909090909,Seed,16409,Itgam,Geneid_SUB1
1,3.409090909090909,Clustered,22393,Wfs1,Geneid_SUB1
1,3.409090909090909,Clustered,66066,Gng11,Geneid_SUB1
1,3.409090909090909,Clustered,20290,Ccl1,Geneid_SUB1
2,2.1,Clustered,16184,Il2ra,Geneid_SUB1
2,2.1,Clustered,24099,Tnfsf13b,Geneid_SUB1
2,2.1,Seed,50930,Tnfsf14,Geneid_SUB1
2,2.1,Clustered,72049,Tnfrsf13c,Geneid_SUB1
2,2.1,Clustered,16196,Il7,Geneid_SUB1
2,2.1,Clustered,16185,Il2rb,Geneid_SUB1
2,2.1,Clustered,16183,Il2,Geneid_SUB1
2,2.1,Clustered,21938,Tnfrsf1b,Geneid_SUB1
2,2.1,Clustered,21943,Tnfsf11,Geneid_SUB1
2,2.1,Clustered,15978,Ifng,Geneid_SUB1
4,1.5,Seed,80884,Maged2,Geneid_SUB1
4,1.5,Clustered,74145,F13a1,Geneid_SUB1
4,1.5,Clustered,14069,F8,Geneid_SUB1
4,1.5,Clustered,238393,Serpina3f,Geneid_SUB1
3,1.4000000000000001,Clustered,52033,Pbk,Geneid_SUB1
3,1.4000000000000001,Clustered,319148,H3c3,Geneid_SUB1
3,1.4000000000000001,Clustered,23834,Cdc6,Geneid_SUB1
3,1.4000000000000001,Clustered,233406,Prc1,Geneid_SUB1
3,1.4000000000000001,Clustered,252838,Tox,Geneid_SUB1
3,1.4000000000000001,Clustered,16551,Kif11,Geneid_SUB1
3,1.4000000000000001,Clustered,20238,Atxn1,Geneid_SUB1
3,1.4000000000000001,Clustered,78785,Clip4,Geneid_SUB1
3,1.4000000000000001,Clustered,56702,H1f5,Geneid_SUB1
3,1.4000000000000001,Clustered,12534,Cdk1,Geneid_SUB1
5,1.0,Clustered,545156,Kalrn,Geneid_SUB1
5,1.0,Seed,233081,Ffar1,Geneid_SUB1
5,1.0,Clustered,13616,Edn3,Geneid_SUB1
6,1.0,Clustered,93690,Gpr45,Geneid_SUB1
6,1.0,Seed,14652,Glp1r,Geneid_SUB1
6,1.0,Clustered,19217,Ptger2,Geneid_SUB1
7,1.0,Seed,223646,Naprt,Geneid_SUB1
7,1.0,Clustered,12306,Anxa2,Geneid_SUB1
7,1.0,Clustered,14569,Gdi2,Geneid_SUB1
8,1.0,Seed,11839,Areg,Geneid_SUB1
8,1.0,Clustered,12794,Cnih2,Geneid_SUB1
8,1.0,Clustered,20334,Sec23a,Geneid_SUB1
9,1.0,Clustered,619309,Muc3a,Geneid_SUB3
9,1.0,Seed,14537,Gcnt1,Geneid_SUB3
9,1.0,Clustered,71685,Galnt14,Geneid_SUB3
