_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.9,TRR00939,M1,1,0,TRRUST,34,Regulated by: Nfatc2,,-5.9,16,9.4,20504,21,358,6,1.7,0.68,15978|16183|16184|18018|54167|60505,Ifng|Il2|Il2ra|Nfatc1|Icos|Il21,-3,0
1,-4.9,TRR01189,M1,1,0,TRRUST,34,Regulated by: Rel,,-4.9,11,7.5,20504,31,358,6,1.7,0.68,12047|12609|14056|15978|16183|60505,Bcl2a1d|Cebpd|Ezh2|Ifng|Il2|Il21,-2.4,0
1,-4.8,TRR01453,M1,1,0,TRRUST,34,Regulated by: Tbx21,,-4.8,23,9.2,20504,10,358,4,1.1,0.56,15978|16196|20750|60505,Ifng|Il7|Spp1|Il21,-2.4,0
1,-4.4,TRR00404,M1,1,0,TRRUST,34,Regulated by: Foxp3,,-4.4,19,8.4,20504,12,358,4,1.1,0.56,12477|15978|16183|16184,Ctla4|Ifng|Il2|Il2ra,-2.1,0
1,-4.1,TRR00951,M1,1,0,TRRUST,34,Regulated by: Nfkb1,,-4.1,3.5,4.9,20504,210,358,13,3.6,0.99,12047|12519|15945|15978|16183|16184|16364|16409|16878|18104|21898|22329|24099,Bcl2a1d|Cd80|Cxcl10|Ifng|Il2|Il2ra|Irf4|Itgam|Lif|Nqo1|Tlr4|Vcam1|Tnfsf13b,-1.9,0
1,-3.6,TRR01523,M1,1,0,TRRUST,34,Regulated by: Vdr,,-3.6,21,7.7,20504,8,358,3,0.84,0.48,12393|20750|21943,Runx2|Spp1|Tnfsf11,-1.5,0
1,-3.5,TRR01366,M1,1,0,TRRUST,34,Regulated by: Stat1,,-3.5,8.2,5.7,20504,35,358,5,1.4,0.62,12393|12609|15945|15978|18566,Runx2|Cebpd|Cxcl10|Ifng|Pdcd1,-1.5,0
1,-3.1,TRR01313,M1,1,0,TRRUST,34,Regulated by: Smad1,,-3.1,9.5,5.6,20504,24,358,4,1.1,0.56,12393|15902|20750|21943,Runx2|Id2|Spp1|Tnfsf11,-1.3,0
1,-2.8,TRR00938,M1,1,0,TRRUST,34,Regulated by: Nfatc1,,-2.8,12,5.6,20504,14,358,3,0.84,0.48,12162|16183|16184,Bmp7|Il2|Il2ra,-0.98,0
1,-2.8,TRR01190,M1,1,0,TRRUST,34,Regulated by: Rela,,-2.8,3.6,3.9,20504,127,358,8,2.2,0.78,12047|12519|15945|15978|16183|16364|22329|24099,Bcl2a1d|Cd80|Cxcl10|Ifng|Il2|Irf4|Vcam1|Tnfsf13b,-0.98,0
1,-2.6,TRR00944,M1,1,0,TRRUST,34,Regulated by: Nfe2l2,,-2.6,5.4,4.3,20504,53,358,5,1.4,0.62,11839|12393|18018|18104|21943,Areg|Runx2|Nfatc1|Nqo1|Tnfsf11,-0.9,0
1,-2.5,TRR01114,M1,1,0,TRRUST,34,Regulated by: Pou2f2,,-2.5,10,5,20504,17,358,3,0.84,0.48,15978|16183|58205,Ifng|Il2|Pdcd1lg2,-0.81,0
1,-2.4,TRR01347,M1,1,0,TRRUST,34,Regulated by: Sp1,,-2.4,2.5,3.3,20504,280,358,12,3.4,0.95,11803|12162|12393|12609|16183|16852|17436|18018|18186|20893|21943|67749,Aplp1|Bmp7|Runx2|Cebpd|Il2|Lgals1|Me1|Nfatc1|Nrp1|Bhlhe40|Tnfsf11|Mgarp,-0.71,0
1,-2,TRR01112,M1,1,0,TRRUST,34,Regulated by: Pou2af1,,-2,6.9,3.9,20504,25,358,3,0.84,0.48,15902|16852|18987,Id2|Lgals1|Pou2f2,-0.39,0
