Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
100043314,3.0,1,1,1
21943,3.0,1,1,1
16852,3.0,1,1,1
94190,3.0,1,1,1
18752,3.0,1,1,1
12047,3.0,1,1,1
12180,3.0,1,1,1
12828,3.0,1,1,1
18606,3.0,1,1,1
50490,3.0,1,1,1
12162,3.0,1,1,1
233081,3.0,1,1,1
67525,3.0,1,1,1
381308,3.0,1,1,1
225010,3.0,1,1,1
54167,3.0,1,1,1
12393,3.0,1,1,1
13030,3.0,1,1,1
11910,3.0,1,1,1
20334,3.0,1,1,1
107823,3.0,1,1,1
14537,3.0,1,1,1
13011,3.0,1,1,1
11501,3.0,1,1,1
56405,3.0,1,1,1
16183,3.0,1,1,1
18018,3.0,1,1,1
320664,3.0,1,1,1
14056,3.0,1,1,1
227377,3.0,1,1,1
50930,3.0,1,1,1
21898,3.0,1,1,1
18566,3.0,1,1,1
11839,3.0,1,1,1
12045,3.0,1,1,1
19272,3.0,1,1,1
17357,3.0,1,1,1
12458,3.0,1,1,1
22780,3.0,1,1,1
13616,3.0,1,1,1
15898,3.0,1,1,1
16364,3.0,1,1,1
20361,3.0,1,1,1
12053,3.0,1,1,1
252838,3.0,1,1,1
50784,3.0,1,1,1
19247,3.0,1,1,1
12362,3.0,1,1,1
57349,3.0,1,1,1
19012,3.0,1,1,1
12519,3.0,1,1,1
11941,3.0,1,1,1
72049,3.0,1,1,1
16401,3.0,1,1,1
12192,3.0,1,1,1
97086,3.0,1,1,1
20750,3.0,1,1,1
100705,3.0,1,1,1
23947,3.0,1,1,1
21938,3.0,1,1,1
16408,3.0,1,1,1
12766,3.0,1,1,1
208628,3.0,1,1,1
54446,3.0,1,1,1
16154,3.0,1,1,1
242341,3.0,1,1,1
14570,3.0,1,1,1
16475,3.0,1,1,1
12487,3.0,1,1,1
12933,3.0,1,1,1
60505,3.0,1,1,1
12477,3.0,1,1,1
20947,3.0,1,1,1
20893,3.0,1,1,1
15978,3.0,1,1,1
24099,3.0,1,1,1
14173,3.0,1,1,1
12794,3.0,1,1,1
16185,3.0,1,1,1
58205,3.0,1,1,1
22329,3.0,1,1,1
77057,3.0,1,1,1
15945,3.0,1,1,1
12363,3.0,1,1,1
16411,3.0,1,1,1
545156,3.0,1,1,1
16963,3.0,1,1,1
83560,3.0,1,1,1
12534,3.0,1,1,1
16412,3.0,1,1,1
16409,3.0,1,1,1
12776,3.0,1,1,1
16184,3.0,1,1,1
14069,3.0,1,1,1
21847,3.0,1,1,1
18186,3.0,1,1,1
20290,3.0,1,1,1
105844,3.0,1,1,1
11975,3.0,1,1,1
17132,3.0,1,1,1
12505,3.0,1,1,1
16878,3.0,1,1,1
16196,3.0,1,1,1
214968,3.0,1,1,1
16178,3.0,1,1,1
17470,3.0,1,1,1
12367,3.0,1,1,1
258831,2.0,1,0,1
13401,2.0,1,0,1
12332,2.0,1,1,0
17082,2.0,1,1,0
27078,2.0,1,0,1
30959,2.0,1,0,1
67305,2.0,1,0,1
22658,2.0,1,0,1
19193,2.0,1,0,1
56175,2.0,1,1,0
68616,2.0,1,0,1
192120,2.0,1,0,1
68428,2.0,1,1,0
17857,2.0,1,0,1
104445,2.0,1,1,0
627872,2.0,1,0,1
23834,2.0,1,0,1
55983,2.0,1,0,1
19301,2.0,1,0,1
66813,2.0,1,0,1
57776,2.0,1,0,1
22063,2.0,1,0,1
50918,2.0,1,1,0
18602,2.0,1,0,1
338348,2.0,1,0,1
71685,2.0,1,0,1
192190,2.0,1,0,1
56013,2.0,1,1,0
57740,2.0,1,0,1
22117,2.0,1,0,1
76897,2.0,1,0,1
216238,2.0,1,0,1
16551,2.0,1,0,1
59125,2.0,1,0,1
78785,2.0,1,0,1
67071,2.0,1,0,1
209478,2.0,1,0,1
69454,2.0,1,0,1
26563,2.0,1,0,1
140721,2.0,1,0,1
30925,2.0,1,1,0
114255,2.0,1,0,1
68404,2.0,1,0,1
108800,2.0,1,0,1
623474,2.0,1,0,1
208084,2.0,1,0,1
20257,2.0,1,0,1
22701,2.0,1,0,1
282663,2.0,1,1,0
67971,2.0,1,1,0
