Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0050789 regulation of biological process,-16,3.4,10,20504,770,450,58,13,1.6,11622|12367|12458|12477|12483|12494|12505|12519|13024|14204|15368|15902|15978|16016|16153|16173|16408|16641|16768|16852|16854|16963|17470|18750|18806|19122|19271|20304|20371|20737|21898|21938|21943|21946|22038|22163|22164|22174|22329|22780|27007|50930|54167|54698|56193|60505|67742|72049|72828|75345|229521|231130|237256|238447|240754|252838|380795|100043314,Ahr|Casp3|Ccr6|Ctla4|Cd22|Cd38|Cd44|Cd80|Ctla2a|Il4i1|Hmox1|Id2|Ifng|Ighg2b|Il10|Il18|Itgal|Klrc1|Lag3|Lgals1|Lgals3|Xcl1|Cd200|Prkca|Pld2|Prnp|Ptprj|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Plscr1|Tnfrsf4|Tnfsf4|Tyro3|Vcam1|Ikzf3|Klrk1|Tnfsf14|Icos|Crtam|Plek|Il21|Samsn1|Tnfrsf13c|Ubash3b|Slamf7|Syt11|Tnip2|Zc3h12d|Igha|Lax1|Tox|Ighg3|Tigit,-12,Geneid
GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-16,3.4,10,20504,772,450,58,13,1.6,11487|11492|12367|12477|12505|12519|12766|12774|14204|14758|15978|16153|16173|16401|16408|16410|16412|16768|16852|16854|16878|16963|17931|18186|18606|18750|18806|19122|19219|19247|19271|20304|20371|20583|20737|20750|21943|22164|22329|50918|50930|54167|54446|54698|54712|58859|60505|68169|70546|72049|72828|75697|94214|100182|218397|237256|240754|100043314,Adam10|Adam19|Casp3|Ctla4|Cd44|Cd80|Cxcr3|Ccr5|Il4i1|Gpm6b|Ifng|Il10|Il18|Itga4|Itgal|Itgav|Itgb1|Lag3|Lgals1|Lgals3|Lif|Xcl1|Ppp1r12a|Nrp1|Enpp2|Prkca|Pld2|Prnp|Ptger4|Ptpn11|Ptprj|Ccl5|Foxp3|Snai2|Spn|Spp1|Tnfsf11|Tnfsf4|Vcam1|Myadm|Tnfsf14|Icos|Nfat5|Crtam|Plxnc1|Efemp2|Il21|Ndnf|Zdhhc2|Tnfrsf13c|Ubash3b|C2cd4b|Spock2|Akna|Rasa1|Zc3h12d|Lax1|Tigit,-12,Geneid
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-14,3.4,9.8,20504,725,450,54,12,1.5,11622|12367|12458|12477|12483|12494|12505|12519|13024|14204|15368|15902|15978|16016|16153|16173|16408|16641|16768|16852|16854|16963|17470|18806|19122|20304|20371|20737|21898|21938|21943|21946|22038|22163|22164|22174|22329|22780|27007|50930|54167|54698|60505|67742|72049|75345|229521|231130|237256|238447|240754|252838|380795|100043314,Ahr|Casp3|Ccr6|Ctla4|Cd22|Cd38|Cd44|Cd80|Ctla2a|Il4i1|Hmox1|Id2|Ifng|Ighg2b|Il10|Il18|Itgal|Klrc1|Lag3|Lgals1|Lgals3|Xcl1|Cd200|Pld2|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Plscr1|Tnfrsf4|Tnfsf4|Tyro3|Vcam1|Ikzf3|Klrk1|Tnfsf14|Icos|Crtam|Il21|Samsn1|Tnfrsf13c|Slamf7|Syt11|Tnip2|Zc3h12d|Igha|Lax1|Tox|Ighg3|Tigit,-11,Geneid
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-14,3.8,10,20504,550,450,46,10,1.4,12047|12367|12393|12458|12477|12505|12506|12519|13024|14204|14360|15978|16173|16408|16410|16411|16768|16852|16854|16963|18021|19122|19165|19219|20304|20371|20737|21938|21943|22163|22164|22329|30925|50930|54167|54698|58206|60505|72049|74732|75345|237256|240754|252838|545030|100043314,Bcl2a1d|Casp3|Runx2|Ccr6|Ctla4|Cd44|Cd48|Cd80|Ctla2a|Il4i1|Fyn|Ifng|Il18|Itgal|Itgav|Itgax|Lag3|Lgals1|Lgals3|Xcl1|Nfatc3|Prnp|Psen2|Ptger4|Ccl5|Foxp3|Spn|Tnfrsf1b|Tnfsf11|Tnfrsf4|Tnfsf4|Vcam1|Slamf6|Tnfsf14|Icos|Crtam|Zbtb32|Il21|Tnfrsf13c|Stx11|Slamf7|Zc3h12d|Lax1|Tox|Wdfy4|Tigit,-10,Geneid
GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-14,3.6,9.7,20504,611,450,48,11,1.5,11622|12367|12458|12477|12483|12494|12505|12519|13024|14204|15902|15978|16016|16153|16173|16408|16641|16768|16852|16854|16963|19122|20304|20371|20737|21898|21938|21943|21946|22163|22164|22174|22329|22780|50930|54167|54698|60505|67742|72049|75345|231130|237256|238447|240754|252838|380795|100043314,Ahr|Casp3|Ccr6|Ctla4|Cd22|Cd38|Cd44|Cd80|Ctla2a|Il4i1|Id2|Ifng|Ighg2b|Il10|Il18|Itgal|Klrc1|Lag3|Lgals1|Lgals3|Xcl1|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tnfrsf4|Tnfsf4|Tyro3|Vcam1|Ikzf3|Tnfsf14|Icos|Crtam|Il21|Samsn1|Tnfrsf13c|Slamf7|Tnip2|Zc3h12d|Igha|Lax1|Tox|Ighg3|Tigit,-10,Geneid
GO Biological Processes,19,GO:0006954,inflammatory response,19_GO:0050896 response to stimulus,-13,3.3,9.4,20504,739,450,53,12,1.5,12362|12363|12458|12505|12766|12774|13024|13058|14056|15251|15368|15587|15978|16016|16153|16173|16174|16410|16412|16963|17470|17948|17951|18750|19165|19217|19219|20290|20304|20317|20361|20371|20737|21898|21938|21943|21946|22038|22163|22164|22174|22402|54199|57349|75697|100182|100340|210029|225192|229521|231130|268973|270151,Casp1|Casp4|Ccr6|Cd44|Cxcr3|Ccr5|Ctla2a|Cybb|Ezh2|Hif1a|Hmox1|Hyal2|Ifng|Ighg2b|Il10|Il18|Il18rap|Itgav|Itgb1|Xcl1|Cd200|Naip2|Naip5|Prkca|Psen2|Ptger2|Ptger4|Ccl1|Ccl5|Serpinf1|Sema7a|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Plscr1|Tnfrsf4|Tnfsf4|Tyro3|Ccn4|Ccrl2|Ppbp|C2cd4b|Akna|Smpdl3b|Metrnl|Hrh4|Syt11|Tnip2|Nlrc4|Nlrx1,-10,Geneid
GO Biological Processes,19,GO:0031347,regulation of defense response,19_GO:0050896 response to stimulus,-13,3.6,9.6,20504,599,450,47,10,1.4,12362|12363|12505|12774|12810|13024|15587|15978|16016|16153|16174|16641|16768|16963|17059|17470|18619|18750|19219|20290|20304|20317|20361|20371|20400|20737|21898|21938|21943|21946|22038|22164|22174|22402|27007|30925|54698|60505|75697|100182|100340|108086|210029|229521|268973|270151|381308,Casp1|Casp4|Cd44|Ccr5|Coch|Ctla2a|Hyal2|Ifng|Ighg2b|Il10|Il18rap|Klrc1|Lag3|Xcl1|Klrb1c|Cd200|Penk|Prkca|Ptger4|Ccl1|Ccl5|Serpinf1|Sema7a|Foxp3|Sh2d1a|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Plscr1|Tnfsf4|Tyro3|Ccn4|Klrk1|Slamf6|Crtam|Il21|C2cd4b|Akna|Smpdl3b|Rnf216|Metrnl|Syt11|Nlrc4|Nlrx1|Ifi211,-10,Geneid
GO Biological Processes,19,GO:0050670,regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-12,5.3,10,20504,241,450,28,6.2,1.1,11622|12367|12477|12483|12494|12505|12519|14204|15978|16153|16173|16408|16854|16963|19122|20304|20371|20737|21898|21938|22163|22164|22329|22780|54698|60505|72049|237256,Ahr|Casp3|Ctla4|Cd22|Cd38|Cd44|Cd80|Il4i1|Ifng|Il10|Il18|Itgal|Lgals3|Xcl1|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfrsf4|Tnfsf4|Vcam1|Ikzf3|Crtam|Il21|Tnfrsf13c|Zc3h12d,-8.8,Geneid
GO Biological Processes,19,GO:0032944,regulation of mononuclear cell proliferation,19_GO:0050789 regulation of biological process,-12,5.2,9.9,20504,245,450,28,6.2,1.1,11622|12367|12477|12483|12494|12505|12519|14204|15978|16153|16173|16408|16854|16963|19122|20304|20371|20737|21898|21938|22163|22164|22329|22780|54698|60505|72049|237256,Ahr|Casp3|Ctla4|Cd22|Cd38|Cd44|Cd80|Il4i1|Ifng|Il10|Il18|Itgal|Lgals3|Xcl1|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfrsf4|Tnfsf4|Vcam1|Ikzf3|Crtam|Il21|Tnfrsf13c|Zc3h12d,-8.7,Geneid
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-12,3.9,9.2,20504,427,450,37,8.2,1.3,11487|12168|12458|12766|12774|12810|13043|13616|15587|15978|16016|16174|16641|16768|16963|17059|18186|18750|19219|19271|20290|20304|20400|20583|21898|21943|22038|22164|22402|27007|30925|50930|54698|60505|75697|268973|381308,Adam10|Bmpr2|Ccr6|Cxcr3|Ccr5|Coch|Cttn|Edn3|Hyal2|Ifng|Ighg2b|Il18rap|Klrc1|Lag3|Xcl1|Klrb1c|Nrp1|Prkca|Ptger4|Ptprj|Ccl1|Ccl5|Sh2d1a|Snai2|Tlr4|Tnfsf11|Plscr1|Tnfsf4|Ccn4|Klrk1|Slamf6|Tnfsf14|Crtam|Il21|C2cd4b|Nlrc4|Ifi211,-8.6,Geneid
