_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-5.3,mmu04022,cGMP-PKG signaling pathway,M1,1,0
1,-5.3,GO:1901214,regulation of neuron death,M1,1,0
1,-2.1,GO:0003300,cardiac muscle hypertrophy,M1,1,0
1,-2.3,R-MMU-3000170,Syndecan interactions,M1,1,0
1,-3.7,GO:0032651,regulation of interleukin-1 beta production,M1,1,0
1,-2.3,GO:0002088,lens development in camera-type eye,M1,1,0
1,-2,GO:0043542,endothelial cell migration,M1,1,0
1,-3.4,ko04730,Long-term depression,M1,1,0
1,-2.6,GO:0014829,vascular associated smooth muscle contraction,M1,1,0
1,-3.4,GO:0071222,cellular response to lipopolysaccharide,M1,1,0
1,-5.1,GO:2000406,positive regulation of T cell migration,M1,1,0
1,-2.7,mmu04510,Focal adhesion,M1,1,0
1,-5.1,GO:0097190,apoptotic signaling pathway,M1,1,0
1,-2.1,GO:0010632,regulation of epithelial cell migration,M1,1,0
1,-3.2,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-4.7,GO:0050798,activated T cell proliferation,M1,1,0
1,-3.2,R-MMU-202733,Cell surface interactions at the vascular wall,M1,1,0
1,-2.8,GO:0043062,extracellular structure organization,M1,1,0
1,-2.7,GO:0032733,positive regulation of interleukin-10 production,M1,1,0
1,-2.4,R-MMU-5218859,Regulated Necrosis,M1,1,0
1,-2.3,GO:0006026,aminoglycan catabolic process,M1,1,0
1,-7.5,GO:0040017,positive regulation of locomotion,M1,1,0
1,-2.7,GO:0043567,regulation of insulin-like growth factor receptor signaling pathway,M1,1,0
1,-3.7,GO:0043254,regulation of protein-containing complex assembly,M1,1,0
1,-5.3,GO:0033619,membrane protein proteolysis,M1,1,0
1,-3.4,GO:0010819,regulation of T cell chemotaxis,M1,1,0
1,-2.8,GO:0072677,eosinophil migration,M1,1,0
1,-4.7,GO:1902107,positive regulation of leukocyte differentiation,M1,1,0
1,-5.3,ko04022,cGMP-PKG signaling pathway,M1,1,0
1,-3.6,GO:0002573,myeloid leukocyte differentiation,M1,1,0
1,-4.5,GO:0070588,calcium ion transmembrane transport,M1,1,0
1,-2.1,GO:0042752,regulation of circadian rhythm,M1,1,0
1,-2.3,GO:0097194,execution phase of apoptosis,M1,1,0
1,-2,GO:0014897,striated muscle hypertrophy,M1,1,0
1,-5,GO:0070997,neuron death,M1,1,0
1,-3.4,ko04024,cAMP signaling pathway,M1,1,0
1,-2.6,R-MMU-9013423,RAC3 GTPase cycle,M1,1,0
1,-8.5,GO:1902105,regulation of leukocyte differentiation,M1,1,0
1,-6.1,GO:0050778,positive regulation of immune response,M1,1,0
1,-6.5,ko04650,Natural killer cell mediated cytotoxicity,M1,1,0
1,-2.5,GO:1901343,negative regulation of vasculature development,M1,1,0
1,-5.6,GO:0071677,positive regulation of mononuclear cell migration,M1,1,0
1,-9,GO:0051250,negative regulation of lymphocyte activation,M1,1,0
1,-2.1,GO:1905144,response to acetylcholine,M1,1,0
1,-4.5,GO:0097435,supramolecular fiber organization,M1,1,0
1,-6.9,GO:0001944,vasculature development,M1,1,0
1,-3.9,GO:0002440,production of molecular mediator of immune response,M1,1,0
1,-4,GO:0097746,blood vessel diameter maintenance,M1,1,0
1,-3.5,GO:0031346,positive regulation of cell projection organization,M1,1,0
1,-3.5,GO:0060401,cytosolic calcium ion transport,M1,1,0
1,-4.6,GO:0050767,regulation of neurogenesis,M1,1,0
1,-6.4,GO:0042113,B cell activation,M1,1,0
1,-4.4,GO:0032731,positive regulation of interleukin-1 beta production,M1,1,0
1,-2.5,GO:0060348,bone development,M1,1,0
1,-2.7,GO:0042987,amyloid precursor protein catabolic process,M1,1,0
1,-4.3,GO:0032700,negative regulation of interleukin-17 production,M1,1,0
1,-2.7,GO:0002820,negative regulation of adaptive immune response,M1,1,0
1,-2.9,GO:0060402,calcium ion transport into cytosol,M1,1,0
1,-2.1,GO:0043030,regulation of macrophage activation,M1,1,0
1,-4.3,ko04670,Leukocyte transendothelial migration,M1,1,0
1,-7.6,GO:0002697,regulation of immune effector process,M1,1,0
1,-6.4,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M1,1,0
1,-4,GO:0002246,wound healing involved in inflammatory response,M1,1,0
1,-2.2,GO:0006470,protein dephosphorylation,M1,1,0
1,-2.5,GO:0051148,negative regulation of muscle cell differentiation,M1,1,0
1,-3.7,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-2.7,GO:1904018,positive regulation of vasculature development,M1,1,0
1,-8.3,mmu04060,Cytokine-cytokine receptor interaction,M1,1,0
1,-3.6,GO:0016311,dephosphorylation,M1,1,0
1,-2.8,GO:0002456,T cell mediated immunity,M1,1,0
1,-2.1,GO:0046849,bone remodeling,M1,1,0
1,-3,GO:0002673,regulation of acute inflammatory response,M1,1,0
1,-2.3,GO:0042088,T-helper 1 type immune response,M1,1,0
1,-2.9,GO:0071417,cellular response to organonitrogen compound,M1,1,0
1,-2.3,WP1763,PluriNetWork: mechanisms associated with pluripotency,M1,1,0
1,-12,GO:0032944,regulation of mononuclear cell proliferation,M1,1,0
1,-2.2,GO:2000108,positive regulation of leukocyte apoptotic process,M1,1,0
1,-4.9,ko05205,Proteoglycans in cancer,M1,1,0
1,-7.2,GO:2000404,regulation of T cell migration,M1,1,0
