_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-15.717140056265237,GO:0050789,regulation of biological process,M1,1,GO:0050865 regulation of cell activation
1,-15.666281115112355,GO:0022610,biological adhesion,M1,1,GO:0030155 regulation of cell adhesion
1,-14.430188004356296,GO:0002376,immune system process,M1,1,GO:0002694 regulation of leukocyte activation
1,-13.49682667549558,GO:0050896,response to stimulus,M1,1,GO:0006954 inflammatory response
1,-11.90823339975489,GO:0048518,positive regulation of biological process,M1,1,GO:0032103 positive regulation of response to external stimulus
1,-11.480815079999708,GO:0009987,cellular process,M1,1,GO:0032943 mononuclear cell proliferation
1,-11.015503470695588,GO:0032501,multicellular organismal process,M1,1,GO:0001817 regulation of cytokine production
1,-9.808224474349243,GO:0048519,negative regulation of biological process,M1,1,GO:0050866 negative regulation of cell activation
1,-7.9805835115204635,GO:0040011,locomotion,M1,1,GO:0072678 T cell migration
1,-7.6472851526492365,GO:0023052,signaling,M1,1,GO:0019932 second-messenger-mediated signaling
1,-7.453991624291791,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0045954 positive regulation of natural killer cell mediated cytotoxicity
1,-7.0044369639639195,GO:0051179,localization,M1,1,GO:0051272 positive regulation of cellular component movement
1,-6.917052691766068,GO:0032502,developmental process,M1,1,GO:0001944 vasculature development
1,-6.513718082757123,GO:0065007,biological regulation,M1,1,GO:0055065 metal ion homeostasis
1,-6.318408768478191,GO:0008152,metabolic process,M1,1,GO:0050730 regulation of peptidyl-tyrosine phosphorylation
1,-4.290983689012659,GO:0040007,growth,M1,1,GO:0060560 developmental growth involved in morphogenesis
1,-2.6318575170641036,GO:0022414,reproductive process,M1,1,GO:0048608 reproductive structure development
1,-2.2957710310205948,GO:0051704,multi-organism process,M1,1,GO:0001893 maternal placenta development
1,-2.1347393802142727,GO:0048511,rhythmic process,M1,1,GO:0042752 regulation of circadian rhythm
