_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-15.717140056265237,GO:0050865,M1,1,0,GO Biological Processes,19,regulation of cell activation,19_GO:0050789 regulation of biological process,-15.717140056265237,3.432126984126984,10.304774779096402,20504,770,450,58,12.88888888888889,1.5795677552902923,11622|12367|12458|12477|12483|12494|12505|12519|13024|14204|15368|15902|15978|16016|16153|16173|16408|16641|16768|16852|16854|16963|17470|18750|18806|19122|19271|20304|20371|20737|21898|21938|21943|21946|22038|22163|22164|22174|22329|22780|27007|50930|54167|54698|56193|60505|67742|72049|72828|75345|229521|231130|237256|238447|240754|252838|380795|100043314,Ahr|Casp3|Ccr6|Ctla4|Cd22|Cd38|Cd44|Cd80|Ctla2a|Il4i1|Hmox1|Id2|Ifng|Ighg2b|Il10|Il18|Itgal|Klrc1|Lag3|Lgals1|Lgals3|Xcl1|Cd200|Prkca|Pld2|Prnp|Ptprj|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Plscr1|Tnfrsf4|Tnfsf4|Tyro3|Vcam1|Ikzf3|Klrk1|Tnfsf14|Icos|Crtam|Plek|Il21|Samsn1|Tnfrsf13c|Ubash3b|Slamf7|Syt11|Tnip2|Zc3h12d|Igha|Lax1|Tox|Ighg3|Tigit,-11.685505341149733,0,1,1,1,-15.717140056265237,5.467733333333333,
1,-15.666281115112355,GO:0030155,M1,1,0,GO Biological Processes,19,regulation of cell adhesion,19_GO:0022610 biological adhesion,-15.666281115112355,3.4232354634427176,10.280948185368139,20504,772,450,58,12.88888888888889,1.5795677552902923,11487|11492|12367|12477|12505|12519|12766|12774|14204|14758|15978|16153|16173|16401|16408|16410|16412|16768|16852|16854|16878|16963|17931|18186|18606|18750|18806|19122|19219|19247|19271|20304|20371|20583|20737|20750|21943|22164|22329|50918|50930|54167|54446|54698|54712|58859|60505|68169|70546|72049|72828|75697|94214|100182|218397|237256|240754|100043314,Adam10|Adam19|Casp3|Ctla4|Cd44|Cd80|Cxcr3|Ccr5|Il4i1|Gpm6b|Ifng|Il10|Il18|Itga4|Itgal|Itgav|Itgb1|Lag3|Lgals1|Lgals3|Lif|Xcl1|Ppp1r12a|Nrp1|Enpp2|Prkca|Pld2|Prnp|Ptger4|Ptpn11|Ptprj|Ccl5|Foxp3|Snai2|Spn|Spp1|Tnfsf11|Tnfsf4|Vcam1|Myadm|Tnfsf14|Icos|Nfat5|Crtam|Plxnc1|Efemp2|Il21|Ndnf|Zdhhc2|Tnfrsf13c|Ubash3b|C2cd4b|Spock2|Akna|Rasa1|Zc3h12d|Lax1|Tigit,-11.685505341149733,0,1,0,0,-15.717140056265237,5.467733333333333,
1,-14.430188004356296,GO:0002694,M1,1,0,GO Biological Processes,19,regulation of leukocyte activation,19_GO:0002376 immune system process,-14.430188004356296,3.393765517241379,9.830212408773878,20504,725,450,54,12.0,1.531883372410141,11622|12367|12458|12477|12483|12494|12505|12519|13024|14204|15368|15902|15978|16016|16153|16173|16408|16641|16768|16852|16854|16963|17470|18806|19122|20304|20371|20737|21898|21938|21943|21946|22038|22163|22164|22174|22329|22780|27007|50930|54167|54698|60505|67742|72049|75345|229521|231130|237256|238447|240754|252838|380795|100043314,Ahr|Casp3|Ccr6|Ctla4|Cd22|Cd38|Cd44|Cd80|Ctla2a|Il4i1|Hmox1|Id2|Ifng|Ighg2b|Il10|Il18|Itgal|Klrc1|Lag3|Lgals1|Lgals3|Xcl1|Cd200|Pld2|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Plscr1|Tnfrsf4|Tnfsf4|Tyro3|Vcam1|Ikzf3|Klrk1|Tnfsf14|Icos|Crtam|Il21|Samsn1|Tnfrsf13c|Slamf7|Syt11|Tnip2|Zc3h12d|Igha|Lax1|Tox|Ighg3|Tigit,-10.625503489449356,0,1,0,0,-15.717140056265237,5.467733333333333,
1,-14.146810813183226,GO:0042110,M1,1,0,GO Biological Processes,19,T cell activation,19_GO:0002376 immune system process,-14.146810813183226,3.8108444444444443,10.009620914150974,20504,550,450,46,10.222222222222221,1.4280743795301798,12047|12367|12393|12458|12477|12505|12506|12519|13024|14204|14360|15978|16173|16408|16410|16411|16768|16852|16854|16963|18021|19122|19165|19219|20304|20371|20737|21938|21943|22163|22164|22329|30925|50930|54167|54698|58206|60505|72049|74732|75345|237256|240754|252838|545030|100043314,Bcl2a1d|Casp3|Runx2|Ccr6|Ctla4|Cd44|Cd48|Cd80|Ctla2a|Il4i1|Fyn|Ifng|Il18|Itgal|Itgav|Itgax|Lag3|Lgals1|Lgals3|Xcl1|Nfatc3|Prnp|Psen2|Ptger4|Ccl5|Foxp3|Spn|Tnfrsf1b|Tnfsf11|Tnfrsf4|Tnfsf4|Vcam1|Slamf6|Tnfsf14|Icos|Crtam|Zbtb32|Il21|Tnfrsf13c|Stx11|Slamf7|Zc3h12d|Lax1|Tox|Wdfy4|Tigit,-10.467065034884586,0,1,0,0,-15.717140056265237,5.467733333333333,
1,-13.711589178483091,GO:0051249,M1,1,0,GO Biological Processes,19,regulation of lymphocyte activation,19_GO:0002376 immune system process,-13.711589178483091,3.579530823786143,9.696737589907023,20504,611,450,48,10.666666666666666,1.4551738261106577,11622|12367|12458|12477|12483|12494|12505|12519|13024|14204|15902|15978|16016|16153|16173|16408|16641|16768|16852|16854|16963|19122|20304|20371|20737|21898|21938|21943|21946|22163|22164|22174|22329|22780|50930|54167|54698|60505|67742|72049|75345|231130|237256|238447|240754|252838|380795|100043314,Ahr|Casp3|Ccr6|Ctla4|Cd22|Cd38|Cd44|Cd80|Ctla2a|Il4i1|Id2|Ifng|Ighg2b|Il10|Il18|Itgal|Klrc1|Lag3|Lgals1|Lgals3|Xcl1|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tnfrsf4|Tnfsf4|Tyro3|Vcam1|Ikzf3|Tnfsf14|Icos|Crtam|Il21|Samsn1|Tnfrsf13c|Slamf7|Tnip2|Zc3h12d|Igha|Lax1|Tox|Ighg3|Tigit,-10.128753413192507,0,1,0,0,-15.717140056265237,5.467733333333333,
1,-12.165689538891986,GO:0050670,M1,1,0,GO Biological Processes,19,regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-12.165689538891986,5.293794375288151,10.04413055868911,20504,241,450,28,6.222222222222222,1.1387187467007784,11622|12367|12477|12483|12494|12505|12519|14204|15978|16153|16173|16408|16854|16963|19122|20304|20371|20737|21898|21938|22163|22164|22329|22780|54698|60505|72049|237256,Ahr|Casp3|Ctla4|Cd22|Cd38|Cd44|Cd80|Il4i1|Ifng|Il10|Il18|Itgal|Lgals3|Xcl1|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfrsf4|Tnfsf4|Vcam1|Ikzf3|Crtam|Il21|Tnfrsf13c|Zc3h12d,-8.786973756257327,0,1,0,0,-15.717140056265237,5.467733333333333,
1,-11.988537005091693,GO:0032944,M1,1,0,GO Biological Processes,19,regulation of mononuclear cell proliferation,19_GO:0050789 regulation of biological process,-11.988537005091693,5.207365079365079,9.924272839053012,20504,245,450,28,6.222222222222222,1.1387187467007784,11622|12367|12477|12483|12494|12505|12519|14204|15978|16153|16173|16408|16854|16963|19122|20304|20371|20737|21898|21938|22163|22164|22329|22780|54698|60505|72049|237256,Ahr|Casp3|Ctla4|Cd22|Cd38|Cd44|Cd80|Il4i1|Ifng|Il10|Il18|Itgal|Lgals3|Xcl1|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfrsf4|Tnfsf4|Vcam1|Ikzf3|Crtam|Il21|Tnfrsf13c|Zc3h12d,-8.660973744904416,0,1,0,0,-15.717140056265237,5.467733333333333,
1,-11.62104956762325,GO:0046651,M1,1,0,GO Biological Processes,19,lymphocyte proliferation,19_GO:0002376 immune system process,-11.62104956762325,4.405021819402484,9.35541612017588,20504,331,450,32,7.111111111111111,1.2115584177932368,11622|12367|12477|12483|12494|12505|12519|14204|14360|15978|16153|16173|16408|16411|16854|16963|19122|20304|20371|20737|21898|21938|22163|22164|22329|22780|30925|54698|58206|60505|72049|237256,Ahr|Casp3|Ctla4|Cd22|Cd38|Cd44|Cd80|Il4i1|Fyn|Ifng|Il10|Il18|Itgal|Itgax|Lgals3|Xcl1|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfrsf4|Tnfsf4|Vcam1|Ikzf3|Slamf6|Crtam|Zbtb32|Il21|Tnfrsf13c|Zc3h12d,-8.380636483154873,0,1,0,0,-15.717140056265237,5.467733333333333,
1,-11.582850370476187,GO:0002683,M1,1,0,GO Biological Processes,19,negative regulation of immune system process,19_GO:0002376 immune system process,-11.582850370476187,3.7640193236714974,8.981363031695057,20504,460,450,38,8.444444444444445,1.310755339887091,11622|12367|12477|12483|12505|12519|14204|15368|15902|15978|16153|16768|16854|17470|18566|19122|19219|19271|20371|20400|20737|21873|21946|22163|22164|22174|54698|66058|67742|72828|100340|170741|229521|237256|240754|270151|100043314|102640920,Ahr|Casp3|Ctla4|Cd22|Cd44|Cd80|Il4i1|Hmox1|Id2|Ifng|Il10|Lag3|Lgals3|Cd200|Pdcd1|Prnp|Ptger4|Ptprj|Foxp3|Sh2d1a|Spn|Tjp2|Pglyrp1|Tnfrsf4|Tnfsf4|Tyro3|Crtam|Tmem176a|Samsn1|Ubash3b|Smpdl3b|Pilrb1|Syt11|Zc3h12d|Lax1|Nlrx1|Tigit|Pvrig,-8.38022584689721,0,1,0,0,-15.717140056265237,5.467733333333333,
1,-11.480815079999708,GO:0032943,M1,1,0,GO Biological Processes,19,mononuclear cell proliferation,19_GO:0009987 cellular process,-11.480815079999708,4.352424543946932,9.267309972833857,20504,335,450,32,7.111111111111111,1.2115584177932368,11622|12367|12477|12483|12494|12505|12519|14204|14360|15978|16153|16173|16408|16411|16854|16963|19122|20304|20371|20737|21898|21938|22163|22164|22329|22780|30925|54698|58206|60505|72049|237256,Ahr|Casp3|Ctla4|Cd22|Cd38|Cd44|Cd80|Il4i1|Fyn|Ifng|Il10|Il18|Itgal|Itgax|Lgals3|Xcl1|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfrsf4|Tnfsf4|Vcam1|Ikzf3|Slamf6|Crtam|Zbtb32|Il21|Tnfrsf13c|Zc3h12d,-8.312952662679942,0,1,0,0,-15.717140056265237,5.467733333333333,
