Cluster,Score,Type,Gene,Symbol,Network
3,4.0,Clustered,12458,Ccr6,Geneid_SUB1
3,4.0,Clustered,20304,Ccl5,Geneid_SUB1
3,4.0,Clustered,57349,Ppbp,Geneid_SUB1
3,4.0,Clustered,18619,Penk,Geneid_SUB1
3,4.0,Clustered,12774,Ccr5,Geneid_SUB1
3,4.0,Clustered,12766,Cxcr3,Geneid_SUB1
3,4.0,Seed,225192,Hrh4,Geneid_SUB1
3,4.0,Clustered,14678,Gnai2,Geneid_SUB1
3,4.0,Clustered,20290,Ccl1,Geneid_SUB1
2,3.5,Clustered,16408,Itgal,Geneid_SUB1
2,3.5,Clustered,12519,Cd80,Geneid_SUB1
2,3.5,Clustered,16410,Itgav,Geneid_SUB1
2,3.5,Clustered,13058,Cybb,Geneid_SUB1
2,3.5,Clustered,21938,Tnfrsf1b,Geneid_SUB1
2,3.5,Clustered,16852,Lgals1,Geneid_SUB1
2,3.5,Clustered,29817,Igfbp7,Geneid_SUB1
2,3.5,Clustered,16412,Itgb1,Geneid_SUB1
2,3.5,Clustered,20750,Spp1,Geneid_SUB1
2,3.5,Seed,208659,Fam20a,Geneid_SUB1
2,3.5,Clustered,16411,Itgax,Geneid_SUB1
2,3.5,Clustered,16401,Itga4,Geneid_SUB1
2,3.5,Clustered,74761,Mxra8,Geneid_SUB1
2,3.5,Clustered,19271,Ptprj,Geneid_SUB1
2,3.5,Clustered,11487,Adam10,Geneid_SUB1
2,3.5,Clustered,12477,Ctla4,Geneid_SUB1
5,2.5,Clustered,12000,Avpr2,Geneid_SUB1
5,2.5,Clustered,19217,Ptger2,Geneid_SUB1
5,2.5,Clustered,11554,Adrb1,Geneid_SUB1
5,2.5,Seed,14652,Glp1r,Geneid_SUB1
5,2.5,Clustered,19219,Ptger4,Geneid_SUB1
5,2.5,Clustered,93690,Gpr45,Geneid_SUB1
6,2.0,Clustered,16578,Kif9,Geneid_SUB1
6,2.0,Clustered,103768,Tubg2,Geneid_SUB1
6,2.0,Seed,233406,Prc1,Geneid_SUB1
6,2.0,Clustered,16580,Kifc5b,Geneid_SUB1
6,2.0,Clustered,22153,Tubb4a,Geneid_SUB1
7,1.6,Clustered,320910,Itgb8,Geneid_SUB1
7,1.6,Clustered,18750,Prkca,Geneid_SUB1
7,1.6,Clustered,18752,Prkcg,Geneid_SUB1
7,1.6,Clustered,14682,Gnaq,Geneid_SUB1
7,1.6,Clustered,232889,Pla2g4c,Geneid_SUB1
1,1.5,Clustered,214230,Pak6,Geneid_SUB1
1,1.5,Clustered,21844,Tiam1,Geneid_SUB1
1,1.5,Seed,15442,Hpse,Geneid_SUB1
1,1.5,Clustered,17931,Ppp1r12a,Geneid_SUB1
1,1.5,Clustered,215114,Hip1,Geneid_SUB1
1,1.5,Clustered,225187,Ankrd29,Geneid_SUB1
1,1.5,Clustered,229521,Syt11,Geneid_SUB1
1,1.5,Clustered,11853,Rhoc,Geneid_SUB1
1,1.5,Clustered,20430,Cyfip1,Geneid_SUB1
1,1.5,Clustered,20257,Stmn2,Geneid_SUB1
1,1.5,Clustered,12322,Camk2a,Geneid_SUB1
1,1.5,Clustered,13033,Ctsd,Geneid_SUB1
1,1.5,Clustered,12362,Casp1,Geneid_SUB1
1,1.5,Clustered,12289,Cacna1d,Geneid_SUB1
1,1.5,Clustered,68895,Rasl11a,Geneid_SUB1
1,1.5,Clustered,21946,Pglyrp1,Geneid_SUB1
1,1.5,Clustered,13043,Cttn,Geneid_SUB1
1,1.5,Clustered,12363,Casp4,Geneid_SUB1
8,1.5,Clustered,60596,Gucy1a1,Geneid_SUB1
8,1.5,Clustered,18575,Pde1c,Geneid_SUB1
8,1.5,Seed,12495,Entpd1,Geneid_SUB1
8,1.5,Clustered,54195,Gucy1b1,Geneid_SUB1
4,1.4444444444444444,Clustered,20400,Sh2d1a,Geneid_SUB1
4,1.4444444444444444,Clustered,12168,Bmpr2,Geneid_SUB1
4,1.4444444444444444,Clustered,16332,Inppl1,Geneid_SUB1
4,1.4444444444444444,Clustered,18186,Nrp1,Geneid_SUB1
4,1.4444444444444444,Clustered,14230,Fkbp10,Geneid_SUB1
4,1.4444444444444444,Clustered,140721,Caskin2,Geneid_SUB1
4,1.4444444444444444,Clustered,114255,Dok4,Geneid_SUB1
4,1.4444444444444444,Clustered,14360,Fyn,Geneid_SUB1
4,1.4444444444444444,Clustered,22240,Dpysl3,Geneid_SUB1
9,1.0,Seed,268973,Nlrc4,Geneid_SUB1
9,1.0,Clustered,17951,Naip5,Geneid_SUB1
9,1.0,Clustered,17948,Naip2,Geneid_SUB1
10,1.0,Seed,50930,Tnfsf14,Geneid_SUB1
10,1.0,Clustered,21943,Tnfsf11,Geneid_SUB1
10,1.0,Clustered,72049,Tnfrsf13c,Geneid_SUB1
