_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-11,PGB:00280,M1,1,0,PaGenBase,36,Cell-specific: NK cells,,-11,13,12,20504,46,450,13,2.9,0.79,14103|16174|16185|16641|16963|17059|20304|27007|71302|71592|71720|107350|320802,Fasl|Il18rap|Il2rb|Klrc1|Xcl1|Klrb1c|Ccl5|Klrk1|Arhgap26|Pogk|Osbpl3|AW112010|Ifitm10,-7.9,0
1,-7.3,PGB:00210,M1,1,0,PaGenBase,36,Cell-specific: mast cells,,-7.3,4,7.1,20504,253,450,22,4.9,1,11622|13024|14537|16878|17540|17748|19122|19165|20715|20737|21844|22038|50930|50997|54426|67182|72828|108115|207175|225192|235527|328232,Ahr|Ctla2a|Gcnt1|Lif|Irag1|Mt1|Prnp|Psen2|Serpina3g|Spn|Tiam1|Plscr1|Tnfsf14|Mpp2|Hgfac|Pdzk1ip1|Ubash3b|Slco4a1|Cetn4|Hrh4|Plscr4|Gfod1,-4.7,0
1,-4.6,PGB:00287,M1,1,0,PaGenBase,36,Cell-specific: T-cells foxP3+,,-4.6,20,8.7,20504,9,450,4,0.89,0.44,12477|20371|22163|242484,Ctla4|Foxp3|Tnfrsf4|D630039A03Rik,-2.4,0
1,-4.4,PGB:00237,M1,1,0,PaGenBase,36,Cell-specific: b220+ b cell,,-4.4,4.4,5.4,20504,114,450,11,2.4,0.73,12124|12458|12483|12494|14204|16541|17068|22780|54712|72049|545030,Bik|Ccr6|Cd22|Cd38|Il4i1|Napsa|Ly6d|Ikzf3|Plxnc1|Tnfrsf13c|Wdfy4,-2.2,0
1,-4.1,PGB:00266,M1,1,0,PaGenBase,36,Cell-specific: cd4+ T cell,,-4.1,11,6.8,20504,21,450,5,1.1,0.49,12477|22163|30925|54167|403202,Ctla4|Tnfrsf4|Slamf6|Icos|A430093F15Rik,-2.2,0
1,-4.1,PGB:00011,M1,1,0,PaGenBase,36,Tissue-specific: spleen,,-4.1,3.4,4.9,20504,189,450,14,3.1,0.82,12124|12810|16098|16174|16401|16411|16641|18987|22329|50930|56193|57349|226971|380795,Bik|Coch|Igkv1-117|Il18rap|Itga4|Itgax|Klrc1|Pou2f2|Vcam1|Tnfsf14|Plek|Ppbp|Plekhb2|Ighg3,-2.2,0
1,-4.1,PGB:00228,M1,1,0,PaGenBase,36,Cell-specific: neuro2a,,-4.1,3.1,4.8,20504,239,450,16,3.6,0.87,13807|17760|20257|22240|27053|54195|56175|67749|67971|69784|76917|103712|225362|228911|245607|380686,Eno2|Map6|Stmn2|Dpysl3|Asns|Gucy1b1|Bace2|Mgarp|Tppp3|1500009L16Rik|Flywch2|6330403K07Rik|Reep2|Tshz2|Gprasp2|Cnrip1,-2.2,0
1,-4,PGB:00223,M1,1,0,PaGenBase,36,Tissue-specific: lymph node,,-4,3.1,4.7,20504,219,450,15,3.3,0.85,12322|12458|12477|12483|12774|14204|16154|16185|18987|21943|22163|54167|78373|380795|403202,Camk2a|Ccr6|Ctla4|Cd22|Ccr5|Il4i1|Il10ra|Il2rb|Pou2f2|Tnfsf11|Tnfrsf4|Icos|Nudt17|Ighg3|A430093F15Rik,-2.1,0
1,-2.8,PGB:00249,M1,1,0,PaGenBase,36,Tissue-specific: ciliary bodies,,-2.8,12,5.7,20504,11,450,3,0.67,0.38,12841|226025|353504,Col9a3|Trpm3|Dio3os,-1.2,0
1,-2.8,PGB:00279,M1,1,0,PaGenBase,36,Cell-specific: follicular B-cells,,-2.8,5.8,4.5,20504,39,450,5,1.1,0.49,12483|12494|17068|18987|381777,Cd22|Cd38|Ly6d|Pou2f2|Igkv1-110,-1.2,0
