_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.6,TRR01189,M1,1,0,TRRUST,34,Regulated by: Rel,,-6.6,12,9,20504,31,450,8,1.8,0.62,12047|12609|14056|15978|20304|20371|60505|381777,Bcl2a1d|Cebpd|Ezh2|Ifng|Ccl5|Foxp3|Il21|Igkv1-110,-4.1,0
1,-5.3,TRR01190,M1,1,0,TRRUST,34,Regulated by: Rela,,-5.3,4.7,6.2,20504,127,450,13,2.9,0.79,12047|12494|12519|14103|15978|16153|17059|20304|20511|21946|22163|22329|381777,Bcl2a1d|Cd38|Cd80|Fasl|Ifng|Il10|Klrb1c|Ccl5|Slc1a2|Pglyrp1|Tnfrsf4|Vcam1|Igkv1-110,-3,0
1,-4.8,TRR00951,M1,1,0,TRRUST,34,Regulated by: Nfkb1,,-4.8,3.5,5.4,20504,210,450,16,3.6,0.87,12047|12168|12494|12519|14103|15368|15978|16153|16878|20304|20371|20511|21898|22163|22329|381777,Bcl2a1d|Bmpr2|Cd38|Cd80|Fasl|Hmox1|Ifng|Il10|Lif|Ccl5|Foxp3|Slc1a2|Tlr4|Tnfrsf4|Vcam1|Igkv1-110,-2.5,0
1,-4.2,TRR01368,M1,1,0,TRRUST,34,Regulated by: Stat3,,-4.2,5.1,5.5,20504,81,450,9,2,0.66,12495|12609|15251|16153|16878|17132|17748|60505|110454,Entpd1|Cebpd|Hif1a|Il10|Lif|Maf|Mt1|Il21|Ly6a,-2.2,0
1,-4.1,TRR00939,M1,1,0,TRRUST,34,Regulated by: Nfatc2,,-4.1,11,6.8,20504,21,450,5,1.1,0.49,15978|16153|18018|54167|60505,Ifng|Il10|Nfatc1|Icos|Il21,-2.2,0
1,-4,TRR00993,M1,1,0,TRRUST,34,Regulated by: Nr4a2,,-4,15,7.4,20504,12,450,4,0.89,0.44,16500|18186|20371|20750,Kcnb1|Nrp1|Foxp3|Spp1,-2.1,0
1,-3.5,TRR00327,M1,1,0,TRRUST,34,Regulated by: Ets1,,-3.5,5.3,5,20504,60,450,7,1.6,0.58,12393|15368|16153|20371|20400|20750|21898,Runx2|Hmox1|Il10|Foxp3|Sh2d1a|Spp1|Tlr4,-1.7,0
1,-3.3,TRR01523,M1,1,0,TRRUST,34,Regulated by: Vdr,,-3.3,17,6.8,20504,8,450,3,0.67,0.38,12393|20750|21943,Runx2|Spp1|Tnfsf11,-1.5,0
1,-3.1,TRR00089,M1,1,0,TRRUST,34,Regulated by: Bcl11b,,-3.1,15,6.4,20504,9,450,3,0.67,0.38,11622|16153|20371,Ahr|Il10|Foxp3,-1.4,0
1,-3,TRR00652,M1,1,0,TRRUST,34,Regulated by: Jun,,-3,3.3,4.1,20504,137,450,10,2.2,0.69,12609|13807|15368|15978|17132|18619|20304|20750|21943|381777,Cebpd|Eno2|Hmox1|Ifng|Maf|Penk|Ccl5|Spp1|Tnfsf11|Igkv1-110,-1.3,0
1,-3,TRR01366,M1,1,0,TRRUST,34,Regulated by: Stat1,,-3,6.5,4.9,20504,35,450,5,1.1,0.49,12393|12609|15978|17748|18566,Runx2|Cebpd|Ifng|Mt1|Pdcd1,-1.3,0
1,-3,TRR00944,M1,1,0,TRRUST,34,Regulated by: Nfe2l2,,-3,5.2,4.5,20504,53,450,6,1.3,0.54,12393|15368|16153|17748|18018|21943,Runx2|Hmox1|Il10|Mt1|Nfatc1|Tnfsf11,-1.3,0
1,-2.9,TRR01453,M1,1,0,TRRUST,34,Regulated by: Tbx21,,-2.9,14,6,20504,10,450,3,0.67,0.38,15978|20750|60505,Ifng|Spp1|Il21,-1.3,0
1,-2.8,TRR01313,M1,1,0,TRRUST,34,Regulated by: Smad1,,-2.8,7.6,4.8,20504,24,450,4,0.89,0.44,12393|15902|20750|21943,Runx2|Id2|Spp1|Tnfsf11,-1.2,0
1,-2.7,TRR01112,M1,1,0,TRRUST,34,Regulated by: Pou2af1,,-2.7,7.3,4.7,20504,25,450,4,0.89,0.44,15902|16852|18987|381777,Id2|Lgals1|Pou2f2|Igkv1-110,-1.1,0
1,-2.5,TRR00294,M1,1,0,TRRUST,34,Regulated by: Egr2,,-2.5,9.8,4.9,20504,14,450,3,0.67,0.38,14103|15902|16185,Fasl|Id2|Il2rb,-0.96,0
1,-2.5,TRR01517,M1,1,0,TRRUST,34,Regulated by: Usf2,,-2.5,9.8,4.9,20504,14,450,3,0.67,0.38,15368|17748|20750,Hmox1|Mt1|Spp1,-0.96,0
1,-2.4,TRR01347,M1,1,0,TRRUST,34,Regulated by: Sp1,,-2.4,2.3,3.2,20504,280,450,14,3.1,0.82,11622|12393|12609|14103|16153|16852|18018|18186|18671|18806|20893|21943|67749|234671,Ahr|Runx2|Cebpd|Fasl|Il10|Lgals1|Nfatc1|Nrp1|Abcb1a|Pld2|Bhlhe40|Tnfsf11|Mgarp|Ces2c,-0.9,0
1,-2.2,TRR00437,M1,1,0,TRRUST,34,Regulated by: Gata3,,-2.2,8,4.4,20504,17,450,3,0.67,0.38,15978|16153|20371,Ifng|Il10|Foxp3,-0.74,0
