Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
21961,3.0,1,1,1
214230,3.0,1,1,1
545622,3.0,1,1,1
57349,3.0,1,1,1
18806,3.0,1,1,1
252838,3.0,1,1,1
20361,3.0,1,1,1
19219,3.0,1,1,1
215114,3.0,1,1,1
268973,3.0,1,1,1
22780,3.0,1,1,1
218397,3.0,1,1,1
12458,3.0,1,1,1
17357,3.0,1,1,1
15898,3.0,1,1,1
13616,3.0,1,1,1
15902,3.0,1,1,1
98366,3.0,1,1,1
16500,3.0,1,1,1
19271,3.0,1,1,1
20750,3.0,1,1,1
56175,3.0,1,1,1
75345,3.0,1,1,1
16408,3.0,1,1,1
11777,3.0,1,1,1
21938,3.0,1,1,1
233186,3.0,1,1,1
12000,3.0,1,1,1
12467,3.0,1,1,1
225192,3.0,1,1,1
97086,3.0,1,1,1
192654,3.0,1,1,1
72049,3.0,1,1,1
24136,3.0,1,1,1
20532,3.0,1,1,1
24063,3.0,1,1,1
100340,3.0,1,1,1
18260,3.0,1,1,1
268566,3.0,1,1,1
56193,3.0,1,1,1
16154,3.0,1,1,1
18021,3.0,1,1,1
12306,3.0,1,1,1
16533,3.0,1,1,1
94214,3.0,1,1,1
18566,3.0,1,1,1
17059,3.0,1,1,1
70762,3.0,1,1,1
27007,3.0,1,1,1
12766,3.0,1,1,1
20238,3.0,1,1,1
54199,3.0,1,1,1
14613,3.0,1,1,1
54446,3.0,1,1,1
14103,3.0,1,1,1
11622,3.0,1,1,1
329165,3.0,1,1,1
20737,3.0,1,1,1
22240,3.0,1,1,1
19247,3.0,1,1,1
12362,3.0,1,1,1
12494,3.0,1,1,1
14866,3.0,1,1,1
12519,3.0,1,1,1
19165,3.0,1,1,1
15368,3.0,1,1,1
54712,3.0,1,1,1
16401,3.0,1,1,1
94275,3.0,1,1,1
15442,3.0,1,1,1
12845,3.0,1,1,1
60596,3.0,1,1,1
232889,3.0,1,1,1
22174,3.0,1,1,1
24046,3.0,1,1,1
229658,3.0,1,1,1
18575,3.0,1,1,1
16963,3.0,1,1,1
16411,3.0,1,1,1
12363,3.0,1,1,1
545030,3.0,1,1,1
71302,3.0,1,1,1
22163,3.0,1,1,1
71602,3.0,1,1,1
22153,3.0,1,1,1
20257,3.0,1,1,1
19217,3.0,1,1,1
17760,3.0,1,1,1
17470,3.0,1,1,1
11658,3.0,1,1,1
58859,3.0,1,1,1
11746,3.0,1,1,1
11979,3.0,1,1,1
13058,3.0,1,1,1
14230,3.0,1,1,1
16153,3.0,1,1,1
18186,3.0,1,1,1
12367,3.0,1,1,1
12841,3.0,1,1,1
17132,3.0,1,1,1
60505,3.0,1,1,1
68616,3.0,1,1,1
15978,3.0,1,1,1
21873,3.0,1,1,1
72828,3.0,1,1,1
12477,3.0,1,1,1
29809,3.0,1,1,1
67971,3.0,1,1,1
30925,3.0,1,1,1
12045,3.0,1,1,1
100043314,3.0,1,1,1
12774,3.0,1,1,1
54167,3.0,1,1,1
381308,3.0,1,1,1
16854,3.0,1,1,1
21946,3.0,1,1,1
14360,3.0,1,1,1
18606,3.0,1,1,1
12322,3.0,1,1,1
21943,3.0,1,1,1
12047,3.0,1,1,1
14204,3.0,1,1,1
16852,3.0,1,1,1
13030,3.0,1,1,1
11941,3.0,1,1,1
16174,3.0,1,1,1
71361,3.0,1,1,1
20511,3.0,1,1,1
50930,3.0,1,1,1
18018,3.0,1,1,1
21898,3.0,1,1,1
20304,3.0,1,1,1
11554,3.0,1,1,1
12495,3.0,1,1,1
24064,3.0,1,1,1
11487,3.0,1,1,1
75219,3.0,1,1,1
12289,3.0,1,1,1
22164,3.0,1,1,1
208898,3.0,1,1,1
381290,3.0,1,1,1
11492,3.0,1,1,1
22415,3.0,1,1,1
67972,3.0,1,1,1
74318,3.0,1,1,1
13043,3.0,1,1,1
11853,3.0,1,1,1
14652,3.0,1,1,1
20200,3.0,1,1,1
17756,3.0,1,1,1
14056,3.0,1,1,1
16412,3.0,1,1,1
16332,3.0,1,1,1
12168,3.0,1,1,1
19122,3.0,1,1,1
434246,3.0,1,1,1
11937,3.0,1,1,1
54195,3.0,1,1,1
14682,3.0,1,1,1
20430,3.0,1,1,1
75302,3.0,1,1,1
16410,3.0,1,1,1
16185,3.0,1,1,1
12794,3.0,1,1,1
16541,3.0,1,1,1
74732,3.0,1,1,1
20400,3.0,1,1,1
108155,3.0,1,1,1
15251,3.0,1,1,1
83925,3.0,1,1,1
22329,3.0,1,1,1
229521,3.0,1,1,1
16878,3.0,1,1,1
20371,3.0,1,1,1
12505,3.0,1,1,1
20290,3.0,1,1,1
14678,3.0,1,1,1
12483,3.0,1,1,1
17951,3.0,1,1,1
18671,3.0,1,1,1
104156,3.0,1,1,1
12336,3.0,1,1,1
19249,3.0,1,1,1
103140,3.0,1,1,1
225362,3.0,1,1,1
16173,3.0,1,1,1
20893,3.0,1,1,1
17948,3.0,1,1,1
20583,3.0,1,1,1
12393,3.0,1,1,1
22352,3.0,1,1,1
15587,3.0,1,1,1
18750,3.0,1,1,1
16164,3.0,1,1,1
320910,3.0,1,1,1
16641,3.0,1,1,1
18987,3.0,1,1,1
66042,3.0,1,1,1
