,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000027074,Slc43a3,Down,-24.0554469302828,1.0925799894929e-24,-576.405716400087
2,2,ENSMUSG00000030268,Bcat1,Down,-23.8988463046158,1.48046968027991e-23,-545.60111312578
3,3,ENSMUSG00000044320,1700001O22Rik,Down,-20.6762180400941,2.73539858266781e-26,-528.545735465795
4,4,ENSMUSG00000022803,Popdc2,Down,-21.6682059481469,1.068912716652e-24,-519.409816255821
5,5,ENSMUSG00000031015,Swap70,Down,-22.9541644117968,6.50153797042659e-23,-509.283676167479
6,6,ENSMUSG00000084826,AI847159,Down,-23.2280578348433,2.52128050137687e-21,-478.460334879627
7,7,ENSMUSG00000026656,Fcgr2b,Down,-21.7731281205365,1.9138838842443e-21,-451.097506369032
8,8,ENSMUSG00000029414,Kntc1,Down,-23.6388927887489,2.81062677548352e-19,-438.52975274851
9,9,ENSMUSG00000047003,Zfp41,Down,-21.6273815495783,8.7849640193073e-21,-433.76438775677
10,10,ENSMUSG00000019889,Ptprk,Down,-24.1154160690866,1.20106058645242e-17,-408.043332131208
11,11,ENSMUSG00000031497,Tnfsf13b,Down,-23.1066121428502,5.07527461083525e-16,-353.405014177288
12,12,ENSMUSG00000021965,Ska3,Down,-23.36066460067,1.17716312244266e-15,-348.755177827963
13,13,ENSMUSG00000017499,Cdc6,Down,-23.2619451463652,4.21277440835096e-15,-334.40050590481
14,14,ENSMUSG00000052572,Dlg2,Down,-20.3184832681794,5.86884151122294e-16,-309.479913586709
15,15,ENSMUSG00000034958,Atcay,Down,-21.5881161935521,2.59512556041322e-14,-293.292727582546
16,16,ENSMUSG00000039396,Neil3,Down,-21.6745392236449,1.87376006713007e-13,-275.858060068556
17,17,ENSMUSG00000040883,Tmem205,Down,-20.824775281423,9.63300640581539e-14,-271.060234502267
18,18,ENSMUSG00000029499,Pxmp2,Down,-18.8740483720432,1.47356020493821e-14,-261.058893613642
19,19,ENSMUSG00000042182,Bend6,Down,-22.9155439126541,6.67222082153759e-12,-256.097922149718
20,20,ENSMUSG00000028678,Kif2c,Down,-22.5708546946288,8.64538765758617e-12,-249.706230143922
21,21,ENSMUSG00000046295,Ankle1,Down,-23.9912777072026,1.51309591660599e-10,-235.597550898167
22,22,ENSMUSG00000052151,Plpp2,Down,-22.8935343142516,6.36378410865185e-11,-233.428990502919
23,23,ENSMUSG00000036186,Dipk1b,Down,-21.5615945805556,1.7343441291153e-11,-232.021402546566
24,24,ENSMUSG00000087060,ENSMUSG00000087060,Down,-21.7304570441981,4.12109636174057e-11,-225.670518915718
25,25,ENSMUSG00000066026,Dhrs3,Down,-18.3974166334292,5.71347322901714e-13,-225.241407964194
26,26,ENSMUSG00000044080,S100a1,Down,-19.5236157084783,6.47566583752016e-12,-218.444183063099
27,27,ENSMUSG00000044986,Tst,Down,-22.5089328481506,4.1264545492758e-10,-211.233345641251
28,28,ENSMUSG00000024064,Galnt14,Down,-19.461719429355,2.27952286111645e-11,-207.114655128469
29,29,ENSMUSG00000057093,Zfp607b,Down,-23.0084369387959,1.04911209854479e-09,-206.596853181493
30,30,ENSMUSG00000074170,Plekhf1,Down,-19.2006946279995,2.01430746515028e-11,-205.368215018359
31,31,ENSMUSG00000048416,Mlf1,Down,-19.3361461942077,2.69125750908043e-11,-204.383930476545
32,32,ENSMUSG00000000266,Mid2,Down,-21.4168202956817,5.32398941175012e-10,-198.614511714605
33,33,ENSMUSG00000022033,Pbk,Down,-22.754577045811,2.69240875751567e-09,-195.00351701231
34,34,ENSMUSG00000029810,Tmem176b,Down,-23.0099215587168,4.34738503506342e-09,-192.403715371099
35,35,ENSMUSG00000097990,Gm19557,Down,-21.582265040085,2.32169844909845e-09,-186.345467388745
36,36,ENSMUSG00000034066,Farp2,Down,-21.7051275100295,2.88686278019093e-09,-185.352539485087
37,37,ENSMUSG00000021759,Plpp1,Down,-21.3312931124268,1.23148445484561e-08,-168.721378801008
38,38,ENSMUSG00000053588,ENSMUSG00000053588,Down,-23.2321142031092,1.06374607138171e-07,-162.001296657195
39,39,ENSMUSG00000048012,Zfp473,Down,-21.7274610738066,4.39685718639096e-08,-159.845838007332
40,40,ENSMUSG00000026069,Il1rl1,Down,-21.7408621289647,6.06941277091448e-08,-156.900613162094
41,41,ENSMUSG00000001039,B9d1,Down,-23.0530950860978,2.14942753661242e-07,-153.71059630175
42,42,ENSMUSG00000061751,Kalrn,Down,-19.1978769339168,1.03337253769773e-08,-153.309312956202
43,43,ENSMUSG00000078773,Rad54b,Down,-21.7587199858232,1.06374607138171e-07,-151.727080044761
44,44,ENSMUSG00000110751,ENSMUSG00000110751,Down,-23.0053154432196,3.80643607782006e-07,-147.682195946112
45,45,ENSMUSG00000105534,ENSMUSG00000105534,Down,-20.9834633879865,9.19475564444487e-08,-147.649296759709
46,46,ENSMUSG00000097166,9330179D12Rik,Down,-21.8024116043864,1.97775165998026e-07,-146.159622663727
47,47,ENSMUSG00000018451,6330403K07Rik,Down,-14.641615674637,1.20985909700249e-10,-145.204785685038
48,48,ENSMUSG00000020808,Pimreg,Down,-22.7011617535971,4.51792949195051e-07,-144.040245906476
49,49,ENSMUSG00000034584,Exph5,Down,-18.454998592504,1.77904463105901e-08,-143.022790897095
50,50,ENSMUSG00000027200,Sema6d,Down,-18.7411163895162,2.38737504648431e-08,-142.846276224999
51,51,ENSMUSG00000023036,Pcdhgc4,Down,-22.1188859618241,3.80643607782006e-07,-141.991778325585
52,52,ENSMUSG00000096141,Dnah7a,Down,-22.7179677172402,1.15446325905661e-06,-134.890656842075
53,53,ENSMUSG00000092625,ENSMUSG00000092625,Down,-21.2711515954061,4.83675003784701e-07,-134.336816836931
54,54,ENSMUSG00000029206,Nsun7,Down,-19.1353382512082,1.1438735797608e-07,-132.830284424483
55,55,ENSMUSG00000108465,ENSMUSG00000108465,Down,-22.743246589599,1.44458124253639e-06,-132.826428491916
56,56,ENSMUSG00000026628,Atf3,Down,-21.7506140891748,9.61438549413485e-07,-130.875151714354
57,57,ENSMUSG00000070287,Slc35g2,Down,-22.5664305901509,2.05626836263998e-06,-128.333490109551
58,58,ENSMUSG00000003452,Bicd1,Down,-20.982610737295,8.28737440587552e-07,-127.607489599386
