Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0002695,negative regulation of leukocyte activation,19_GO:0002376 immune system process,-5,5.7,6.3,20504,200,179,10,5.6,1.7,14204|15368|16153|16768|19122|20371|22164|22174|22259|26365,Il4i1|Hmox1|Il10|Lag3|Prnp|Foxp3|Tnfsf4|Tyro3|Nr1h3|Ceacam1,-0.95,Geneid
GO Biological Processes,19,GO:0002683,negative regulation of immune system process,19_GO:0002376 immune system process,-4.9,3.7,5.6,20504,460,179,15,8.4,2.1,12483|14204|15368|15951|16153|16768|19122|19271|20371|22164|22174|22259|26365|66058|102640920,Cd22|Il4i1|Hmox1|Ifi204|Il10|Lag3|Prnp|Ptprj|Foxp3|Tnfsf4|Tyro3|Nr1h3|Ceacam1|Tmem176a|Pvrig,-0.95,Geneid
GO Biological Processes,19,GO:0019932,second-messenger-mediated signaling,19_GO:0023052 signaling,-4.8,4.5,5.7,20504,308,179,12,6.7,1.9,12483|12774|16438|17540|17748|19122|19271|21943|26365|54195|54199|60596,Cd22|Ccr5|Itpr1|Irag1|Mt1|Prnp|Ptprj|Tnfsf11|Ceacam1|Gucy1b1|Ccrl2|Gucy1a1,-0.95,Geneid
GO Biological Processes,19,GO:0050866,negative regulation of cell activation,19_GO:0048519 negative regulation of biological process,-4.6,5.1,5.8,20504,223,179,10,5.6,1.7,14204|15368|16153|16768|19122|20371|22164|22174|22259|26365,Il4i1|Hmox1|Il10|Lag3|Prnp|Foxp3|Tnfsf4|Tyro3|Nr1h3|Ceacam1,-0.9,Geneid
KEGG Pathway,24,ko04924,Renin secretion,,-4.4,9.5,6.8,20504,72,179,6,3.4,1.3,11554|14682|16438|18575|54195|60596,Adrb1|Gnaq|Itpr1|Pde1c|Gucy1b1|Gucy1a1,-0.9,Geneid
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0050789 regulation of biological process,-4.3,2.8,4.8,20504,770,179,19,11,2.3,11629|12483|14204|15368|16016|16153|16768|19122|19271|20371|21943|22164|22174|22259|26365|72049|110786|238447|380795,Aif1|Cd22|Il4i1|Hmox1|Ighg2b|Il10|Lag3|Prnp|Ptprj|Foxp3|Tnfsf11|Tnfsf4|Tyro3|Nr1h3|Ceacam1|Tnfrsf13c|Iglc2|Igha|Ighg3,-0.9,Geneid
KEGG Pathway,24,mmu04924,Renin secretion,,-4.3,9.3,6.7,20504,74,179,6,3.4,1.3,11554|14682|16438|18575|54195|60596,Adrb1|Gnaq|Itpr1|Pde1c|Gucy1b1|Gucy1a1,-0.9,Geneid
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-4.2,2.8,4.7,20504,725,179,18,10,2.2,11629|12483|14204|15368|16016|16153|16768|19122|20371|21943|22164|22174|22259|26365|72049|110786|238447|380795,Aif1|Cd22|Il4i1|Hmox1|Ighg2b|Il10|Lag3|Prnp|Foxp3|Tnfsf11|Tnfsf4|Tyro3|Nr1h3|Ceacam1|Tnfrsf13c|Iglc2|Igha|Ighg3,-0.82,Geneid
GO Biological Processes,19,GO:0032703,negative regulation of interleukin-2 production,19_GO:0048519 negative regulation of biological process,-4.1,17,7.8,20504,27,179,4,2.2,1.1,16768|19122|20371|26365,Lag3|Prnp|Foxp3|Ceacam1,-0.82,Geneid
GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-4,3,4.7,20504,611,179,16,8.9,2.1,11629|12483|14204|16016|16153|16768|19122|20371|21943|22164|22174|26365|72049|110786|238447|380795,Aif1|Cd22|Il4i1|Ighg2b|Il10|Lag3|Prnp|Foxp3|Tnfsf11|Tnfsf4|Tyro3|Ceacam1|Tnfrsf13c|Iglc2|Igha|Ighg3,-0.82,Geneid
