Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
54195,3.0,1,1,1
22259,3.0,1,1,1
11937,3.0,1,1,1
11629,3.0,1,1,1
16438,3.0,1,1,1
22164,3.0,1,1,1
12557,3.0,1,1,1
12467,3.0,1,1,1
19271,3.0,1,1,1
12483,3.0,1,1,1
192654,3.0,1,1,1
19122,3.0,1,1,1
26365,3.0,1,1,1
71602,3.0,1,1,1
18575,3.0,1,1,1
51793,3.0,1,1,1
14230,3.0,1,1,1
12495,3.0,1,1,1
22174,3.0,1,1,1
72049,3.0,1,1,1
21943,3.0,1,1,1
17540,3.0,1,1,1
17948,3.0,1,1,1
215114,3.0,1,1,1
13043,3.0,1,1,1
20371,3.0,1,1,1
18606,3.0,1,1,1
11979,3.0,1,1,1
12774,3.0,1,1,1
15368,3.0,1,1,1
14204,3.0,1,1,1
13058,3.0,1,1,1
69219,3.0,1,1,1
58859,3.0,1,1,1
60596,3.0,1,1,1
17951,3.0,1,1,1
50525,3.0,1,1,1
103140,3.0,1,1,1
232889,3.0,1,1,1
108075,3.0,1,1,1
16412,3.0,1,1,1
12845,3.0,1,1,1
268973,3.0,1,1,1
16153,3.0,1,1,1
14682,3.0,1,1,1
14871,3.0,1,1,1
12841,3.0,1,1,1
18186,3.0,1,1,1
16500,3.0,1,1,1
20187,3.0,1,1,1
235527,2.0,1,1,0
545030,2.0,1,0,1
27047,2.0,1,0,1
72446,2.0,1,1,0
75219,2.0,1,0,1
545428,2.0,1,0,1
14613,2.0,1,1,0
16580,2.0,1,0,1
17748,2.0,1,1,0
15951,2.0,1,1,0
68895,2.0,1,0,1
24046,2.0,1,0,1
12579,2.0,1,0,1
102640920,2.0,1,1,0
226610,2.0,1,0,1
20974,2.0,1,1,0
194126,2.0,1,0,1
14103,2.0,1,1,0
16578,2.0,1,0,1
11554,2.0,1,1,0
17068,2.0,1,0,1
15587,2.0,1,1,0
17760,2.0,1,0,1
18619,2.0,1,0,1
57436,2.0,1,0,1
20511,2.0,1,1,0
93843,2.0,1,0,1
225192,2.0,1,0,1
100101919,2.0,1,0,1
94275,2.0,1,0,1
229658,2.0,1,0,1
16164,2.0,1,0,1
219149,2.0,1,1,0
546144,2.0,1,0,1
27053,2.0,1,0,1
242891,2.0,1,0,1
103768,2.0,1,0,1
243328,2.0,1,1,0
22240,2.0,1,0,1
50997,2.0,1,0,1
20532,2.0,1,1,0
66611,2.0,1,0,1
16768,2.0,1,1,0
67971,2.0,1,0,1
71519,2.0,1,0,1
245865,2.0,1,0,1
56375,2.0,1,0,1
58220,2.0,1,0,1
16016,2.0,1,1,0
225187,2.0,1,0,1
207215,2.0,1,0,1
218215,2.0,1,0,1
242705,2.0,1,1,0
24082,1.0,1,0,0
214359,1.0,1,0,0
100043312,1.0,1,0,0
71836,1.0,1,0,0
105734,1.0,1,0,0
74777,1.0,1,0,0
67341,1.0,1,0,0
214321,1.0,1,0,0
329384,1.0,1,0,0
329093,1.0,1,0,0
100042498,1.0,1,0,0
225362,1.0,1,0,0
75847,1.0,1,0,0
353504,1.0,1,0,0
107770,1.0,1,0,0
52815,1.0,1,0,0
71733,1.0,1,0,0
78016,1.0,1,0,0
100040268,1.0,1,0,0
78802,1.0,1,0,0
74393,1.0,1,0,0
236285,1.0,1,0,0
654424,1.0,1,0,0
381777,1.0,1,0,0
115489154,1.0,1,0,0
78111,1.0,1,0,0
108115,1.0,1,0,0
20200,1.0,1,0,0
115489188,1.0,1,0,0
234577,1.0,1,0,0
102631887,1.0,1,0,0
22017,1.0,1,0,0
69553,1.0,1,0,0
21637,1.0,1,0,0
229488,1.0,1,0,0
12124,1.0,1,0,0
54373,1.0,1,0,0
100416064,1.0,1,0,0
