Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0007018,microtubule-based movement,19_GO:0009987 cellular process,-3,3,3.9,20504,416,179,11,6.1,1.8,12121|16551|23859|70918|73804|78801|106757|110082|242646|271639|627872,Bicd1|Kif11|Dlg2|Nsun7|Kif2c|Ak7|Catsperd|Dnah5|Dynlt4|Adcy10|Dnah7a,0,Geneid
Reactome Gene Sets,6,R-MMU-5653656,Vesicle-mediated transport,,-2.8,2.6,3.7,20504,566,179,13,7.3,1.9,11768|11839|12121|12663|14069|16551|20334|20739|73804|74760|77057|108800|328561,Ap1m2|Areg|Bicd1|Chml|F8|Kif11|Sec23a|Spta1|Kif2c|Rab3il1|Ston1|Ston2|Apol10b,0,Geneid
GO Biological Processes,19,GO:0018195,peptidyl-arginine modification,19_GO:0008152 metabolic process,-2.8,13,5.7,20504,27,179,3,1.7,0.96,11870|18602|66423,Art1|Padi4|Coprs,0,Geneid
GO Biological Processes,19,GO:0051928,positive regulation of calcium ion transport,19_GO:0051179 localization,-2.8,4.7,4.2,20504,145,179,6,3.4,1.3,11941|15945|20193|22063|22393|233081,Atp2b2|Cxcl10|S100a1|Trpc1|Wfs1|Ffar1,0,Geneid
GO Biological Processes,19,GO:0007176,regulation of epidermal growth factor-activated receptor activity,19_GO:0023052 signaling,-2.7,12,5.6,20504,28,179,3,1.7,0.96,11839|231125|232431,Areg|Zfyve28|Gprc5a,0,Geneid
GO Biological Processes,19,GO:0042551,neuron maturation,19_GO:0032502 developmental process,-2.7,7.6,4.8,20504,60,179,4,2.2,1.1,23859|71751|80906|227377,Dlg2|Map3k13|Kcnip2|Farp2,0,Geneid
Reactome Gene Sets,6,R-MMU-2132295,MHC class II antigen presentation,,-2.6,5.5,4.3,20504,105,179,5,2.8,1.2,11768|16551|20334|64291|73804,Ap1m2|Kif11|Sec23a|Osbpl1a|Kif2c,0,Geneid
Reactome Gene Sets,6,R-MMU-917977,Transferrin endocytosis and recycling,,-2.6,11,5.3,20504,31,179,3,1.7,0.96,11975|68428|242341,Atp6v0a1|Steap3|Atp6v0d2,0,Geneid
Reactome Gene Sets,6,R-MMU-199991,Membrane Trafficking,,-2.6,2.6,3.5,20504,533,179,12,6.7,1.9,11768|11839|12121|12663|14069|16551|20334|20739|73804|74760|77057|108800,Ap1m2|Areg|Bicd1|Chml|F8|Kif11|Sec23a|Spta1|Kif2c|Rab3il1|Ston1|Ston2,0,Geneid
Reactome Gene Sets,6,R-MMU-5694530,Cargo concentration in the ER,,-2.6,11,5.2,20504,32,179,3,1.7,0.96,11839|14069|20334,Areg|F8|Sec23a,0,Geneid
