Gene,_SCORE_GRP9_,_SCORE_GRP4_,_SCORE_GRP13_,_SCORE_GRP12_,_SCORE_GRP2_,_SCORE_GRP6_,_SCORE_GRP11_,_SCORE_GRP1_,_SCORE_GRP10_,_SCORE_GRP8_,_SCORE_GRP14_,_SCORE_GRP7_,_SCORE_GRP3_,_SCORE_GRP5_,GRP1|19_GO:0007018|-2.955|microtubule-based movement,GRP1|19_GO:0003341|-2.049|cilium movement,GRP1|19_GO:0006858|-2.123|extracellular transport,GRP1|19_GO:0003351|-2.204|epithelial cilium movement involved in extracellular fluid movement,GRP1|19_GO:0035082|-2.165|axoneme assembly,GRP2|6_R-MMU-5653656|-2.839|Vesicle-mediated transport,GRP2|6_R-MMU-199991|-2.588|Membrane Trafficking,GRP2|6_R-MMU-2132295|-2.640|MHC class II antigen presentation,GRP2|6_R-MMU-5694530|-2.570|Cargo concentration in the ER,GRP3|19_GO:0018195|-2.785|peptidyl-arginine modification,GRP4|19_GO:0006873|-2.050|cellular ion homeostasis,GRP4|19_GO:0051928|-2.760|positive regulation of calcium ion transport,GRP5|19_GO:0061097|-2.334|regulation of protein tyrosine kinase activity,GRP5|19_GO:1901184|-2.375|regulation of ERBB signaling pathway,GRP5|19_GO:0042058|-2.483|regulation of epidermal growth factor receptor signaling pathway,GRP5|19_GO:0007176|-2.739|regulation of epidermal growth factor-activated receptor activity,GRP6|19_GO:0048469|-2.542|cell maturation,GRP6|19_GO:0042551|-2.728|neuron maturation,GRP7|6_R-MMU-917977|-2.610|Transferrin endocytosis and recycling,GRP8|19_GO:0010639|-2.303|negative regulation of organelle organization,GRP8|19_GO:0007059|-2.006|chromosome segregation,GRP8|19_GO:0000819|-2.205|sister chromatid segregation,GRP8|19_GO:0051983|-2.165|regulation of chromosome segregation,GRP8|19_GO:0008608|-2.531|attachment of spindle microtubules to kinetochore,GRP8|19_GO:2001251|-2.165|negative regulation of chromosome organization,GRP9|19_GO:0051301|-2.490|cell division,GRP9|19_GO:0000226|-2.496|microtubule cytoskeleton organization,GRP10|19_GO:0021591|-2.494|ventricular system development,GRP11|19_GO:0045577|-2.422|regulation of B cell differentiation,GRP12|19_GO:0036465|-2.237|synaptic vesicle recycling,GRP13|19_GO:0034330|-2.128|cell junction organization,GRP13|19_GO:0048041|-2.165|focal adhesion assembly,GRP14|19_GO:0030835|-2.047|negative regulation of actin filament depolymerization,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_,_SORT_GRP11_,_SORT_GRP12_,_SORT_GRP13_,_SORT_GRP14_
26875,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,2,6,0
15945,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0,0,0,2,0,0,0,0,0,0,0,0,0,0
234396,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,22,0,0,0,0,0,6,0,0,0,0,2,0,0,0
20193,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0,0,0,6,0,0,0,0,0,0,0,0,0,0
71751,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0
68428,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,8,0,0,2,0,0,0,0,0,0,0
109212,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0,0,0,0,0,0,0,0,15,0,0,0,0,0
227377,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64291,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,0,14,0,0,0,0,0,0,0,0,0,0,0,0
11975,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,7,0,0,1,0,0,0,0,0,0,0
